,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,10,2015-04-17,LAN,COL,9-GF,,99,1.0,0,0,0,0,1,0,0,0.0,3,14,9,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.16,0.012,0.19,0.01%,0.44,9t --- 0 out a4,9t end a 4,,LAD,0.0,W,7,3,,
1,2,12,2015-04-19,LAN,COL,7-8,,1,2.0,0,0,0,0,2,0,0,0.0,6,24,17,4,2,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.04,0.006,0.05,0.01%,0.88,7t --- 0 out a7,8t 3 out a7,,LAD,0.0,W,7,0,,
2,3,13,2015-04-21,LAN,SFG,6-7,,1,1.1,1,0,0,0,1,0,0,0.0,4,22,12,5,2,1,2,1,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,0.24,0.031,0.27,0.02%,1.11,6b 12- 1 out d3,7b 1-- 2 out d3,,SFG,0.9090909090909092,L,2,6,,
3,4,19,2015-04-27,LAN,SFG,7-7,H(1),5,1.0,0,0,0,0,1,0,0,0.0,3,12,8,5,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.87,0.064,1.08,0.05%,0.44,7t --- 0 out a2,7t 3 out a2,,LAD,0.0,W,8,3,,
4,5,21,2015-04-29,LAN,SFG,7-7,,1,1.0,0,0,0,0,1,0,0,0.0,3,12,9,2,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.33,0.024,0.42,0.02%,0.44,7t --- 0 out a4,7t 3 out a4,,LAD,0.0,W,7,3,,
5,6,24,2015-05-03,LAN,ARI,8-8,,3,1.0,0,0,0,0,1,0,0,0.0,3,14,9,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.099,1.89,0.08%,0.44,8t --- 0 out tie,8t 3 out tie,,LAD,0.0,W,1,0,,
6,7,28,2015-05-07,LAN,MIL,7-7,,3,0.1,0,0,0,0,0,0,0,0.0,1,2,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.19,0.005,0.24,0.00%,0.1,7b --- 2 out a4,7b 3 out a4,,MIL,0.0,W,14,4,,
7,8,30,2015-05-10,LAN,COL,8-9,,2,1.1,0,0,0,0,1,0,0,0.0,4,14,9,4,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.43,0.045,0.61,0.04%,0.8,8b --- 0 out a4,9b --- 1 out a4,,COL,0.0,W,9,5,,
8,9,31,2015-05-11,LAN,MIA,8-8,H(2),0,0.2,0,0,0,0,2,0,0,0.0,2,13,10,1,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.83,0.08800000000000001,2.28,0.07%,0.35,8t --- 0 out a1,8t --- 2 out a1,,LAD,0.0,W,5,3,,
9,10,33,2015-05-13,LAN,MIA,7-7,L(0-1),1,0.0,2,2,2,0,0,0,0,1.86,2,9,5,2,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.93,-0.23,3.51,-0.17%,-1.45,7t 1-- 0 out a2,7t 123 0 out a2,,LAD,inf,L,4,5,,
