,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,59,2010-06-09,PIT,WSN,GS-6,,99,6.0,7,5,5,2,3,1,0,7.5,27,86,51,15,3,7,15,6,2,0,39.0,,,0,0,0,25,3,0,0,0,0,0,1.11,-0.271,0.24,-0.04%,-2.1,1b start tie,6b 3 out tie,,WSN,1.5,L,5,7
1,2,64,2010-06-15,PIT,CHW,GS-6,L(0-1),5,6.0,6,5,5,3,2,0,2,7.5,29,98,61,13,4,13,9,5,0,0,39.0,,,0,0,0,22,3,0,0,0,0,0,1.24,-0.336,0.12,-0.02%,-2.13,1t start tie,6t 3 out d1,,PIT,1.5,L,4,6
2,3,69,2010-06-20,PIT,CLE,GS-6,,4,6.0,8,3,3,1,2,1,1,6.5,26,98,64,19,5,8,14,4,0,0,45.0,,,0,1,0,24,2,0,0,0,0,0,0.87,-0.027000000000000003,0.05,0.00%,-0.13,1t start tie,6t 3 out d1,,PIT,1.5,W,5,3
3,4,73,2010-06-25,PIT,OAK,GS-6,L(0-2),4,6.0,8,5,3,2,1,0,0,6.0,29,107,63,16,3,9,17,4,1,0,39.0,,,1,0,0,25,1,1,0,0,2,1,1.31,-0.27399999999999997,0.02,0.00%,-2.05,1b start a 2,6b 3 out d1,,OAK,1.6666666666666667,L,4,14
4,5,78,2010-06-30,PIT,CHC,GS-7,W(1-2),4,7.0,4,0,0,1,6,0,1,4.65,25,93,57,17,13,9,8,5,0,0,74.0,,,0,0,0,23,1,0,0,1,0,0,1.38,0.446,0.01,0.00%,3.56,1b start tie,7b 3 out tie,,CHC,0.7142857142857143,W,2,0
5,6,83,2010-07-06,PIT,HOU,GS-5,L(1-3),5,5.0,7,5,5,1,0,2,0,5.25,23,86,53,14,4,10,12,3,0,0,32.0,,,1,0,0,22,1,0,0,0,0,0,0.5,-0.259,0.01,0.00%,-2.64,1b start tie,5b 3 out d4,,HOU,1.6,L,2,6
6,7,88,2010-07-11,PIT,MIL,GS-7,,4,6.0,7,3,3,2,3,2,0,5.14,26,81,49,12,3,8,13,3,0,0,47.0,,,0,0,0,22,1,0,0,1,1,0,1.34,-0.067,0.01,0.00%,-0.45,1b start tie,7b 1-- 0 out a1,,MIL,1.5,L,5,6
7,8,93,2010-07-20,PIT,MIL,GS-3,,8,2.1,9,7,7,0,1,1,1,6.29,17,61,41,8,4,7,8,3,0,0,12.0,,,0,0,0,16,1,1,0,0,0,0,0.44,-0.14800000000000002,0.0,0.00%,-6.07,1t start tie,3t 1-- 1 out a3,,PIT,4.285714285714286,W,11,9
8,9,98,2010-07-25,PIT,SDP,GS-7,L(1-4),4,6.1,8,6,6,2,3,2,0,6.57,29,103,65,19,8,5,19,4,4,0,34.0,,,1,0,0,27,2,0,0,0,0,0,0.73,-0.37,0.0,0.00%,-2.91,1t start tie,7t --- 1 out d3,,PIT,1.639344262295082,L,3,6
9,10,151,2010-09-22,PIT,STL,8-8,,58,1.0,2,3,2,1,1,0,0,6.79,6,29,16,4,1,1,3,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,1,0,0.03,-0.001,0.0,0.00%,-2.52,8t --- 0 out a9,8t 3 out a6,,PIT,3.0,W,11,6
