,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,57,2011-06-01,LAN,COL,7-7,,99,1.0,2,0,0,0,0,0,0,0.0,5,10,7,0,1,3,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.47,0.016,0.38,0.01%,0.44,7t --- 0 out d3,7t 3 out d3,,LAD,2.0,L,0,3
1,2,60,2011-06-05,LAN,CIN,9-GF,,3,1.0,0,0,0,1,1,0,1,0.0,5,24,14,5,2,0,2,0,1,0,,1.0,1.0,0,0,0,2,0,0,0,0,1,0,2.15,0.037000000000000005,1.39,0.01%,-0.15,9b 1-- 0 out a4,9b end a 3,,CIN,1.0,W,9,6
2,3,63,2011-06-08,LAN,PHI,8-GF(8),,2,1.0,0,0,0,0,1,0,0,0.0,3,9,7,3,0,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.16,0.012,0.12,0.01%,0.46,8b --- 0 out d2,8b end d 2,,PHI,0.0,L,0,2
3,4,64,2011-06-09,LAN,COL,8-GF(8),,0,1.0,2,1,1,1,0,0,0,2.25,6,19,10,2,1,0,5,2,2,0,,0.0,0.0,0,0,0,4,1,0,1,0,1,0,0.6,-0.057,0.42,-0.02%,-0.46,8b --- 0 out d1,8b end d 2,,COL,3.0,L,7,9
4,5,66,2011-06-11,LAN,COL,7-7,,1,1.0,0,0,0,0,1,0,0,1.8,3,12,7,4,0,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.17,0.013999999999999999,0.1,0.01%,0.55,7b --- 0 out a6,7b 3 out a6,,COL,0.0,W,11,7
5,6,68,2011-06-13,LAN,CIN,8-GF,,1,2.0,0,0,0,0,1,0,1,1.29,6,24,14,4,2,2,2,0,0,0,,0.0,0.0,0,1,0,5,0,0,0,0,0,0,0.17,0.019,0.1,0.01%,0.88,8t --- 0 out d4,9t end d 2,,LAD,0.0,L,4,6
6,7,70,2011-06-15,LAN,CIN,5-6,,1,2.0,1,0,0,0,1,0,0,1.0,7,28,21,3,3,0,6,2,1,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.09,0.008,0.05,0.00%,0.88,5t --- 0 out d6,6t 3 out d6,,LAD,0.5,L,2,7
7,8,71,2011-06-17,LAN,HOU,6-8,,1,1.2,3,1,1,1,0,0,0,1.69,8,27,17,6,1,3,4,1,1,0,,3.0,2.0,0,1,0,7,1,0,0,0,0,0,0.32,-0.038,0.13,-0.01%,-1.53,6t 123 1 out d3,8t -23 0 out d5,,LAD,3.333333333333333,L,3,7
8,9,106,2011-07-30,LAN,ARI,9-GF,,42,1.0,1,0,0,0,1,0,0,1.54,3,18,14,4,2,1,1,0,1,0,,0.0,0.0,0,1,0,3,0,0,0,0,0,0,0.19,0.013999999999999999,0.02,0.00%,0.44,9t --- 0 out d2,9t end d 2,,LAD,1.0,L,4,6
9,10,107,2011-07-31,LAN,ARI,5-5,,0,1.0,1,1,1,2,0,0,0,2.13,6,29,14,2,1,0,4,1,0,0,,0.0,0.0,0,0,0,3,1,0,1,0,1,0,0.88,-0.063,0.03,0.00%,-0.56,5t --- 0 out d2,5t 3 out d3,,LAD,3.0,L,3,6
