Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,3,2007-04-04,FLA,WSN,7-7,H(1),99,0.1,0,0,0,0,0,0,0,0.00,1,4,2,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.61,0.016,.71,0.01%,0.10,7b --- 2 out a2,7b 3 out a2,,WSN,0.0,L,6,7
2,4,2007-04-06,FLA,PHI,7-7,,1,0.2,0,0,0,0,0,0,0,0.00,2,7,4,0,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.04,0.002,.04,0.00%,0.27,7t --- 1 out d6,7t 3 out d6,,FLA,0.0,L,2,8
3,7,2007-04-09,FLA,MIL,7-7,H(2),2,1.0,0,0,0,1,1,0,0,0.00,4,18,12,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.071,1.02,0.04%,0.51,7t --- 0 out a2,7t 3 out a2,,FLA,1.0,W,5,3
4,8,2007-04-10,FLA,MIL,10-10,,0,1.0,1,0,0,0,0,0,0,0.00,4,12,10,3,0,2,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.18,0.139,3.45,0.09%,0.51,10t --- 0 out tie,10t 3 out tie,,FLA,1.0,L,2,3
5,11,2007-04-15,FLA,ATL,7-7,,4,1.0,0,0,0,0,3,0,0,0.00,3,15,10,1,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.52,7b --- 0 out d7,7b 3 out d7,,ATL,0.0,L,4,8
6,12,2007-04-16,FLA,HOU,6-6,,0,1.0,2,2,2,2,1,0,0,3.60,7,28,15,1,2,3,1,1,0,0,,0,0,1,0,0,5,0,0,1,0,0,0,1.78,-0.236,1.83,-0.15%,-1.47,6b --- 0 out tie,6b 3 out d2,,HOU,4.0,L,3,4
7,14,2007-04-18,FLA,NYM,6-6,,1,1.0,2,0,0,0,1,0,0,3.00,5,18,13,4,1,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,0.002,.03,0.00%,0.51,6t --- 0 out d8,6t 3 out d8,,FLA,2.0,L,2,9
8,16,2007-04-20,FLA,WSN,9-9,,1,0.1,1,0,0,0,0,0,0,2.84,2,3,3,1,0,0,2,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.59,-0.016,.50,-0.01%,-0.18,9t --- 0 out d1,9t -2- 1 out d1,,FLA,10.0,L,5,6
9,17,2007-04-21,FLA,WSN,6-7,H(3),0,2.0,1,0,0,1,2,0,0,2.16,8,36,21,7,2,0,5,0,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.85,0.095,.66,0.05%,1.02,6t --- 0 out a2,7t 3 out a4,,FLA,1.0,W,9,3
10,20,2007-04-24,FLA,ATL,6-6,L(0-1),2,1.0,1,1,1,2,2,0,0,2.89,6,31,16,3,5,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,2.39,-0.105,2.55,-0.07%,-0.49,6t --- 0 out tie,6t 3 out d1,,FLA,3.0,L,6,11
11,23,2007-04-28,FLA,PHI,7-8,,3,1.2,0,0,0,1,0,0,0,2.45,5,20,10,1,2,3,1,0,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,.42,0.033,.38,0.02%,1.11,7b 1-- 1 out a5,8b 3 out a6,,PHI,0.8333333333333334,W,11,5
12,27,2007-05-02,FLA,NYM,5-5,,3,1.0,3,3,1,1,1,0,0,3.00,8,37,24,6,2,4,2,1,0,0,,0,0,0,0,0,7,0,0,1,0,0,1,.58,-0.140,.69,-0.10%,-2.48,5b --- 0 out d2,5b 3 out d5,,NYM,4.0,L,3,6
13,30,2007-05-06,FLA,SDP,7-8,,3,1.1,0,0,0,0,3,0,0,2.70,4,21,11,3,6,0,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.87,0.093,.77,0.05%,0.84,7t -2- 2 out d1,8t 3 out d1,,FLA,0.0,L,1,3
14,32,2007-05-08,FLA,LAD,6-6,H(4),1,1.0,0,0,0,0,1,0,0,2.51,3,16,12,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.05,0.081,.80,0.04%,0.51,6t --- 0 out a1,6t 3 out a1,,FLA,0.0,W,6,5
15,36,2007-05-12,FLA,WSN,5-5,,3,1.0,1,0,0,0,1,0,0,2.35,3,10,6,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.30,0.067,.84,0.03%,0.49,5b --- 0 out a2,5b 3 out a2,,WSN,1.0,L,3,7
