,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,128,2007-08-25,BAL,MIN,GS-6,L(0-1),99,6.0,4,5,5,3,5,1,0,7.5,24,92,59,17,6,5,11,2,3,0,46.0,,,0,1,0,20,0,0,0,0,0,0,1.0,-0.18600000000000003,0.0,0.00%,-1.66,1t start tie,6t 3 out d4,,BAL,1.1666666666666667,L,1,8
1,2,133,2007-08-31,BAL,BOS,GS-4,,5,3.0,4,2,2,3,3,1,1,7.0,16,72,37,10,4,3,6,2,0,0,43.0,,,0,0,0,12,2,0,0,0,0,0,0.92,-0.168,0.0,0.00%,-1.27,1b start tie,4b 12- 0 out a2,,BOS,2.333333333333333,W,9,8
2,3,138,2007-09-05,BAL,TBD,GS-2,L(0-2),4,1.2,6,4,4,2,1,0,0,9.28,13,58,35,6,2,2,8,5,1,0,26.0,,,1,0,0,10,1,0,0,0,1,0,1.04,-0.281,0.0,0.00%,-3.72,1b start tie,2b 123 2 out d4,,TBD,6.666666666666668,L,2,17
3,4,143,2007-09-11,BAL,LAA,9-GF,,5,1.0,0,1,1,4,0,0,0,9.26,7,29,10,3,2,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.09,-0.008,0.0,0.00%,-0.44,9t --- 0 out d4,9t end d 5,,BAL,4.0,L,5,10
4,5,147,2007-09-15,BAL,TOR,7-GF(8),,3,2.0,2,2,0,1,2,0,0,7.9,10,49,30,5,5,0,7,3,1,0,,0.0,0.0,0,0,0,9,1,0,1,0,0,1,0.07,-0.01,0.0,0.00%,-0.9,7b --- 0 out d5,8b end d 5,,TOR,1.5,L,3,8
5,6,149,2007-09-17,BAL,NYY,8-GF(8),,1,0.1,0,0,0,0,0,0,0,7.71,1,2,1,0,0,0,1,0,1,0,,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0.07,0.002,0.0,0.00%,0.81,8b 123 2 out d5,8b end d 5,,NYY,0.0,L,5,8
6,7,154,2007-09-22,BAL,TEX,GS-3,,4,2.2,6,6,6,4,4,1,0,9.72,18,86,50,16,9,2,8,4,0,0,22.0,,,2,0,0,14,0,0,0,0,0,0,1.12,-0.43,0.0,0.00%,-5.14,1b start a 2,3b 123 2 out d4,,TEX,4.545454545454545,W,11,9
7,8,158,2007-09-26,BAL,TOR,6-GF,,3,4.0,0,0,0,4,4,0,0,7.84,16,71,43,14,6,3,5,0,2,0,,0.0,0.0,0,0,0,12,0,0,0,0,0,0,0.1,0.025,0.0,0.00%,2.22,6t --- 0 out d8,9t end d 3,,BAL,1.0,L,5,8
8,9,162,2007-09-30,BAL,NYY,6-GF,,3,4.0,3,1,1,2,5,0,0,6.93,17,80,50,11,8,1,9,3,2,0,,0.0,0.0,0,0,0,15,0,0,0,0,0,0,0.06,-0.002,0.0,0.00%,1.22,6t --- 0 out d7,9t end d 7,,BAL,1.25,L,4,10
9,10,58,2008-06-03,BAL,MIN,GS-6,W(1-0),99,5.1,4,2,2,1,4,0,0,3.38,21,90,61,16,7,3,13,5,2,0,55.0,,,0,0,0,20,3,0,0,0,0,0,0.77,0.087,0.64,0.04%,0.38,1b start tie,6b -2- 1 out a2,,MIN,0.9803921568627452,W,5,3
