,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,66,2018-06-15,NYA,TBR,GS-5,W(1-0),99,5.0,3,0,0,4,6,0,0,0.0,20,91,57,10,14,6,4,3,0,0,63.0,,,0,0,0,16,0,0,0,2,0,0,1.3,0.28800000000000003,1.28,0.17%,2.56,23.05,45.0,1t start tie,5t 3 out a1,,NYY,1.4,W,5,0
1,2,71,2018-06-20,NYA,SEA,GS-4,,4,3.2,6,3,3,2,4,0,0,3.12,18,84,51,14,7,7,5,3,1,0,39.0,,,0,0,0,16,1,0,0,1,0,0,1.28,0.022000000000000002,1.28,0.01%,0.44,5.45,14.0,1t start tie,4t -23 2 out d1,,NYY,2.5,W,7,5
2,3,76,2018-06-25,NYA,PHI,GS-6,W(2-0),4,5.1,1,0,0,2,8,0,0,1.93,19,86,57,13,13,6,3,2,1,0,72.0,,,1,0,0,17,0,0,0,0,0,0,1.19,0.154,1.14,0.09%,1.56,30.2,52.0,1b start tie,6b -23 1 out a2,,PHI,0.5882352941176471,W,4,2
3,4,82,2018-07-02,NYA,ATL,GS-4,,6,4.0,5,3,3,0,3,1,0,3.0,17,92,62,9,12,10,4,1,1,0,43.0,,,0,0,0,17,3,0,0,0,0,0,1.02,-0.153,1.02,-0.09%,-0.96,6.0,12.0,1t start tie,4t 3 out d1,,NYY,1.25,L,3,5
4,5,138,2018-09-03,NYA,OAK,7-GF(8),,62,2.0,1,0,0,0,4,0,0,2.7,7,25,20,6,6,0,3,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.13,0.019,0.03,0.00%,0.99,11.9,18.0,7b --- 0 out d3,8b end d 3,,OAK,0.5,L,3,6
5,6,145,2018-09-11,NYA,MIN,4-5,,7,1.1,4,6,6,3,3,0,0,5.06,11,47,26,9,6,1,4,3,0,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,0.65,-0.14,0.12,-0.02%,-3.56,-7.2,-5.0,4b --- 0 out d2,5b 123 1 out d5,,MIN,6.363636363636362,L,5,10
6,7,153,2018-09-21,NYA,BAL,7-7,,9,0.1,2,2,2,0,1,1,0,5.82,3,14,7,3,2,0,2,1,0,0,,0.0,0.0,1,0,0,3,0,0,0,0,0,0,1.08,-0.075,0.21,-0.01%,-1.44,-2.45,-2.0,7t --- 0 out a4,7t --3 1 out a3,,NYY,20.0,W,10,8
7,8,159,2018-09-27,NYA,TBR,9-GF,,5,1.0,0,0,0,1,2,0,0,5.56,4,21,12,6,2,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.5,5.65,9.0,9b --- 0 out a11,9b end a11,,TBR,1.0,W,12,1
8,9,162,2018-09-30,NYA,BOS,2-3,,2,2.0,4,3,0,0,2,1,0,5.11,9,39,28,6,3,3,4,1,1,0,,0.0,0.0,0,0,0,9,1,0,0,1,0,0,0.28,-0.079,0.0,0.00%,-1.94,6.1,12.0,2b --- 0 out d4,3b 3 out d7,,BOS,2.0,L,2,10
9,10,6,2019-04-03,NYA,DET,GS-4,,99,4.0,1,1,1,3,4,0,0,2.25,16,70,41,11,11,3,6,2,1,0,57.0,,,2,0,0,12,1,0,0,0,1,0,1.39,0.102,1.24,0.06%,1.17,12.6,21.0,1t start tie,4t 3 out tie,,NYY,1.0,L,1,2
