,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,2,2018-03-30,SDN,MIL,GS-5,,99,4.2,7,3,3,0,1,0,0,5.79,22,75,55,12,9,8,13,8,1,0,39,,,1,0,0,20,4,0,0,0,1,1,0.99,-0.139,0.9,-0.08%,-1.22,2.3,8.0,1t start tie,5t 1-3 2 out a1,,SDP,1.6666666666666663,L,6,8
1,2,7,2018-04-05,SDN,COL,GS-5,,5,5.0,1,0,0,3,7,0,0,2.79,18,84,51,17,8,5,3,1,1,0,69,,,0,1,1,15,0,0,0,0,0,0,0.87,0.268,0.7,0.13%,2.25,22.85,36.0,1t start tie,5t 3 out tie,,SDP,0.8,L,1,3
2,3,12,2018-04-10,SDN,COL,GS-7,W(1-0),4,6.0,4,2,0,1,8,1,0,1.72,22,82,56,14,16,6,7,3,0,0,67,,,0,0,0,21,0,1,0,2,0,1,0.9,-0.017,0.7,-0.01%,0.05,30.5,54.0,1b start tie,7b 1-3 0 out a3,,COL,0.8333333333333334,W,5,2
3,4,17,2018-04-15,SDN,SFG,GS-6,W(2-0),4,6.0,5,1,1,0,9,0,0,1.66,22,88,54,19,14,6,7,3,0,0,67,,,0,0,0,21,0,0,0,1,1,0,0.92,0.128,0.71,0.06%,1.7,30.5,54.0,1t start tie,6t 3 out a5,,SDP,0.8333333333333334,W,10,1
4,5,23,2018-04-22,SDN,ARI,GS-5,L(2-1),6,5.0,5,4,4,4,4,1,0,2.7,23,103,60,21,10,7,8,2,0,0,41,,,2,0,0,19,0,0,0,0,0,0,0.84,-0.17,0.58,-0.07%,-1.46,5.85,15.0,1b start tie,5b 3 out d4,,ARI,1.8,L,2,4
5,6,28,2018-04-28,SDN,NYM,GS-6,W(3-1),5,5.2,4,2,2,2,6,1,0,2.78,23,79,43,16,5,4,11,6,1,0,57,,,0,0,0,21,0,0,0,0,0,0,0.39,0.122,0.15,0.03%,0.49,21.15,41.0,1t start tie,6t 1-- 2 out a9,,SDP,1.1538461538461535,W,12,2
6,7,33,2018-05-04,SDN,LAD,GS-5,L(3-2),5,5.0,5,3,3,3,5,2,0,3.13,22,99,61,22,6,7,7,4,2,0,47,,,0,0,0,19,1,0,0,1,0,0,0.79,-0.14800000000000002,0.27,-0.03%,-0.75,10.45,21.0,1t start tie,5t 3 out d3,,SDP,1.6,L,0,4
7,8,38,2018-05-09,SDN,WSN,GS-6,,4,5.0,6,1,1,1,6,1,0,2.98,20,69,45,15,10,7,6,5,0,0,56,,,0,2,2,19,0,0,0,0,0,0,0.93,-0.01,0.23,0.00%,0.28,17.05,30.0,1t start tie,6t 12- 0 out tie,,SDP,1.4,W,2,1
8,9,43,2018-05-14,SDN,COL,GS-5,,4,5.0,6,3,3,1,2,2,0,3.23,21,71,49,18,2,8,10,5,1,0,44,,,0,0,0,20,0,0,0,1,0,0,1.02,-0.179,0.42,-0.04%,-0.75,5.05,12.0,1t start tie,5t 3 out d1,,SDP,1.4,L,4,6
9,10,76,2018-06-20,SDN,OAK,GS-2,L(3-3),36,1.2,3,4,4,2,3,2,1,3.86,11,51,30,10,2,2,3,2,0,0,34,,,0,0,0,8,1,0,0,0,0,0,0.98,-0.305,0.42,-0.08%,-3.31,-1.85,2.0,1t start tie,2t 1-- 2 out d4,,SDP,4.166666666666667,L,4,12
10,11,81,2018-06-25,SDN,TEX,GS-4,,4,4.0,1,0,0,2,4,0,0,3.57,15,70,41,16,7,5,4,2,0,0,62,,,0,0,0,13,0,0,0,0,0,0,0.94,0.22399999999999998,0.19,0.03%,2.25,15.2,24.0,1b start tie,4b 3 out tie,,TEX,0.75,L,4,7
11,12,85,2018-06-30,SDN,PIT,GS-5,W(4-3),4,5.0,1,0,0,4,5,0,0,3.26,19,85,52,25,4,9,1,1,0,0,66,,,0,0,0,15,0,0,0,1,0,0,1.01,0.259,0.13,0.02%,2.25,22.25,42.0,1t start tie,5t 3 out a2,,SDP,1.0,W,4,3
12,13,90,2018-07-06,SDN,ARI,GS-6,L(4-4),5,5.1,3,2,2,1,5,0,2,3.27,22,81,53,18,11,5,9,5,1,0,58,,,0,0,0,19,1,0,0,0,0,0,1.4,-0.013999999999999999,0.18,0.00%,0.46,14.4,25.0,1b start tie,6b 123 1 out tie,,ARI,0.7843137254901962,L,1,3
13,14,95,2018-07-11,SDN,LAD,GS-4,L(4-5),4,4.0,6,3,2,1,4,0,0,3.34,21,91,59,18,6,8,8,3,0,0,43,,,0,0,0,20,2,0,1,0,0,2,1.2,-0.185,0.08,-0.01%,-1.2,8.8,18.0,1t start tie,4t 3 out d2,,SDP,1.75,L,2,4
14,15,103,2018-07-23,SDN,NYM,GS-6,W(5-5),11,5.1,6,2,2,0,6,0,1,3.34,23,89,60,18,9,8,8,3,3,0,54,,,1,0,0,22,0,0,0,0,0,0,1.03,0.022000000000000002,0.0,0.00%,0.54,19.8,40.0,1b start tie,6b 1-3 1 out a2,,NYM,1.1764705882352942,W,3,2
15,16,108,2018-07-29,SDN,ARI,GS-5,L(5-6),5,4.1,6,5,5,3,3,3,0,3.74,21,73,45,13,6,8,7,3,1,0,31,,,0,1,0,18,1,0,0,0,0,0,0.63,-0.439,0.0,0.00%,-3.89,0.35,7.0,1t start tie,5t 1-3 1 out d3,,SDP,2.1951219512195124,L,4,5
16,17,114,2018-08-05,SDN,CHC,GS-6,,6,5.2,7,3,2,0,9,1,0,3.7,24,86,64,20,11,5,9,5,2,0,54,,,0,1,0,23,2,0,0,0,0,0,0.88,0.013999999999999999,0.0,0.00%,-0.43,22.55,38.0,1b start a 1,6b 12- 2 out a2,,CHC,1.346153846153846,W,10,6
17,18,120,2018-08-12,SDN,PHI,GS-6,W(6-6),6,6.0,2,0,0,3,6,0,0,3.45,21,94,56,18,7,8,4,2,0,0,71,,,0,0,0,18,0,0,0,1,0,0,0.68,0.209,0.0,0.00%,2.7,26.5,48.0,1t start tie,6t 3 out a5,,SDP,0.8333333333333334,W,9,3
18,19,125,2018-08-17,SDN,ARI,GS-4,L(6-7),4,4.0,9,5,5,3,6,1,0,3.79,23,90,59,17,10,9,5,2,0,0,27,,,0,0,0,19,2,0,1,1,0,0,0.9,-0.359,0.0,0.00%,-3.2,3.8,15.0,1t start tie,4t 3 out d3,,SDP,3.0,L,4,9
19,20,130,2018-08-23,SDN,COL,GS-6,,5,6.0,5,2,2,1,6,1,0,3.74,23,81,54,8,12,5,11,6,1,0,59,,,1,0,0,21,2,0,0,1,1,0,1.03,0.044000000000000004,0.0,0.00%,1.4,17.9,30.0,1b start tie,6b 3 out d1,,COL,1.0,L,3,4
20,21,135,2018-08-29,SDN,SEA,GS-7,W(7-7),5,6.2,6,1,1,2,9,0,0,3.59,27,108,64,17,9,8,8,4,1,0,65,,,1,0,0,25,1,0,0,1,0,0,0.65,0.067,0.0,0.00%,1.58,30.2,56.0,1t start tie,7t -23 2 out a7,,SDP,1.2903225806451613,W,8,3
21,22,141,2018-09-04,SDN,ARI,GS-5,L(7-8),5,5.0,3,2,2,1,6,0,0,3.59,19,74,48,16,12,2,10,7,0,0,58,,,0,0,0,16,1,1,0,0,1,0,0.68,-0.012,0.0,0.00%,0.54,16.85,27.0,1b start tie,5b 3 out d2,,ARI,0.8,L,0,6
22,23,147,2018-09-12,SDN,SEA,GS-5,W(8-8),7,5.0,6,3,3,2,3,1,0,3.67,22,86,49,11,9,11,6,3,0,0,44,,,0,0,0,20,1,1,0,1,0,0,1.04,0.051,0.0,0.00%,-0.6,10.45,27.0,1b start tie,5b 3 out a2,,SEA,1.6,W,5,4
23,24,152,2018-09-18,SDN,SFG,GS-5,,5,5.0,7,3,3,1,8,1,0,3.74,23,94,64,16,20,4,10,5,1,0,48,,,2,0,0,22,2,0,0,0,0,0,1.15,-0.131,0.0,0.00%,-0.75,16.45,30.0,1t start tie,5t 3 out d1,,SDP,1.6,L,4,5
24,25,156,2018-09-23,SDN,LAD,GS-4,L(8-9),4,3.2,7,7,7,2,6,3,0,4.14,21,84,53,15,7,5,8,2,1,0,23,,,0,0,0,19,1,0,0,0,0,0,0.68,-0.251,0.0,0.00%,-3.59,0.85,8.0,1b start tie,4b 1-3 2 out d5,,LAD,2.8125,L,0,14
25,26,162,2018-09-30,SDN,ARI,GS-6,,6,6.0,4,2,2,0,8,2,0,4.08,20,71,50,12,9,7,5,2,0,0,64,,,0,1,1,20,0,0,0,1,0,0,0.96,0.033,0.0,0.00%,0.7,23.1,36.0,1t start tie,6t 3 out tie,,SDP,0.6666666666666666,W,4,3
26,27,2,2019-03-29,SDN,SFG,GS-6,W(1-0),99,5.1,3,0,0,2,7,0,0,0.0,21,87,56,18,14,7,5,4,0,0,67,,,0,0,0,19,2,0,0,0,0,0,0.79,0.242,0.88,0.16%,2.49,27.0,49.0,1t start tie,6t 1-- 1 out a4,,SDP,0.9803921568627452,W,4,1
27,28,7,2019-04-03,SDN,ARI,GS-5,W(2-0),4,5.0,4,0,0,1,6,0,0,0.0,20,83,55,12,9,5,8,5,1,0,64,,,0,0,0,19,3,0,0,0,0,0,0.94,0.28,1.0,0.18%,2.51,24.25,45.0,1t start tie,5t 3 out tie,,SDP,1.0,W,4,1
28,29,12,2019-04-09,SDN,SFG,GS-4,L(2-1),5,4.0,7,7,7,2,4,0,0,4.4,21,76,46,12,12,7,8,6,0,0,22,,,0,0,0,17,3,0,0,0,1,0,0.58,-0.34600000000000003,0.7,-0.25%,-5.01,-2.4,3.0,1b start tie,4b 3 out d7,,SFG,2.25,L,2,7
29,30,18,2019-04-15,SDN,COL,GS-7,L(2-2),5,7.0,7,5,5,2,4,2,0,5.06,29,89,58,18,4,11,12,6,1,0,45,,,0,1,0,26,2,0,0,1,0,1,0.8,-0.17800000000000002,1.03,-0.14%,-1.49,8.35,18.0,1t start tie,7t 3 out d4,,SDP,1.2857142857142858,L,2,5
30,31,23,2019-04-21,SDN,CIN,GS-6,W(3-2),5,5.2,5,1,1,2,8,0,0,4.33,24,92,58,15,14,10,4,2,0,0,61,,,0,0,0,22,1,0,0,0,0,0,0.78,0.134,0.76,0.08%,1.58,26.55,50.0,1t start tie,6t 12- 2 out a3,,SDP,1.346153846153846,W,4,3
31,32,28,2019-04-28,SDN,WSN,GS-4,,6,4.0,9,5,4,1,5,2,0,4.94,23,84,51,7,7,7,10,3,1,0,30,,,0,0,0,22,0,0,0,0,0,1,1.04,-0.136,1.2,-0.10%,-2.75,5.0,15.0,1b start a 1,4b 3 out a1,,WSN,2.5,L,6,7
32,33,34,2019-05-04,SDN,LAD,GS-6,,5,5.0,5,3,3,2,2,0,0,5.0,22,100,64,21,6,11,7,0,2,0,45,,,0,0,0,20,1,0,0,0,0,0,0.94,0.027999999999999997,1.25,0.02%,0.52,5.05,12.0,1t start tie,6t 12- 0 out a2,,SDP,1.4,L,6,7
