Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
20,4,2000-04-07,BAL,DET,GS-5,,99,4.0,6,6,6,3,2,3,1,13.50,22,110,71,16,12,7,9,2,0,0,25,,,0,0,0,17,0,0,0,1,1,1,1.13,-0.386,1.18,-0.24%,-3.73,1t start tie,5t --- 0 out d1,,BAL,2.25,W,14,10
21,11,2000-04-15,BAL,MIN,GS-5,,7,5.0,6,4,4,2,4,0,1,10.00,22,76,46,16,5,5,10,5,1,0,41,,,1,0,0,18,1,2,0,2,0,0,1.29,-0.135,1.32,-0.08%,-0.89,1b start a 1,5b 3 out tie,,MIN,1.6,W,6,4
22,14,2000-04-20,BAL,TBD,9-GF,,4,1.0,0,0,0,0,1,0,0,9.00,3,12,9,3,3,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,0.018,.26,0.01%,0.57,9t --- 0 out a4,9t end a 4,,BAL,0.0,W,8,4
23,16,2000-04-22,BAL,OAK,6-8,H(1),1,2.1,0,0,0,2,2,0,0,7.30,8,35,20,8,3,2,2,0,1,0,,2,0,0,0,0,6,0,0,0,1,0,0,2.04,0.260,2.42,0.19%,1.62,6b 12- 2 out a2,8b 3 out a2,,OAK,0.9523809523809523,W,4,3
24,18,2000-04-24,BAL,CHW,7-7,,1,0.2,0,0,0,0,1,0,0,6.92,2,10,5,3,1,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.13,0.006,.16,0.01%,0.77,7b -2- 1 out d5,7b 3 out d5,,CHW,0.0,L,2,8
25,19,2000-04-25,BAL,CHW,6-6,,0,0.1,1,0,0,0,0,0,0,6.75,2,4,3,0,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.09,-0.024,1.34,-0.02%,-0.41,6b --- 0 out a4,6b --3 1 out a4,,CHW,10.0,W,12,6
26,21,2000-04-27,BAL,CHW,2-3,,1,1.1,3,6,6,4,0,1,0,9.82,11,40,17,6,1,0,6,1,0,1,,3,0,0,0,0,6,0,1,1,0,1,0,.68,-0.171,.84,-0.13%,-4.54,2b 123 2 out d2,3b 3 out d8,,CHW,6.363636363636363,L,4,13
27,24,2000-04-30,BAL,TEX,7-7,,2,1.0,2,1,1,0,2,1,0,9.77,5,30,19,3,4,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.44,-0.055,.52,-0.04%,-0.43,7t --- 0 out d2,7t 3 out d3,,BAL,2.0,L,4,8
28,27,2000-05-04,BAL,ANA,5-8,,3,3.0,2,2,2,2,4,1,0,9.16,12,57,34,6,10,0,6,1,0,0,,1,0,0,0,0,10,0,0,0,0,0,0,.81,0.043,.95,0.03%,0.31,5t 1-- 1 out d1,8t 12- 1 out d2,,BAL,1.3333333333333333,L,5,8
29,29,2000-05-06,BAL,NYY,8-GF(8),,1,0.1,0,0,0,0,0,0,0,9.00,1,2,1,0,0,0,1,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.86,0.023,1.09,0.02%,0.84,8b 123 2 out d2,8b end d 2,,NYY,0.0,L,1,3
