,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,129,2010-08-27,CHN,CIN,7-7,,99,1.0,1,1,1,1,1,1,0,9.0,5,13,6,2,0,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.03,-0.006,0.0,0.00%,-0.5,7b --- 0 out d5,7b 3 out d6,,CIN,2.0,L,1,7
1,2,132,2010-08-30,CHN,PIT,9-GF,,2,1.0,1,0,0,0,1,0,0,4.5,4,15,10,4,0,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.51,9t --- 0 out a12,9t end a12,,CHC,1.0,W,14,2
2,3,134,2010-09-01,CHN,PIT,5-6,H(1),1,1.1,1,0,0,1,1,0,0,2.7,5,15,9,2,4,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,1.97,0.168,0.0,0.00%,1.2,5t 12- 1 out a1,6t 1-- 2 out a1,,CHC,1.818181818181818,W,5,3
3,4,137,2010-09-05,CHN,NYM,5-6,,3,1.1,2,0,0,1,1,0,0,1.93,7,29,19,7,1,3,2,0,0,0,,2,0,0,0,0,6,1,0,1,0,0,0,0.79,0.052000000000000005,0.0,0.00%,1.01,5t 1-3 2 out d3,6t 3 out d3,,CHC,2.727272727272727,L,5,18
4,5,139,2010-09-07,CHN,HOU,6-6,,1,1.0,1,1,0,0,0,0,0,1.59,5,28,18,2,3,2,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,1,1,0.5,-0.039,0.0,0.00%,-0.49,6t --- 0 out d3,6t 3 out d4,,CHC,1.0,L,3,7
5,6,144,2010-09-13,CHN,STL,6-7,H(2),5,0.2,1,1,1,0,0,0,0,2.84,3,7,4,1,0,1,2,1,1,0,,2,0,0,0,0,3,1,0,0,0,0,0,0.76,0.022000000000000002,0.0,0.00%,0.24,6b 12- 2 out a4,7b -2- 1 out a4,,STL,5.0,W,5,1
6,7,146,2010-09-15,CHN,STL,7-7,H(3),1,0.2,1,1,1,0,1,0,0,3.86,3,15,11,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.68,0.027999999999999997,0.0,0.00%,0.25,7b --- 0 out a3,7b 1-- 2 out a3,,STL,5.0,W,7,3
7,8,149,2010-09-19,CHN,FLA,9-GF,,3,1.0,0,0,0,1,2,0,0,3.38,4,15,8,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.5,9b --- 0 out a10,9b end a10,,FLA,1.0,W,13,3
8,9,150,2010-09-21,CHN,SFG,9-GF,,1,1.0,0,0,0,0,0,0,0,3.0,3,11,8,2,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.51,0.039,0.0,0.00%,0.51,9t --- 0 out d1,9t end d 1,,CHC,0.0,L,0,1
9,10,153,2010-09-24,CHN,STL,6-7,,2,1.2,0,0,0,1,3,0,0,2.53,6,25,14,9,1,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.07,0.008,0.0,0.00%,0.91,6t --- 0 out d6,7t --- 2 out d6,,CHC,0.8333333333333334,L,1,7
10,11,155,2010-09-26,CHN,STL,6-6,,1,1.0,1,0,0,0,1,0,0,2.31,5,26,17,6,2,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,1,0.11,0.005,0.0,0.00%,0.51,6t --- 0 out d6,6t 3 out d6,,CHC,1.0,L,7,8
11,12,158,2010-09-29,CHN,SDP,8-GF(8),,2,1.0,0,0,0,0,0,0,0,2.13,3,7,5,1,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.07,0.005,0.0,0.00%,0.44,8b --- 0 out d3,8b end d 3,,SDP,0.0,L,0,3
12,13,161,2010-10-02,CHN,HOU,8-8,,2,0.1,0,0,0,0,0,0,0,2.08,1,2,2,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.18,0.005,0.0,0.00%,0.22,8b 1-- 2 out a5,8b 3 out a5,,HOU,0.0,W,8,3
13,14,42,2011-05-19,CHN,FLA,6-6,H(1),99,0.1,0,0,0,0,0,0,0,0.0,1,4,2,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.87,0.047,1.21,0.02%,0.42,6b 12- 2 out a3,6b 3 out a3,,FLA,0.0,W,5,1
14,15,43,2011-05-20,CHN,BOS,4-5,,0,0.1,5,3,3,1,0,2,0,40.5,8,37,19,3,2,2,5,2,0,0,,1,1,0,0,0,7,1,0,0,0,0,1,0.23,-0.138,0.15,-0.06%,-4.11,4b 1-- 2 out d4,5b 1-3 0 out d4,,BOS,60.0,L,5,15
15,16,45,2011-05-22,CHN,BOS,8-GF(8),,1,0.2,0,0,0,0,0,0,0,20.25,1,4,2,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,0.2,0.005,0.14,0.00%,0.94,8b 12- 1 out d4,8b end d 4,,BOS,0.0,L,1,5
16,17,47,2011-05-25,CHN,NYM,6-GF(7),,2,1.2,2,0,0,1,3,0,0,9.0,8,34,19,5,5,2,2,1,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,0.4,0.024,0.27,0.01%,0.51,6t --- 0 out d3,7t end d 3,,CHC,2.5,L,4,7
17,18,49,2011-05-27,CHN,PIT,8-8,,1,1.0,0,0,0,0,1,0,0,6.75,3,10,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.05,0.00%,0.46,8t --- 0 out d4,8t 3 out d4,,CHC,0.0,L,2,4
18,19,50,2011-05-28,CHN,PIT,7-8,,0,2.0,1,2,2,2,1,1,0,7.5,9,40,20,8,1,2,4,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.01,-0.005,0.01,0.00%,-1.08,7t --- 0 out d7,8t 3 out d9,,CHC,1.5,L,0,10
19,20,52,2011-05-30,CHN,HOU,9-GF,,1,1.0,3,3,3,1,0,1,0,10.29,7,28,17,5,2,4,2,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,1,0.07,-0.027000000000000003,0.04,-0.01%,-2.54,9t --- 0 out d3,9t end d 6,,CHC,4.0,L,7,12
20,21,14,2012-04-20,CHN,CIN,7-7,,99,1.0,0,0,0,1,2,0,0,0.0,4,17,10,5,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.41,0.019,0.24,0.01%,0.48,7t --- 0 out d3,7t 3 out d3,,CHC,1.0,L,4,9
