,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,60,2003-06-05,,ANA,10-13,,99,4.0,3,0,0,2,3,0,0,0.00,16,60,35,7,9,2,9,3,3,0,,0,0,0,1,0,14,0,0,0,0,0,0,3.03,0.584,3.95,0.46%,2.18,10t --- 0 out tie,13t 3 out tie,,MON,1.25,W,8,7
1,2,63,2003-06-08,,TEX,7-7,,2,0.1,0,0,0,0,0,0,0,0.00,1,4,2,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,4.72,0.122,6.73,0.10%,0.8,7t 123 2 out tie,7t 3 out tie,,MON,0.0,W,3,2
2,3,64,2003-06-10,,SEA,7-7,H(1),1,1.0,0,0,0,0,2,0,0,0.00,3,12,8,4,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.43,0.11,2.01,0.09%,0.52,7b --- 0 out a1,7b 3 out a1,,SEA,0.0,W,7,3
3,4,66,2003-06-12,,SEA,7-GF(8),,1,2.0,1,0,0,1,0,0,0,0.00,7,27,15,6,0,5,1,0,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,0.6,0.077,0.87,0.07%,1.04,7b --- 0 out d1,8b end d 1,,SEA,1.0,L,0,1
4,5,68,2003-06-14,,OAK,6-7,H(2),1,2.0,2,1,1,0,0,1,0,0.96,7,28,20,5,4,2,5,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.31,0.066,1.91,0.06%,0.08,6b --- 0 out a2,7b 3 out a1,,OAK,1.0,L,4,5
5,6,72,2003-06-19,,PIT,7-7,H(3),4,0.1,1,0,0,0,0,0,0,0.93,2,4,3,1,0,0,2,1,1,0,,2,1,0,0,0,2,0,0,0,0,0,0,3.16,-0.034,4.15,-0.03%,-0.3,7b 1-3 1 out a2,7b 1-3 2 out a1,,PIT,10.0,W,5,2
6,7,74,2003-06-21,,TOR,5-5,,1,0.2,1,1,1,1,1,0,0,1.74,4,20,11,3,2,0,2,1,0,0,,0,0,0,0,0,3,0,1,0,0,0,0,0.28,-0.037000000000000005,0.37,-0.03%,-0.71,5t --- 1 out d4,5t 3 out d5,,MON,10.0,W,8,5
7,8,77,2003-06-24,,PIT,7-8,H(4),2,1.1,1,2,2,2,1,0,0,3.09,7,24,13,4,3,1,3,2,1,0,,0,0,1,0,0,5,1,0,0,0,0,0,1.18,0.06,1.56,0.05%,0.13,7t --- 0 out a2,8t 12- 1 out a5,,MON,2.727272727272727,W,6,4
8,9,79,2003-06-27,,TOR,8-GF,L(0-1),2,1.1,1,1,1,3,0,0,0,3.46,8,32,13,3,1,2,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.78,-0.235,3.73,-0.19%,-1.51,8b --- 0 out tie,9b end d 1,,TOR,3.636363636363636,L,5,6
9,10,82,2003-06-30,,NYM,8-GF(8),,2,1.0,0,0,0,0,0,0,0,3.21,3,7,5,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.18,0.013999999999999999,0.25,0.01%,0.5,8b --- 0 out d2,8b end d 2,,NYM,0.0,L,1,3
10,11,83,2003-07-01,,NYM,8-GF,L(0-2),0,1.2,2,1,1,0,0,0,0,3.45,8,29,20,3,1,3,5,2,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.24,-0.255,2.81,-0.19%,-0.43,8b --- 0 out tie,9b end d 1,,NYM,1.6666666666666667,L,6,7
11,12,85,2003-07-03,,ATL,9-GF,S(1),1,0.1,0,0,0,0,0,0,0,3.38,1,1,1,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,6.71,0.175,10.39,0.16%,0.45,9b 12- 2 out a1,9b end a 1,,ATL,0.0,W,5,4
12,13,86,2003-07-04,,ATL,8-8,,0,0.2,2,1,1,1,0,0,0,3.78,5,20,9,1,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.57,-0.07,0.92,-0.07%,-0.93,8b --- 0 out d1,8b 12- 2 out d2,,ATL,15.0,L,6,8
13,14,87,2003-07-05,,ATL,8-8,H(5),0,0.2,0,0,0,0,0,0,0,3.63,2,9,5,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.58,0.081,2.47,0.08%,0.28,8b --- 1 out a1,8b 3 out a1,,ATL,0.0,L,2,3
14,15,92,2003-07-11,,FLA,8-8,H(6),5,1.0,1,0,0,0,0,0,0,3.44,4,16,11,3,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.72,0.126,1.79,0.08%,0.54,8t --- 0 out a1,8t 3 out a1,,MON,1.0,L,4,5
15,16,95,2003-07-17,,PHI,8-9,,5,1.0,0,0,0,3,2,0,0,3.26,6,34,19,5,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.0,0.003,3.14,0.00%,-0.18,8b --- 2 out tie,9b 123 2 out tie,,PHI,3.0,L,2,5
16,17,97,2003-07-19,,PHI,9-9,,1,1.0,0,0,0,0,1,0,0,3.10,3,12,8,1,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.78,0.134,1.69,0.08%,0.48,9b --- 0 out tie,9b 3 out tie,,PHI,0.0,L,3,4
17,18,98,2003-07-20,,PHI,8-GF(8),,0,1.0,0,0,0,0,2,0,0,2.95,3,15,11,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.07,0.00%,0.48,8b --- 0 out d3,8b end d 3,,PHI,0.0,L,2,3
18,19,100,2003-07-22,,FLA,7-7,,1,0.1,1,0,0,2,0,0,0,2.91,4,24,15,2,3,0,2,1,0,0,,3,3,0,0,0,1,0,0,0,0,1,0,0.96,-0.109,0.59,-0.04%,-2.19,7b 123 1 out d1,7b 123 2 out d4,,FLA,30.0,L,1,9
19,20,103,2003-07-25,,ATL,8-8,,2,1.0,2,2,2,0,1,1,0,3.57,5,20,11,4,2,2,2,2,0,0,,2,2,0,0,0,5,0,0,0,0,0,0,0.3,-0.084,0.18,-0.03%,-2.44,8t 12- 0 out d2,8t 3 out d6,,MON,2.0,W,9,8
20,21,104,2003-07-26,,ATL,6-7,,0,1.2,1,0,0,1,1,0,0,3.33,6,22,14,3,3,1,3,0,1,0,,1,1,0,0,0,5,0,0,1,1,0,0,0.31,-0.011000000000000001,0.21,-0.01%,0.26,6t -2- 1 out d4,7t 3 out d5,,MON,1.6666666666666667,L,4,15
21,22,105,2003-07-27,,ATL,6-7,W(1-2),0,2.0,1,0,0,1,1,0,1,3.08,8,24,16,4,2,4,1,0,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,0.74,0.055999999999999994,0.45,0.02%,1.09,6t --- 0 out d4,7t 3 out d2,,MON,1.0,W,13,10
