Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,116,2009-08-15,MIN,CLE,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,3,9,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.02,0.00%,0.53,9t --- 0 out d5,9t end d 5,,MIN,0.0,L,3,7
2,117,2009-08-16,MIN,CLE,5-6,,0,1.2,1,0,0,2,0,0,0,0.00,7,27,14,2,2,3,2,0,1,0,,0,0,1,0,0,5,0,0,0,1,0,0,.36,0.020,.22,0.01%,0.54,5t --- 0 out d4,6t 1-3 2 out d4,,MIN,2.5,L,4,7
3,121,2009-08-20,MIN,TEX,6-7,,3,1.2,5,2,2,0,1,0,0,4.15,10,48,32,10,3,4,5,2,0,0,,1,1,0,0,0,9,0,0,0,0,1,0,.01,-0.004,.01,0.00%,-1.70,6b -2- 1 out d7,7b 3 out d10,,TEX,4.166666666666667,L,1,11
4,124,2009-08-23,MIN,KCR,8-8,,2,1.0,2,1,1,0,0,0,0,5.06,5,26,16,6,1,2,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.20,0.002,.14,0.00%,-0.47,8b --- 0 out a7,8b 3 out a6,,KCR,2.0,W,10,3
5,127,2009-08-26,MIN,BAL,6-8,,2,1.2,1,1,1,1,1,0,0,5.14,7,26,14,5,1,2,3,1,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.37,0.015,.38,0.01%,-0.04,6t -2- 2 out d3,8t -23 1 out d3,,MIN,1.6666666666666667,L,1,5
6,132,2009-09-01,MIN,CHW,GS-5,,5,5.0,4,1,1,2,2,1,0,3.75,21,80,48,14,2,9,8,3,0,0,55,,,1,0,0,19,1,0,0,0,0,0,1.00,0.139,1.48,0.12%,1.66,1t start tie,5t 3 out d1,,MIN,1.2,W,4,3
7,137,2009-09-07,MIN,TOR,GS-5,,5,4.1,7,3,3,2,4,1,0,4.41,22,104,64,18,9,4,12,3,3,0,39,,,0,0,0,19,2,0,0,0,1,0,.83,-0.074,.40,-0.02%,-0.74,1b start a 5,5b -23 1 out a3,,TOR,2.1951219512195124,W,6,3
8,142,2009-09-12,MIN,OAK,GS-5,L(0-1),4,4.0,3,4,4,3,3,0,1,5.31,18,79,44,14,3,5,6,2,1,0,40,,,2,0,0,13,2,0,0,0,1,0,1.03,-0.129,.79,-0.06%,-0.88,1t start tie,5t 12- 0 out tie,,MIN,1.5,L,2,4
9,151,2009-09-22,MIN,CHW,GS-3,,9,2.1,5,4,4,1,0,2,0,6.35,13,43,25,10,0,4,8,4,1,0,30,,,1,0,0,12,0,0,0,0,0,0,.91,-0.328,1.78,-0.39%,-3.27,1b start a 3,3b 12- 1 out d1,,CHW,2.857142857142857,W,8,6
10,155,2009-09-27,MIN,KCR,2-6,,4,3.2,3,1,1,3,5,0,0,5.81,16,66,34,13,11,4,4,1,0,0,,2,0,0,0,0,12,1,0,0,0,0,0,.44,0.032,.94,0.04%,1.07,2b 1-3 2 out d3,6b 1-- 1 out d3,,KCR,1.875,L,1,4
11,160,2009-10-02,MIN,KCR,GS-6,W(1-1),4,5.1,8,4,3,1,4,0,0,5.68,24,95,63,20,9,11,8,1,1,0,41,,,1,0,0,23,1,0,0,1,0,0,.41,0.097,1.12,0.16%,0.25,1t start tie,6t 12- 1 out a8,,MIN,1.7647058823529413,W,10,7
12,24,2010-05-01,MIN,CLE,GS-6,,99,6.0,5,2,2,1,6,1,0,3.00,22,86,55,16,10,8,7,2,0,0,59,,,0,1,0,21,0,0,0,1,0,0,1.05,0.174,1.44,0.14%,0.80,1b start a 2,6b 3 out a1,,CLE,1.0,L,4,5
13,41,2010-05-20,MIN,BOS,5-6,,18,1.1,1,1,0,0,0,0,0,2.45,5,20,15,4,2,2,3,1,1,0,,1,0,0,0,0,5,1,0,0,0,0,0,.12,-0.004,.16,0.00%,-0.14,5b -2- 2 out d5,6b 3 out d6,,BOS,0.9090909090909091,L,2,6
14,68,2010-06-19,MIN,PHI,2-6,,29,4.1,2,1,1,1,2,1,0,2.31,16,58,36,12,5,7,6,1,0,0,,0,0,0,0,0,15,0,0,0,0,0,0,.14,0.004,.21,0.00%,1.10,2b --- 2 out d4,6b 3 out d4,,PHI,0.7317073170731708,W,13,10
15,71,2010-06-23,MIN,MIL,8-GF(8),,3,1.0,2,1,1,1,0,0,0,2.84,6,23,13,6,0,2,3,0,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,.31,-0.026,.43,-0.02%,-0.51,8b --- 0 out d2,8b end d 3,,MIL,3.0,L,3,5
16,93,2010-07-19,MIN,CLE,6-7,,25,2.0,1,0,0,0,0,0,0,2.45,7,18,13,5,0,3,4,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.16,0.016,.22,0.01%,0.97,6t --- 0 out d6,7t 3 out d4,,MIN,0.5,L,4,10
17,120,2010-08-18,MIN,CHW,6-7,W(1-0),29,1.1,1,0,0,0,1,0,0,2.25,5,26,15,4,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.16,0.048,2.74,0.07%,0.46,6t --- 0 out d1,7t 1-- 1 out a2,,MIN,0.9090909090909091,W,7,6
18,123,2010-08-21,MIN,LAA,4-6,,2,2.2,4,2,1,1,2,0,0,2.41,13,44,28,13,2,5,5,1,1,0,,0,0,0,0,0,12,0,1,0,0,0,0,1.12,-0.009,1.41,-0.01%,0.24,4t --- 0 out d1,6t 1-- 2 out d2,,MIN,2.2727272727272725,L,3,9
19,134,2010-09-02,MIN,DET,3-6,,11,4.0,4,1,1,0,3,0,0,2.38,15,65,42,11,5,4,8,2,0,0,,0,0,0,0,0,15,1,0,0,0,0,0,1.22,0.082,1.59,0.06%,0.95,3t --- 0 out tie,6t 3 out a3,,MIN,1.0,L,9,10
