,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,1,2007-04-02,OAK,SEA,8-GF(8),,99,0.1,0,0,0,0,0,0,0,0.0,1,9,6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.03,0.001,0.04,0.00%,0.11,8b --- 2 out d4,8b end d 4,,SEA,0.0,L,0,4
1,2,3,2007-04-04,OAK,SEA,8-8,,1,1.0,0,0,0,0,0,0,0,0.0,3,5,4,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.53,8b --- 0 out a9,8b 3 out a9,,SEA,0.0,W,9,0
2,3,5,2007-04-06,OAK,LAA,7-GF(8),,1,1.2,0,0,0,0,1,0,0,0.0,5,21,15,5,2,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.09,0.012,0.12,0.01%,0.85,7b --- 1 out d4,8b end d 3,,LAA,0.0,L,2,5
3,4,8,2007-04-09,OAK,CHW,7-8,,2,1.1,2,2,2,1,0,0,0,4.15,7,23,14,3,1,5,1,0,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,1.11,-0.1,1.13,-0.06%,-1.17,7t --- 0 out d1,8t 1-3 1 out d2,,OAK,2.727272727272727,L,1,4
4,5,10,2007-04-11,OAK,CHW,7-7,H(1),1,0.2,0,0,0,1,0,0,0,3.6,2,10,4,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,1.37,0.037000000000000005,1.44,0.02%,0.27,7t --- 1 out a2,7t 3 out a2,,OAK,5.0,L,3,6
5,6,11,2007-04-13,OAK,NYY,7-7,,1,1.0,0,0,0,0,2,0,0,3.0,3,11,8,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.75,0.057,0.74,0.03%,0.52,7t --- 0 out d1,7t 3 out d1,,OAK,0.0,W,5,4
6,7,12,2007-04-14,OAK,NYY,7-7,,0,0.1,0,0,0,0,0,0,0,2.84,1,4,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.18,0.062,2.26,0.04%,0.33,7t -2- 2 out tie,7t 3 out tie,,OAK,0.0,L,3,4
7,8,13,2007-04-15,OAK,NYY,8-GF,W(1-0),0,1.1,1,0,0,0,0,0,0,2.35,4,15,10,2,1,4,0,0,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,0.36,0.033,0.35,0.02%,0.75,8t 1-- 2 out d2,9t end d 2,,OAK,0.9090909090909092,W,5,4
8,9,16,2007-04-20,OAK,TEX,7-7,,4,0.1,0,0,0,0,0,0,0,2.25,1,4,2,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.11,0.003,0.15,0.00%,0.25,7b 1-- 2 out a7,7b 3 out a7,,TEX,0.0,W,16,4
9,10,17,2007-04-21,OAK,TEX,8-GF(8),,0,1.0,5,5,4,1,0,1,0,6.0,10,34,22,5,0,5,4,2,0,0,,0,0,0,0,0,9,1,0,1,0,0,1,0.23,-0.064,0.31,-0.05%,-4.44,8b --- 0 out d2,8b end d 7,,TEX,6.0,L,0,7
