,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,29,2013-05-03,SLN,MIL,7-7,,99,1.0,1,0,0,0,0,0,0,0.0,3,14,8,1,1,2,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.4,0.017,0.56,0.01%,0.46,7b --- 0 out a5,7b 3 out a5,,MIL,1.0,W,6,1,,
1,2,31,2013-05-05,SLN,MIL,9-GF,,1,1.0,0,0,0,0,1,0,0,0.0,3,17,11,3,0,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.46,9b --- 0 out a9,9b end a 9,,MIL,0.0,W,10,1,,
2,3,36,2013-05-12,SLN,COL,8-8,,6,0.2,3,3,3,1,2,0,0,10.13,6,25,17,1,3,0,3,3,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,0.06,-0.012,0.07,-0.01%,-2.76,8t --- 0 out d5,8t 1-- 2 out d8,,STL,20.0,L,2,8,,
3,4,38,2013-05-14,SLN,NYM,8-8,,1,1.0,0,0,0,1,3,0,0,7.36,4,18,11,3,4,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.06,0.005,0.08,0.00%,0.45,8t --- 0 out a6,8t 3 out a6,,STL,1.0,W,10,4,,
4,5,42,2013-05-18,SLN,MIL,7-8,,3,1.2,1,0,0,0,1,0,2,5.06,7,24,16,2,3,3,1,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,1,0,0,1.54,0.096,1.94,0.07%,0.49,7t --- 0 out tie,8t 12- 2 out tie,,STL,0.8333333333333334,L,4,6,,
5,6,45,2013-05-21,SLN,SDP,8-GF,,2,1.2,4,1,1,1,0,0,0,5.14,9,29,18,1,0,6,2,1,0,0,,0.0,0.0,0,0,0,8,0,0,0,1,0,0,0.01,0.001,0.02,0.00%,-0.39,8b --- 1 out a8,9b end a 8,,SDP,4.166666666666667,W,10,2,,
6,7,48,2013-05-25,SLN,LAD,5-5,,3,1.0,0,0,0,0,2,0,0,4.5,3,15,12,4,2,0,1,0,1,0,,1.0,0.0,0,0,0,3,0,0,0,0,0,0,0.66,0.047,0.79,0.03%,0.79,5b 1-- 0 out d2,5b 3 out d2,,LAD,0.0,L,3,5,,
7,8,92,2013-07-13,SLN,CHC,6-7,,48,2.0,0,0,0,0,2,0,0,3.6,6,32,20,5,4,2,2,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.06,0.009000000000000001,0.06,0.01%,0.9,6b --- 0 out d5,7b 3 out d4,,CHC,0.0,L,4,6,,
8,9,94,2013-07-19,SLN,SDP,9-9,,5,0.1,3,3,3,1,0,0,0,6.1,5,18,9,1,0,3,1,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.33,-0.03,0.34,-0.02%,-3.03,9t --- 0 out a6,9t 1-- 1 out a3,,STL,40.0,W,9,6,,
9,10,98,2013-07-24,SLN,PHI,9-GF,,4,1.0,0,0,0,0,0,0,0,5.56,3,13,9,2,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.45,9t --- 0 out a8,9t end a 8,,STL,0.0,W,11,3,,
10,11,114,2013-08-08,SLN,LAD,GS-5,L(0-1),14,4.2,7,4,4,3,2,1,0,6.19,24,97,58,17,4,10,9,2,0,0,33.0,,,1,0,0,20,0,0,0,0,1,0,1.32,-0.27399999999999997,1.35,-0.17%,-1.86,1t start tie,5t --- 2 out d3,,STL,2.380952380952381,L,1,5,,
11,12,131,2013-08-26,SLN,CIN,6-7,W(1-1),17,2.0,2,1,1,0,1,0,1,6.0,9,23,17,2,3,2,5,3,1,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,0.66,-0.061,1.04,-0.06%,-0.11,6t --- 0 out d1,7t 3 out d2,,STL,1.0,W,8,6,,
12,13,139,2013-09-04,SLN,CIN,15-GF(16),W(2-1),8,2.0,1,0,0,1,1,0,0,5.4,7,25,14,3,2,3,2,0,1,0,,0.0,0.0,0,1,0,5,0,0,1,0,0,0,3.19,0.309,4.9,0.29%,0.9,15b --- 0 out tie,16b end a 1,,CIN,1.0,W,5,4,,
13,14,141,2013-09-06,SLN,PIT,9-9,,1,0.1,1,0,0,0,1,0,0,5.31,2,9,9,2,1,0,1,1,0,0,,3.0,2.0,0,0,0,2,1,0,0,0,0,0,0.27,-0.003,0.59,0.00%,-1.06,9t 123 1 out a6,9t -23 2 out a4,,STL,10.0,W,12,8,,
14,15,146,2013-09-12,SLN,MIL,6-7,,5,2.0,2,0,0,0,2,0,0,4.84,8,21,17,2,6,3,3,1,0,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,0.52,0.062,0.9,0.07%,0.9,6t --- 0 out d2,7t 3 out d2,,STL,1.0,L,3,5,,
15,16,151,2013-09-17,SLN,COL,6-7,,4,1.2,5,4,4,1,2,0,0,6.0,11,40,26,8,2,3,5,5,0,0,,0.0,0.0,0,0,0,10,1,0,0,0,0,0,0.07,-0.016,0.14,-0.02%,-3.47,6b --- 0 out a10,7b 1-3 2 out a6,,COL,5.0,W,11,4,,
16,17,154,2013-09-20,SLN,MIL,10-GF(10),S(1),2,1.0,0,0,0,0,1,0,0,5.76,3,12,8,2,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2.51,0.185,5.93,0.26%,0.46,10b --- 0 out a1,10b end a 1,,MIL,0.0,W,7,6,,
17,18,157,2013-09-23,SLN,WSN,8-8,H(1),2,0.2,0,0,0,0,0,0,0,5.61,2,3,3,1,0,2,0,0,0,0,,2.0,1.0,0,0,0,2,0,0,0,0,0,0,3.12,0.14800000000000002,6.56,0.19%,0.34,8t -23 1 out a2,8t 3 out a1,,STL,0.0,W,4,3,,
18,19,159,2013-09-25,SLN,WSN,8-8,H(2),1,0.2,0,0,0,0,1,0,0,5.47,2,12,8,2,2,1,0,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,0.87,0.040999999999999995,1.25,0.04%,0.48,8t 1-- 1 out a3,8t 3 out a3,,STL,0.0,W,4,1,,
19,20,160,2013-09-27,SLN,CHC,8-8,,1,1.0,1,0,0,0,2,0,0,5.27,4,17,12,3,3,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.03,0.002,0.01,0.00%,0.45,8t --- 0 out a7,8t 3 out a7,,STL,1.0,W,7,0,,
20,21,162,2013-09-29,SLN,CHC,8-8,H(3),1,1.0,0,0,0,0,0,0,0,5.08,3,10,6,1,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.5,0.037000000000000005,0.07,0.00%,0.45,8t --- 0 out a3,8t 3 out a3,,STL,0.0,W,4,0,,
21,22,1,2014-03-31,SLN,CIN,8-8,H(1),99,0.2,0,0,0,0,1,0,0,0.0,2,5,5,2,1,1,0,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,1,5.25,0.235,5.49,0.15%,0.85,8b 12- 1 out a1,8b 3 out a1,,CIN,0.0,W,1,0,,
22,23,2,2014-04-02,SLN,CIN,8-GF,L(0-1),1,1.1,3,1,1,2,0,0,0,4.5,9,31,19,2,2,5,2,0,1,0,,0.0,0.0,0,0,0,6,0,0,1,0,0,0,2.76,-0.275,3.02,-0.18%,-1.62,8b --- 0 out tie,9b end d 1,,CIN,4.545454545454545,L,0,1,,
23,24,5,2014-04-05,SLN,PIT,6-7,H(2),2,1.2,0,0,0,1,0,0,0,2.45,6,20,10,2,3,3,2,1,1,0,,2.0,0.0,0,0,0,5,0,0,0,0,0,0,1.55,0.146,1.77,0.10%,1.28,6b 12- 1 out a3,7b 3 out a3,,PIT,0.8333333333333334,W,6,1,,
24,25,7,2014-04-07,SLN,CIN,7-8,H(3),1,1.2,1,0,0,0,2,0,0,1.69,5,18,13,5,4,3,0,0,0,0,,0.0,0.0,0,1,0,5,0,0,0,0,0,0,0.94,0.08,0.98,0.05%,0.79,7t --- 0 out a2,8t --- 2 out a4,,STL,0.8333333333333334,W,5,3,,
25,26,8,2014-04-08,SLN,CIN,8-8,H(4),0,1.0,0,0,0,0,2,0,0,1.42,3,13,8,1,3,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.91,0.067,1.01,0.04%,0.44,8t --- 0 out a2,8t 3 out a2,,STL,0.0,W,7,5,,
26,27,10,2014-04-11,SLN,CHC,7-8,,2,1.1,1,1,1,1,0,0,0,2.35,5,21,12,2,4,2,2,1,1,0,,2.0,0.0,0,1,0,3,0,0,1,0,0,0,2.52,0.184,2.75,0.12%,1.22,7t 12- 0 out tie,8t -2- 1 out tie,,STL,1.818181818181818,L,3,6,,
27,28,13,2014-04-14,SLN,MIL,8-GF,,2,2.0,0,0,0,0,1,0,0,1.86,6,17,11,1,2,2,3,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.26,0.039,0.34,0.03%,0.91,8b --- 0 out a4,9b end a 4,,MIL,0.0,W,4,0,,
28,29,18,2014-04-19,SLN,WSN,7-8,H(5),4,1.1,2,1,1,0,2,0,0,2.45,6,17,14,3,2,1,3,2,1,0,,1.0,0.0,0,0,0,6,2,0,0,0,0,0,1.3,0.03,1.45,0.02%,-0.33,7b 1-- 2 out a3,8b 3 out a2,,WSN,1.818181818181818,W,4,3,,
29,30,19,2014-04-20,SLN,WSN,7-7,BS(1),0,1.0,4,2,2,0,0,0,0,3.75,7,18,12,2,2,5,2,2,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,2.7,-0.3,3.23,-0.22%,-1.54,7b --- 0 out a2,7b 3 out tie,,WSN,4.0,L,2,3,,
30,31,23,2014-04-24,SLN,NYM,7-7,,3,0.1,0,0,0,0,0,0,0,3.65,1,1,1,0,0,0,1,0,1,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.17,0.004,0.19,0.00%,0.2,7b 1-- 2 out d3,7b 3 out d3,,NYM,0.0,L,1,4,,
31,32,24,2014-04-25,SLN,PIT,8-8,H(6),0,1.0,1,0,0,1,2,0,1,3.38,6,24,13,4,1,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,1,0,0,0,4.52,0.113,5.1,0.08%,0.44,8t --- 0 out a1,8t 3 out a1,,STL,2.0,W,1,0,,
32,33,26,2014-04-27,SLN,PIT,9-GF,,1,1.0,0,0,0,0,3,0,0,3.14,3,15,11,1,5,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.44,9t --- 0 out a7,9t end a 7,,STL,0.0,W,7,0,,
33,34,27,2014-04-28,SLN,MIL,8-8,,0,1.0,0,0,0,1,0,0,0,2.93,4,10,5,1,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.47,0.1,2.02,0.08%,0.44,8t --- 0 out tie,8t 3 out tie,,STL,1.0,L,3,5,,
34,35,31,2014-05-03,SLN,CHC,7-7,,4,1.0,0,0,0,0,0,0,0,2.76,3,11,7,2,1,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.27,0.02,0.26,0.01%,0.45,7b --- 0 out d2,7b 3 out d2,,CHC,0.0,L,0,3,,
35,36,32,2014-05-04,SLN,CHC,7-7,BS(2),0,1.0,1,1,1,1,1,0,0,3.12,5,16,9,1,1,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,1,1,0,0,0,2.27,-0.159,2.24,-0.09%,-0.55,7b --- 0 out a1,7b 3 out tie,,CHC,2.0,W,5,4,,
