,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,42,2009-05-21,MIA,ARI,8-GF,BL(0-1),99,2.0,3,2,2,1,4,1,0,9.0,10,37,25,7,4,4,2,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.13,-0.401,0.96,-0.21%,-0.98,8t --- 0 out a1,9t end d 1,,FLA,2.0,L,3,4
1,2,52,2009-06-01,MIA,MIL,5-6,W(1-1),10,1.2,2,0,0,0,2,0,0,4.91,8,26,18,2,6,3,3,2,0,0,,2,1,0,0,0,8,0,0,0,0,0,1,1.08,0.003,0.71,0.00%,0.43,5t 12- 1 out d1,6t 3 out d2,,FLA,1.6666666666666667,W,7,4
2,3,58,2009-06-07,MIA,SFG,8-8,,5,1.0,1,0,0,0,0,0,0,3.86,4,12,8,1,2,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.37,0.016,0.28,0.01%,0.51,8t --- 0 out d3,8t 3 out d3,,FLA,1.0,L,2,3
3,4,61,2009-06-10,MIA,STL,7-8,,2,2.0,4,4,4,1,0,0,0,8.1,11,37,22,3,2,7,3,2,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,0.36,-0.105,0.27,-0.05%,-2.98,7t --- 0 out d3,8t 3 out d6,,FLA,2.5,L,4,13
4,5,63,2009-06-12,MIA,TOR,9-GF,,1,1.0,2,1,1,0,1,0,0,8.22,5,25,14,5,1,2,2,0,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.52,0.009000000000000001,0.31,0.00%,-0.46,9b --- 0 out a5,9b end a 4,,TOR,2.0,W,7,3
5,6,118,2009-08-16,MIA,COL,7-8,,64,2.0,1,0,0,0,4,0,0,6.52,7,32,24,9,3,2,1,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.14,0.022000000000000002,0.29,0.03%,1.02,7t --- 0 out d5,8t 3 out d3,2.0,FLA,0.5,L,3,7
6,7,121,2009-08-20,MIA,HOU,5-7,,3,2.2,0,0,0,0,2,0,0,5.11,7,29,17,3,3,4,1,0,1,0,,3,0,0,0,0,7,0,0,0,1,0,0,0.29,0.084,0.39,0.07%,2.53,5b 123 1 out d3,7b 3 out d3,,HOU,0.0,L,1,4
7,8,124,2009-08-23,MIA,ATL,5-6,,2,1.2,0,0,0,2,2,0,0,4.5,7,28,16,5,3,2,1,0,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,2.32,0.31,2.89,0.23%,2.06,5b 123 1 out a1,6b 3 out a1,,ATL,1.6666666666666667,L,5,7
8,9,127,2009-08-27,MIA,NYM,4-7,,3,3.1,6,4,4,1,2,0,0,5.71,16,50,29,8,2,7,6,3,0,0,,2,0,0,0,0,14,3,0,1,0,0,0,0.43,-0.10099999999999999,0.45,-0.07%,-1.97,4t 1-3 2 out d3,7t 3 out d6,,FLA,2.2580645161290316,L,3,10
9,10,136,2009-09-05,MIA,WSN,6-7,,8,1.1,4,3,3,1,1,0,0,6.75,9,34,17,5,2,2,5,2,0,0,,0,0,0,0,0,8,1,1,0,0,0,0,0.2,-0.059000000000000004,0.15,-0.03%,-2.69,6b --- 0 out a7,7b -2- 1 out a4,,WSN,4.545454545454545,W,9,5
