,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,55,2,2000-04-04,LAN,MON,7-7,,99,1.0,0,0,0,1,0,0,0,0.0,3,14,8,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.32,0.015,0.32,0.01%,0.58,7b --- 0 out a6,7b 3 out a6,,MON,1.0,W,10,4
1,56,3,2000-04-05,LAN,MON,8-8,,0,0.0,0,0,0,1,0,0,0,0.0,1,5,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.52,-0.095,2.61,-0.06%,-0.4,8b --- 0 out a1,8b 1-- 0 out a1,,MON,inf,L,5,6
2,57,4,2000-04-06,LAN,MON,7-GF(8),,0,2.0,5,3,3,0,2,1,0,9.0,10,34,22,6,4,2,6,4,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,0.01,-0.002,0.01,0.00%,-1.85,7b --- 0 out d7,8b end d10,,MON,2.5,L,3,11
3,58,6,2000-04-08,LAN,NYM,7-7,,1,1.0,1,0,0,0,1,0,0,6.75,4,13,6,2,0,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.36,0.026000000000000002,0.33,0.01%,0.54,7b --- 0 out d2,7b 3 out d2,,NYM,1.0,W,6,5
4,59,9,2000-04-13,LAN,SFG,7-8,,4,2.0,2,2,2,0,1,1,0,7.5,8,32,19,5,3,3,4,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.07,0.005,0.08,0.00%,-0.96,7b --- 0 out a8,8b 3 out a6,,SFG,1.0,W,11,7
5,60,36,2000-05-14,LAN,STL,8-GF(8),,30,1.0,1,0,0,0,1,0,0,6.43,3,14,11,3,2,0,2,1,1,0,,0,0,0,1,0,3,0,0,0,0,0,0,0.28,0.017,0.32,0.01%,0.57,8b --- 0 out d2,8b end d 2,,STL,1.0,L,10,12
6,61,52,2000-06-03,LAN,ANA,9-9,,19,0.2,2,0,0,0,1,0,0,5.87,4,8,6,1,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.13,0.005,0.16,0.00%,0.12,9b --- 0 out a5,9b 12- 2 out a5,,ANA,10.0,W,8,3
7,62,60,2000-06-11,LAN,OAK,6-7,,7,2.0,1,0,0,2,4,0,0,4.66,9,37,19,6,6,1,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.11,0.01,0.15,0.01%,1.05,6t --- 0 out d6,7t 3 out d6,,LAD,1.5,L,0,6
8,63,63,2000-06-14,LAN,ARI,8-8,,2,1.0,0,0,0,2,2,0,0,4.22,5,25,11,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,0.19,0.009000000000000001,0.32,0.01%,0.53,8t --- 0 out d4,8t 3 out d4,,LAD,2.0,L,1,5
9,64,71,2000-06-23,LAN,STL,7-7,,8,1.0,0,0,0,2,1,0,0,3.86,4,19,8,2,1,1,0,0,0,0,,0,0,1,0,0,2,0,0,0,1,0,0,0.5,0.027999999999999997,0.7,0.02%,0.57,7b --- 0 out d2,7b 3 out d2,,STL,2.0,L,6,9
10,65,72,2000-06-24,LAN,STL,7-7,,0,0.1,0,0,0,0,1,0,0,3.75,1,5,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.43,0.012,0.57,0.01%,0.39,7b --3 2 out d3,7b 3 out d3,,STL,0.0,L,1,6
11,66,74,2000-06-26,LAN,SDP,7-8,,1,2.0,0,0,0,1,0,0,0,3.21,7,26,15,3,2,3,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.06,0.008,0.07,0.01%,1.05,7t --- 0 out d6,8t 3 out d5,,LAD,0.5,L,5,9
12,67,77,2000-06-29,LAN,SDP,7-7,,2,1.0,1,0,0,0,0,0,0,3.0,3,13,7,3,0,1,2,0,2,0,,0,0,0,1,1,3,0,0,0,0,0,0,0.45,0.022000000000000002,0.54,0.02%,0.53,7t --- 0 out d3,7t 3 out d3,,LAD,1.0,L,4,5
13,68,81,2000-07-04,LAN,SDP,7-7,,4,1.0,0,0,0,0,1,0,0,2.81,3,22,13,3,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.09,0.00%,0.52,7b --- 0 out d4,7b 3 out d4,,SDP,0.0,L,2,7
14,69,83,2000-07-06,LAN,SDP,9-9,,1,0.2,1,0,0,1,0,0,0,2.7,4,15,7,2,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.001,0.05,0.00%,0.07,9b --- 0 out a6,9b 12- 2 out a6,,SDP,10.0,W,9,3
15,70,88,2000-07-14,LAN,ANA,8-8,,7,0.1,2,1,1,0,0,0,0,3.18,3,14,7,1,2,0,3,2,0,0,,0,0,0,0,0,3,2,0,0,0,0,0,1.12,-0.13,1.34,-0.09%,-1.18,8t --- 0 out d1,8t -2- 1 out d2,,LAD,20.0,L,3,5
16,71,89,2000-07-15,LAN,ANA,7-7,,0,1.0,0,0,0,0,2,0,0,3.0,4,21,13,3,2,1,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.31,0.022000000000000002,0.33,0.01%,0.53,7t --- 0 out d3,7t 3 out d3,,LAD,0.0,L,2,6
17,72,91,2000-07-17,LAN,PIT,8-8,,1,0.0,1,0,0,0,0,0,0,3.0,1,4,3,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.04,-0.032,1.2,-0.02%,-0.13,8t --- 2 out a1,8t 1-- 2 out a1,,LAD,inf,W,9,6
18,73,96,2000-07-22,LAN,SFG,6-6,,4,1.0,0,0,0,0,1,0,0,2.84,3,14,8,1,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.13,0.01,0.22,0.01%,0.53,6t --- 0 out d5,6t 3 out d5,,LAD,0.0,L,2,5
19,74,101,2000-07-27,LAN,COL,5-5,W(1-0),4,0.2,0,0,0,0,0,0,0,2.75,2,11,6,2,0,0,2,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.32,0.083,2.19,0.08%,0.84,5b -2- 1 out a3,5b 3 out a3,,COL,0.0,W,16,11
20,75,138,2000-09-04,LAN,PIT,6-6,,38,0.0,2,4,4,2,0,0,0,4.58,4,15,6,1,0,0,2,2,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,0.46,-0.068,0.38,-0.03%,-4.5,6t 12- 1 out d4,6t -23 1 out d8,,LAD,inf,L,1,12
21,76,139,2000-09-05,LAN,PIT,8-8,,0,1.0,0,0,0,1,0,0,0,4.35,4,20,11,5,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.53,8t --- 0 out d7,8t 3 out d7,,LAD,1.0,L,0,8
22,77,141,2000-09-08,LAN,COL,8-GF(8),,2,1.0,1,0,0,0,2,0,0,4.15,4,14,12,4,3,1,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.09,0.006,0.02,0.00%,0.7,8b --- 0 out d4,8b end d 4,,COL,1.0,L,5,8
23,78,142,2000-09-09,LAN,COL,6-6,,0,0.2,1,0,0,0,1,0,0,4.03,3,19,12,2,2,0,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.01,0.018000000000000002,0.21,0.00%,0.25,6b --- 0 out d1,6b --3 2 out d1,,COL,5.0,L,6,7
24,79,145,2000-09-12,LAN,ARI,7-8,L(1-1),2,1.0,0,1,1,0,1,0,1,4.24,4,21,14,5,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.35,0.032,0.51,0.01%,0.18,7b --- 0 out tie,8b 1-- 0 out tie,,ARI,0.0,L,4,5
25,80,147,2000-09-14,LAN,COL,7-7,,1,1.0,0,0,0,0,2,0,0,4.07,3,16,11,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.48,0.037000000000000005,0.02,0.00%,0.53,7t --- 0 out d2,7t 3 out d2,,LAD,0.0,L,4,5
26,81,154,2000-09-22,LAN,SDP,7-7,,7,0.1,0,0,0,1,1,0,0,4.01,2,11,6,0,3,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.64,0.040999999999999995,0.36,0.01%,0.33,7t -2- 2 out d1,7t 3 out d1,,LAD,10.0,L,2,3
27,82,159,2000-09-28,LAN,SFG,6-6,,5,0.1,0,0,0,0,0,0,0,3.96,1,6,3,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.16,0.027000000000000003,0.0,0.00%,0.24,6t 1-- 2 out d1,6t 3 out d1,,LAD,0.0,L,3,5
28,83,161,2000-09-30,LAN,SDP,7-8,,1,2.0,2,1,1,1,2,0,0,4.0,9,35,21,4,2,2,4,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.03,7b --- 0 out a9,8b 3 out a8,,SDP,1.5,W,10,2
