,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,50,4,2000-04-06,MIN,TBD,GS-7,,99,6.2,8,5,5,0,5,0,0,6.75,27,96,62,10,10,10,12,9,1,0,43.0,,,0,0,0,27,1,1,0,0,0,0,1.13,-0.221,1.19,-0.14%,-1.06,1t start tie,7t --3 2 out d1,,MIN,1.2903225806451613,L,6,7
1,51,9,2000-04-11,MIN,BOS,GS-2,L(0-1),4,1.1,4,8,7,4,0,1,0,13.5,12,45,20,7,3,3,5,2,0,0,12.0,,,0,0,0,7,2,0,0,1,1,1,1.09,-0.377,0.98,-0.21%,-5.46,1b start a 1,2b 123 1 out d4,,BOS,7.272727272727272,L,4,13
2,52,14,2000-04-16,MIN,BAL,GS-8,L(0-2),4,8.0,8,5,5,0,7,2,0,9.56,32,106,76,23,13,12,13,7,0,0,53.0,,,1,0,0,32,1,0,0,0,0,0,0.38,-0.217,0.27,-0.09%,-0.02,1t start tie,8t 3 out d5,,MIN,1.0,L,0,5
3,53,18,2000-04-21,MIN,TEX,GS-5,,4,4.1,8,4,4,2,3,1,0,9.3,21,97,56,15,9,10,6,4,1,0,32.0,,,0,0,0,19,2,0,0,2,0,0,0.99,-0.068,0.86,-0.04%,-0.59,1b start tie,5b 1-- 1 out tie,,TEX,2.4390243902439033,W,10,5
4,54,23,2000-04-26,MIN,NYY,GS-7,L(0-3),4,6.1,5,2,2,3,3,2,0,7.76,26,96,58,20,5,10,10,3,1,0,55.0,,,0,0,0,23,1,0,0,1,0,0,0.93,0.076,1.0,0.05%,1.39,1b start tie,7b -2- 1 out d2,,NYY,1.3114754098360657,L,0,2
5,55,27,2000-05-02,MIN,SEA,GS-6,L(0-4),5,5.2,7,4,4,4,1,0,0,7.52,27,99,55,19,2,9,13,9,1,0,36.0,,,0,0,0,23,0,0,0,1,0,0,1.2,0.128,0.93,0.06%,1.23,1t start tie,6t 12- 2 out a1,,MIN,2.1153846153846154,L,4,5
6,56,32,2000-05-07,MIN,DET,SHO,W(1-4),4,9.0,5,0,0,2,5,0,0,5.88,33,119,70,17,11,7,19,8,1,0,80.0,,,0,0,0,31,0,1,0,1,0,0,0.75,0.38,0.56,0.17%,5.6,1t start tie,9t 3 out a4,,MIN,0.7777777777777778,W,4,0
7,57,36,2000-05-12,MIN,CHW,GS-8,,4,7.2,9,3,2,3,3,0,0,5.33,34,115,67,17,3,17,11,6,2,0,51.0,,,0,0,0,31,3,0,1,1,0,0,1.25,0.20800000000000002,1.24,0.12%,1.61,1b start tie,8b 1-- 2 out tie,,CHW,1.6666666666666663,W,4,3
8,58,41,2000-05-17,MIN,SEA,GS-7,L(1-5),4,7.0,6,4,3,2,6,1,0,5.14,29,121,81,25,5,8,13,5,1,0,55.0,,,0,0,0,27,1,0,0,0,0,0,0.66,-0.107,0.42,-0.04%,-0.06,1b start tie,7b 3 out d4,,SEA,1.1428571428571428,L,0,4
9,59,46,2000-05-23,MIN,ANA,GS-4,L(1-6),5,3.0,7,7,7,3,3,2,0,5.95,20,70,39,11,6,7,7,3,0,0,17.0,,,0,0,0,17,0,0,0,0,0,0,0.85,-0.32,0.6,-0.14%,-4.54,1t start tie,4t 1-- 0 out d6,,MIN,3.333333333333333,L,4,7
