Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,13,2007-04-16,COL,SFG,8-8,,99,1.0,2,1,1,0,0,0,0,9.00,5,15,9,3,0,4,1,1,0,0,,0,0,0,0,0,5,1,0,0,1,0,1,.02,-0.002,.02,0.00%,-0.44,8t --- 0 out d7,8t 3 out d8,,COL,2.0,L,0,8
2,16,2007-04-19,COL,LAD,7-8,,2,2.0,1,0,0,0,1,0,0,3.00,6,24,13,4,0,3,2,1,0,0,,0,0,0,1,0,6,0,0,0,0,0,0,.15,0.025,.16,0.02%,1.13,7t --- 0 out d4,8t 3 out d4,,COL,0.5,L,1,8
3,20,2007-04-23,COL,NYM,6-6,,3,1.0,1,0,0,1,1,0,0,2.25,5,17,8,2,0,4,0,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,.50,0.018,.38,0.01%,0.52,6b --- 0 out d3,6b 3 out d3,,NYM,2.0,L,1,6
4,22,2007-04-25,COL,NYM,9-GF,,1,1.0,3,2,2,0,2,0,0,5.40,6,20,14,5,3,1,3,3,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,.01,0.001,.01,0.00%,-1.48,9b --- 0 out a8,9b end a 6,,NYM,3.0,W,11,5
5,23,2007-04-27,COL,ATL,8-8,,1,1.0,0,0,0,0,2,0,0,4.50,3,12,8,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.05,0.00%,0.56,8t --- 0 out d5,8t 3 out d5,,COL,0.0,L,7,9
6,25,2007-04-29,COL,ATL,7-7,,1,1.0,2,0,0,0,0,0,0,3.86,3,15,8,4,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.20,0.093,1.34,0.03%,0.56,7t --- 0 out tie,7t 3 out tie,,COL,2.0,W,9,7
7,26,2007-04-30,COL,SFG,6-6,,0,1.0,3,0,0,0,1,0,0,3.38,5,22,14,3,2,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.63,0.032,.45,0.01%,0.53,6b --- 0 out d2,6b 3 out d2,,SFG,3.0,L,5,9
8,29,2007-05-04,COL,CIN,8-9,,3,2.0,0,0,0,2,4,0,0,2.70,8,40,22,9,6,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.77,0.259,1.08,0.10%,1.09,8b --- 0 out tie,9b 3 out tie,,CIN,1.0,W,6,5
9,32,2007-05-07,COL,STL,8-8,W(1-0),2,1.0,0,0,0,0,2,0,0,2.45,3,14,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.109,.99,0.05%,0.52,8b --- 0 out tie,8b 3 out tie,,STL,0.0,W,3,2
10,34,2007-05-09,COL,STL,6-6,,1,0.2,4,4,4,1,0,0,0,5.40,7,24,13,4,0,3,3,3,0,0,,0,0,0,0,0,6,2,0,0,1,0,1,.43,-0.141,.29,-0.06%,-3.81,6b --- 0 out d2,6b -2- 2 out d6,,STL,25.0,L,2,9
11,36,2007-05-11,COL,SFG,8-9,BS(1),1,0.2,3,2,2,1,0,0,0,6.57,6,23,13,4,1,1,4,2,0,0,,2,2,0,0,0,4,0,0,1,0,1,0,2.78,-0.382,2.06,-0.17%,-2.04,8t 12- 1 out a1,9t 12- 0 out d1,,COL,20.0,L,3,8
12,38,2007-05-13,COL,SFG,7-8,,1,1.2,1,0,0,0,0,0,0,5.79,6,15,9,2,0,2,4,1,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,.00,0.00%,1.14,7t 1-- 1 out d14,8t 3 out d14,,COL,0.8333333333333334,L,2,15
