Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2003-03-31,TBD,BOS,8-GF,W(1-0),99,2.0,0,0,0,2,3,0,0,0.00,8,34,18,4,5,0,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.16,0.025,.18,0.02%,1.04,8t --- 0 out d3,9t end d 3,,TBD,1.0,W,6,4
2,4,2003-04-03,TBD,BOS,8-8,,2,1.0,1,1,1,1,0,1,0,3.00,5,18,8,0,0,0,4,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,-0.002,.01,0.00%,-0.48,8t --- 0 out d7,8t 3 out d8,,TBD,2.0,L,5,14
3,5,2003-04-04,TBD,NYY,6-7,,0,2.0,3,4,4,3,2,1,0,9.00,12,49,23,11,2,3,4,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.42,-0.186,.41,-0.11%,-2.96,6t --- 0 out d2,7t 3 out d6,,TBD,3.0,L,2,12
4,8,2003-04-08,TBD,BAL,7-8,,3,2.0,1,0,0,1,2,0,0,6.43,8,32,18,8,1,2,3,2,0,0,,0,0,0,0,0,7,0,0,1,0,0,0,1.88,0.198,1.57,0.10%,1.04,7t --- 0 out tie,8t 3 out tie,,TBD,1.0,W,8,7
5,12,2003-04-13,TBD,NYY,7-8,H(1),4,1.0,1,1,1,1,0,0,0,6.75,4,14,7,2,0,0,3,1,1,0,,0,0,0,1,0,3,0,0,0,0,0,0,2.05,0.014,1.85,0.01%,0.14,7b --- 0 out a1,8b 1-- 0 out a1,,NYY,2.0,W,2,1
6,15,2003-04-17,TBD,BOS,7-GF(8),,3,2.0,2,1,1,1,1,1,0,6.30,8,37,21,5,3,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.002,.03,0.00%,0.15,7b --- 0 out d5,8b end d 6,,BOS,1.5,L,0,6
7,18,2003-04-20,TBD,BAL,2-6,,2,4.2,1,0,0,0,1,0,0,4.30,15,52,34,8,5,7,7,0,1,0,,1,0,0,0,0,15,1,0,0,0,0,0,.41,0.124,.28,0.05%,2.71,2b 1-- 1 out d3,6b 3 out d3,,BAL,0.23809523809523808,L,1,4
8,23,2003-04-25,TBD,BAL,GS-7,W(2-0),4,6.0,3,1,1,4,3,0,0,3.48,22,77,42,14,6,7,8,1,3,0,61,,,0,1,0,18,0,0,0,1,0,0,1.05,0.184,.60,0.06%,2.11,1t start tie,7t 12- 0 out a2,,TBD,1.1666666666666667,W,2,1
9,27,2003-04-30,TBD,MIN,GS-2,L(2-1),4,1.1,6,6,6,0,1,1,2,5.73,11,29,18,2,3,2,6,2,0,0,19,,,0,0,0,9,1,1,0,0,0,0,.91,-0.415,.47,-0.13%,-5.47,1b start a 1,2b 1-- 1 out d5,,MIN,5.454545454545454,L,5,8
10,36,2003-05-10,TBD,DET,GS-7,W(3-1),9,7.0,5,1,1,2,9,1,0,4.66,28,112,71,19,15,5,12,2,2,0,70,,,0,0,0,25,1,0,0,0,0,0,1.12,0.324,.33,0.06%,2.63,1t start tie,7t 3 out a1,,TBD,1.0,W,3,1
11,41,2003-05-16,TBD,BAL,GS-7,W(4-1),5,6.1,4,1,1,6,3,0,1,4.08,27,107,58,16,7,6,11,3,3,0,58,,,0,1,0,19,1,0,0,1,1,0,1.25,0.213,.44,0.05%,2.22,1b start a 1,7b 1-- 1 out a4,,BAL,1.639344262295082,W,5,1
12,46,2003-05-22,TBD,TEX,GS-4,,5,3.1,6,7,7,4,0,1,0,5.35,19,65,35,10,3,9,6,1,1,0,16,,,0,0,0,15,1,0,0,1,0,0,1.10,-0.376,.39,-0.08%,-3.60,1b start a 1,4b 12- 1 out d2,,TEX,3.225806451612903,L,8,10
13,2,2005-04-05,TBD,TOR,6-6,L(0-1),99,0.1,4,5,5,2,0,0,0,135.00,7,31,16,5,0,2,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,1.58,-0.428,1.60,-0.26%,-4.41,6t --- 0 out tie,6t 12- 1 out d4,,TBD,60.0,L,3,6
14,5,2005-04-09,TBD,OAK,9-GF,,3,1.0,0,0,0,0,1,0,0,33.75,3,13,9,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.52,9t --- 0 out a9,9t end a 9,,TBD,0.0,W,11,2
15,7,2005-04-12,TBD,BAL,6-7,,2,2.0,1,0,0,1,2,0,0,13.50,8,35,18,3,3,1,4,1,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.44,0.165,1.53,0.11%,1.04,6t --- 0 out tie,7t 3 out tie,,TBD,1.0,L,6,7
16,9,2005-04-14,TBD,BAL,7-7,,1,1.0,1,1,1,0,0,1,0,12.46,4,13,7,2,0,0,4,0,2,0,,1,1,0,0,0,4,0,0,0,0,0,0,.23,0.001,.22,0.00%,-0.86,7t -2- 0 out a7,7t 3 out a5,,TBD,1.0,W,12,7
17,13,2005-04-18,TBD,NYY,6-7,,3,0.2,3,2,2,0,0,0,0,14.40,5,17,10,3,0,2,3,2,1,0,,2,0,0,0,0,5,1,0,0,0,0,0,.02,-0.001,.02,0.00%,-0.97,6b 12- 2 out d7,7b 12- 1 out d8,,NYY,15.0,L,8,19
