Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,103,2005-07-30,TOR,TEX,GS-5,,99,5.0,2,1,1,3,6,0,1,1.80,21,91,49,14,15,7,4,2,0,0,62,,,0,0,0,16,1,0,0,0,1,0,1.20,0.204,1.30,0.13%,1.70,1t start tie,5t 3 out a1,,TOR,1.0,L,2,3
2,107,2005-08-04,TOR,CHW,GS-5,,4,5.0,4,4,4,3,2,1,0,4.50,21,95,52,17,3,9,7,1,1,0,42,,,0,1,1,18,0,0,0,0,0,0,.79,-0.145,.95,-0.10%,-1.28,1b start tie,5b 3 out d1,,CHW,1.4,L,4,5
3,112,2005-08-09,TOR,DET,GS-7,W(1-0),4,6.1,8,4,4,1,4,0,0,4.96,26,90,51,13,6,7,14,5,2,0,44,,,0,1,0,24,2,0,0,0,1,0,1.06,0.153,.62,0.05%,0.55,1t start tie,7t 1-3 1 out a4,,TOR,1.4754098360655739,W,6,4
4,117,2005-08-14,TOR,BAL,GS-4,,4,3.1,6,4,4,4,1,0,1,5.95,19,73,41,8,6,6,7,1,1,0,29,,,1,1,0,13,3,0,0,1,1,0,1.14,-0.253,.83,-0.11%,-2.51,1b start a 1,4b 123 1 out d1,,BAL,3.225806451612903,W,7,6
5,123,2005-08-21,TOR,DET,GS-5,L(1-1),6,4.1,9,12,10,2,2,2,3,8.63,28,95,53,14,6,5,16,4,0,0,1,,,0,0,0,22,2,0,0,0,1,1,.36,-0.422,.27,-0.19%,-8.86,1b start tie,5b -23 1 out d10,,DET,2.682926829268293,L,6,17
6,128,2005-08-26,TOR,CLE,GS-6,L(1-2),4,5.0,8,4,4,1,6,2,0,8.38,25,88,58,20,5,8,10,6,0,0,40,,,2,0,0,24,1,0,0,0,0,1,.82,-0.256,.27,-0.05%,-2.31,1t start tie,6t 12- 0 out d1,,TOR,1.8,L,3,9
7,133,2005-09-01,TOR,BAL,GS-6,L(1-3),5,5.1,7,4,4,2,2,2,0,8.13,25,92,56,19,4,9,12,3,1,0,38,,,2,0,0,23,0,1,0,0,0,0,1.15,-0.206,.05,-0.01%,-1.05,1t start tie,6t --- 1 out d1,,TOR,1.7647058823529413,L,3,5
8,138,2005-09-06,TOR,BAL,6-7,,4,2.0,2,1,1,1,1,0,1,7.93,10,35,20,4,4,4,3,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.11,-0.001,.00,0.00%,0.05,6b --- 0 out d4,7b 3 out d5,,BAL,1.5,L,0,5
9,146,2005-09-16,TOR,NYY,6-7,,9,2.0,1,0,0,0,1,0,1,7.51,8,26,18,7,1,5,1,0,0,0,,0,0,2,0,0,7,0,0,0,0,0,0,.24,0.017,.00,0.00%,1.08,6t --- 0 out d7,7t 3 out d4,,TOR,0.5,L,10,11
10,149,2005-09-19,TOR,SEA,6-6,H(1),2,1.0,1,0,0,0,1,0,0,7.32,4,10,7,2,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.83,0.082,.00,0.00%,0.54,6t --- 0 out a1,6t 3 out a1,,TOR,1.0,L,5,7
11,152,2005-09-22,TOR,SEA,5-7,,2,2.2,1,0,0,0,3,0,0,6.86,8,31,19,5,4,4,1,0,0,0,,1,0,0,0,0,8,0,0,0,1,0,0,1.35,0.261,.00,0.00%,1.79,5t -2- 1 out tie,7t 3 out tie,,TOR,0.45454545454545453,W,7,5
12,156,2005-09-27,TOR,BOS,7-GF(8),,4,2.0,0,0,0,0,1,0,0,6.55,6,20,12,2,1,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.28,0.044,.00,0.00%,1.10,7b --- 0 out d2,8b end d 2,1,BOS,0.0,L,1,3
13,162,2005-10-02,TOR,KCR,8-GF,,4,1.1,0,0,0,0,4,0,0,6.35,4,20,13,6,3,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.009,.00,0.00%,0.65,8t --- 2 out a5,9t end a 5,,TOR,0.0,W,7,2
14,22,2006-04-29,TOR,NYY,3-5,,99,2.0,2,3,3,3,3,1,0,13.50,11,50,26,13,3,2,3,1,0,0,,2,1,0,0,0,8,0,0,0,0,0,0,.60,-0.086,.76,-0.07%,-0.99,3b -23 1 out d1,5b 1-- 1 out d3,,NYY,2.5,L,6,17
