Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,140,2018-09-05,WSN,STL,6-6,,99,1.0,1,1,1,0,0,1,0,9.00,4,16,9,2,0,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,-0.015,.02,0.00%,-0.49,-0.35,0.00,6t --- 0 out d5,6t 3 out d6,,WSN,1.0,L,6,7
2,145,2018-09-11,WSN,PHI,8-8,,5,1.0,1,1,1,0,1,1,0,9.00,4,13,9,1,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,-0.027,.01,0.00%,-0.51,1.65,3.00,8b --- 0 out d2,8b 3 out d3,2,PHI,1.0,W,7,6
3,148,2018-09-14,WSN,ATL,8-GF(8),,2,0.2,0,0,0,0,2,0,0,6.75,2,10,6,1,3,0,0,0,0,0,,3,1,0,0,0,2,0,0,0,0,0,0,.17,-0.001,.01,0.00%,0.56,5.50,8.00,8b 123 1 out d4,8b end d 5,,ATL,0.0,L,5,10
4,159,2018-09-26,WSN,MIA,GS-5,,11,4.0,1,0,0,3,4,0,0,2.70,16,68,34,14,5,4,5,2,0,0,61,,,0,0,0,13,0,0,0,0,0,0,.53,0.095,.00,0.00%,1.05,14.60,24.00,1t start tie,5t 12- 0 out a5,,WSN,1.0,W,9,3
5,162,2018-09-30,WSN,COL,8-GF(8),,3,1.0,3,3,3,2,1,0,0,5.87,8,23,9,0,4,1,4,2,0,0,,0,0,0,0,0,5,2,0,0,0,1,0,.00,0.000,.00,0.00%,-2.43,-4.75,-3.00,8b --- 0 out d9,8b end d12,,COL,5.0,L,0,12
6,46,2019-05-19,WSN,CHC,4-6,,99,3.0,3,3,2,1,3,0,1,6.00,14,44,27,10,4,6,3,1,0,0,,0,0,0,0,0,10,1,0,0,1,1,1,.50,-0.101,.30,-0.04%,-1.32,5.75,12.00,4t --- 0 out d3,6t 3 out d5,,WSN,1.3333333333333333,L,5,6
7,51,2019-05-24,WSN,MIA,GS-4,,4,4.0,6,5,5,1,2,2,0,9.00,20,80,47,13,5,9,8,3,1,0,31,,,0,0,0,19,0,0,0,1,0,2,.88,-0.299,.24,-0.05%,-2.75,-1.20,3.00,1t start tie,4t 3 out d1,,WSN,1.75,W,12,10
8,56,2019-05-29,WSN,ATL,7-GF,S(1),4,3.0,5,4,4,0,6,1,0,9.90,14,55,38,7,15,1,7,5,0,0,,0,0,0,0,0,14,0,0,0,0,0,0,.01,0.001,.00,0.00%,-2.33,7.75,15.00,7b --- 0 out a14,9b end a10,,ATL,1.6666666666666667,W,14,4
9,95,2019-07-18,WSN,ATL,8-GF,,49,2.0,2,1,1,0,3,1,0,9.00,8,36,22,6,5,2,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.01,0.001,.01,0.00%,0.11,7.30,12.00,8b --- 0 out a10,9b end a 9,,ATL,1.0,W,13,4
10,98,2019-07-21,WSN,ATL,8-GF(8),,2,1.0,1,2,2,1,2,1,0,9.69,5,18,11,3,4,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.010,.11,-0.01%,-1.44,1.05,3.00,8b --- 0 out d4,8b end d 6,,ATL,2.0,L,1,7
11,123,2019-08-18,WSN,MIL,8-GF,,27,2.0,5,4,4,0,2,2,0,10.80,11,42,25,7,3,3,6,2,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.00,0.000,.00,0.00%,-2.88,-2.50,0.00,8t --- 0 out a11,9t end a 8,,WSN,2.5,W,16,8
12,124,2019-08-19,WSN,PIT,8-8,,0,1.0,0,0,0,1,0,0,0,10.13,4,23,11,1,3,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.51,1.65,3.00,8b --- 0 out a11,8b 3 out a11,,PIT,1.0,W,13,0
