Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,15,2013-04-16,SEA,DET,8-GF,,99,1.1,0,0,0,2,3,0,0,0.00,6,32,16,3,5,1,0,0,0,0,,3,1,1,0,0,4,0,0,0,0,0,0,.20,-0.018,.18,-0.01%,0.17,8t 123 2 out d3,9t end d 4,,SEA,1.8181818181818181,L,2,6
2,19,2013-04-20,SEA,TEX,8-GF(8),,3,1.0,2,2,2,1,2,0,0,7.71,6,20,12,2,2,3,0,0,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,.25,-0.045,.22,-0.02%,-2.12,8b 1-- 0 out d2,8b end d 5,,TEX,3.0,L,0,5
3,22,2013-04-23,SEA,HOU,7-7,,2,0.1,0,0,0,0,0,0,0,6.75,1,3,2,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.68,0.019,.51,0.01%,0.35,7b --3 2 out d2,7b 3 out d2,,HOU,0.0,L,2,3
4,25,2013-04-26,SEA,LAA,7-GF,,2,2.1,1,0,0,0,3,0,0,3.60,8,25,19,8,3,2,3,2,0,0,,1,0,1,0,0,8,1,0,0,0,0,0,.23,0.026,.16,0.01%,1.10,7t 1-- 2 out d3,9t end d 3,,SEA,0.47619047619047616,L,3,6
5,29,2013-04-30,SEA,BAL,8-GF,,3,1.1,0,0,0,0,1,0,0,2.84,4,15,8,3,0,2,1,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.04,0.004,.03,0.00%,0.85,8t 12- 2 out d5,9t end d 5,,SEA,0.0,L,2,7
6,32,2013-05-04,SEA,TOR,8-8,,3,1.0,0,0,0,0,1,0,0,2.45,3,15,9,4,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.07,0.00%,0.49,8b --- 0 out a6,8b 3 out a6,,TOR,0.0,W,8,1
7,37,2013-05-11,SEA,OAK,8-8,,6,0.2,0,0,0,0,1,0,0,2.25,2,10,7,3,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.71,0.035,.75,0.02%,0.35,8t --- 0 out d1,8t --- 2 out d1,,SEA,0.0,L,3,4
8,38,2013-05-12,SEA,OAK,7-8,,0,1.2,1,0,0,0,1,0,0,1.86,5,21,13,3,2,2,2,1,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,.49,0.036,.44,0.02%,0.92,7t 1-- 1 out a4,8t 3 out a5,,SEA,0.8333333333333334,W,6,1
9,39,2013-05-14,SEA,NYY,7-7,H(1),1,0.1,1,1,1,0,1,0,0,2.70,2,9,7,1,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.17,-0.029,1.88,-0.02%,-0.18,7b --- 0 out a2,7b -2- 1 out a2,,NYY,10.0,L,3,4
10,41,2013-05-16,SEA,NYY,6-7,H(2),1,1.0,1,1,1,1,1,0,0,3.27,5,21,11,3,1,2,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.82,0.038,2.36,0.02%,0.32,6b 12- 2 out a2,7b -23 2 out a2,,NYY,2.0,W,3,2
11,43,2013-05-18,SEA,CLE,9-GF,,1,0.0,0,0,0,0,0,0,0,3.27,1,2,2,0,1,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,2.65,-0.065,2.28,-0.03%,-1.00,9b 123 0 out tie,9b end d 1,,CLE,,L,4,5
12,45,2013-05-20,SEA,CLE,7-7,,1,1.0,0,1,1,2,0,0,0,3.75,6,24,9,2,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.82,-0.175,1.27,-0.07%,-0.54,7b --- 0 out tie,7b 3 out d1,,CLE,2.0,L,8,10
13,47,2013-05-22,SEA,LAA,7-7,,1,1.0,1,0,0,1,1,0,0,3.46,4,14,8,2,1,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,1,0,0,.02,0.001,.02,0.00%,0.46,7b --- 0 out d7,7b 3 out d7,,LAA,2.0,L,1,7
14,49,2013-05-25,SEA,TEX,7-7,,2,0.2,0,0,0,0,1,0,0,3.29,2,8,5,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.26,0.013,.15,0.00%,0.35,7t --- 0 out d3,7t --- 2 out d3,,SEA,0.0,L,2,5
15,50,2013-05-26,SEA,TEX,12-GF(13),W(1-0),0,1.2,1,0,0,2,2,0,0,2.93,8,29,13,1,6,3,1,0,0,0,,0,0,1,0,0,6,0,0,1,0,0,0,3.23,0.197,1.37,0.05%,0.68,12t --- 1 out tie,13t end tie,,SEA,2.5,W,4,3
16,53,2013-05-29,SEA,SDP,10-GF(10),L(1-1),2,0.0,3,1,1,1,0,0,0,3.52,4,12,5,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,2.68,-0.383,1.06,-0.09%,-2.79,10b --- 0 out tie,10b end d 1,,SDP,inf,L,2,3
17,58,2013-06-03,SEA,CHW,7-8,H(3),4,1.2,0,0,0,0,2,0,0,3.18,5,21,14,7,1,3,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.65,0.082,.21,0.02%,0.92,7t 1-- 1 out a3,8t 3 out a3,,SEA,0.0,W,4,2
18,60,2013-06-05,SEA,CHW,9-10,,1,1.2,2,0,0,1,0,0,0,2.89,7,18,10,1,2,4,2,0,1,0,,0,0,0,0,0,6,0,0,1,1,0,0,2.91,0.138,1.10,0.03%,0.55,9t --- 0 out tie,10t --3 2 out tie,,SEA,2.5,L,5,7
19,62,2013-06-07,SEA,NYY,7-8,H(4),1,1.2,0,0,0,1,2,0,0,2.66,6,29,15,5,5,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.52,0.062,.15,0.01%,0.68,7t --- 0 out a3,8t 1-- 2 out a3,,SEA,0.8333333333333334,W,4,1
20,64,2013-06-09,SEA,NYY,8-9,L(1-2),1,1.0,1,1,1,1,0,0,0,2.95,5,19,9,2,0,3,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,3.07,-0.267,.82,-0.04%,-0.56,8t -2- 2 out tie,9t -2- 2 out d1,,SEA,2.0,L,1,2
21,67,2013-06-12,SEA,HOU,9-9,,2,0.1,2,1,1,0,1,0,0,3.32,3,11,8,3,1,1,1,1,0,0,,3,3,0,0,0,3,0,0,0,0,0,0,1.03,-0.079,.29,-0.01%,-1.96,9t 123 1 out d1,9t 1-3 2 out d4,,SEA,20.0,L,1,6
22,69,2013-06-15,SEA,OAK,9-GF,,2,1.0,0,0,0,1,1,0,0,3.18,4,11,5,1,1,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.06,0.037,.41,0.01%,0.85,9b 1-- 0 out a4,9b end a 4,,OAK,1.0,W,4,0
23,72,2013-06-18,SEA,LAA,10-GF(10),S(1),2,1.0,0,0,0,0,1,0,0,3.04,3,10,8,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.50,0.185,.71,0.03%,0.46,10b --- 0 out a1,10b end a 1,,LAA,0.0,W,3,2
24,74,2013-06-20,SEA,LAA,8-8,,1,0.2,0,0,0,2,0,0,0,2.96,4,14,3,0,0,2,0,0,0,0,,2,1,0,0,0,2,0,0,1,0,0,0,3.88,-0.033,1.22,-0.01%,0.06,8b 1-3 0 out tie,8b 123 2 out d1,,LAA,10.0,L,9,10
25,76,2013-06-22,SEA,OAK,7-GF,W(2-2),1,2.1,3,0,0,0,2,0,0,2.70,9,37,24,8,3,4,3,2,0,0,,2,2,0,0,0,9,0,0,0,1,0,0,1.35,-0.024,.30,0.00%,-0.70,7t 12- 2 out d1,9t end a 2,,SEA,1.4285714285714286,W,7,5
26,79,2013-06-26,SEA,PIT,9-GF,,3,0.2,1,1,1,1,1,0,0,2.96,5,17,10,3,1,2,1,1,0,0,,1,1,0,0,0,4,0,0,1,0,0,0,2.62,-0.360,.51,-0.04%,-1.37,9t -2- 1 out tie,9t end d 2,,SEA,10.0,L,2,4
27,80,2013-06-28,SEA,CHC,10-GF(10),W(3-2),1,1.0,1,0,0,0,0,0,0,2.86,3,9,7,1,1,0,3,3,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.31,0.126,.29,0.01%,0.45,10t --- 0 out tie,10t end tie,,SEA,1.0,W,5,4
28,81,2013-06-29,SEA,CHC,10-10,,0,1.0,1,0,0,1,1,0,0,2.76,5,21,13,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.27,0.126,.48,0.01%,0.45,10t --- 0 out tie,10t 3 out tie,,SEA,2.0,L,3,5
29,83,2013-07-02,SEA,TEX,7-7,,2,0.1,0,0,0,0,1,0,0,2.73,2,7,4,2,1,1,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,.10,0.001,.01,0.00%,-0.50,7b 1-3 2 out a8,7b 3 out a7,,TEX,0.0,W,9,2
30,84,2013-07-03,SEA,TEX,8-8,,0,0.1,1,0,0,0,1,0,0,2.70,2,12,8,1,4,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.60,-0.001,.20,0.00%,-0.02,8b --- 0 out tie,8b 1-- 1 out tie,,TEX,10.0,W,4,2
31,86,2013-07-05,SEA,CIN,7-7,H(5),1,0.2,0,0,0,0,1,0,0,2.64,3,13,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,1.97,0.027,.21,0.00%,0.15,7b --- 0 out a2,7b -2- 2 out a2,,CIN,0.0,W,4,2
32,89,2013-07-08,SEA,BOS,9-GF,,2,1.0,1,0,0,0,1,0,1,2.56,5,16,10,5,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.45,9t --- 0 out a7,9t end a 7,,SEA,1.0,W,11,4
33,93,2013-07-12,SEA,LAA,8-GF,,3,1.2,0,0,0,0,1,0,0,2.43,5,19,14,2,2,3,1,0,0,0,,2,1,0,0,0,5,0,0,0,0,0,0,.14,0.018,.01,0.00%,0.79,8t -23 1 out a6,9t end a 5,,SEA,0.0,W,8,3
34,94,2013-07-13,SEA,LAA,9-GF,,0,1.0,0,0,0,0,2,0,0,2.36,3,14,8,2,4,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.00,0.00%,0.45,9t --- 0 out a6,9t end a 6,,SEA,0.0,W,6,0
35,96,2013-07-19,SEA,HOU,6-7,H(6),5,1.2,1,0,0,0,0,0,0,2.25,6,17,11,3,1,5,1,0,0,0,,3,1,0,0,0,6,0,0,0,0,0,0,1.30,0.142,.10,0.01%,1.03,6b 123 1 out a4,7b 3 out a3,,HOU,0.8333333333333334,W,10,7
36,100,2013-07-23,SEA,CLE,6-8,H(7),3,2.1,1,0,0,0,1,0,0,2.11,8,28,19,6,3,4,3,1,1,0,,1,0,0,0,0,8,0,0,0,0,0,0,1.83,0.242,.32,0.03%,1.10,6t 1-- 2 out a1,8t 3 out a1,,SEA,0.47619047619047616,W,4,3
37,103,2013-07-26,SEA,MIN,13-GF(13),L(3-3),2,1.0,3,2,2,0,1,1,0,2.52,6,18,13,5,0,0,5,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.20,-0.421,.27,-0.06%,-1.56,13t --- 0 out tie,13t end d 2,,SEA,3.0,L,2,3
38,104,2013-07-27,SEA,MIN,6-7,,0,0.2,2,2,2,1,1,2,0,2.93,5,23,12,5,2,1,2,0,0,0,,3,1,0,0,0,4,0,0,0,0,0,0,1.19,-0.181,.21,-0.02%,-2.06,6t 123 2 out d1,7t --- 1 out d4,,SEA,15.0,L,0,4
39,107,2013-07-31,SEA,BOS,7-8,,3,2.0,0,0,0,0,2,0,0,2.79,5,22,14,3,3,2,1,0,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,1.15,0.178,.13,0.01%,1.38,7b 1-- 0 out d1,8b 3 out tie,,BOS,0.0,L,4,5
40,108,2013-08-01,SEA,BOS,9-GF,BS(1),0,0.0,2,0,0,1,0,0,0,2.79,3,14,7,2,1,1,1,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,5.70,-0.666,.49,-0.03%,-2.66,9b 12- 1 out a1,9b end d 1,,BOS,inf,L,7,8
41,111,2013-08-04,SEA,BAL,7-8,H(8),2,2.0,0,0,0,0,4,0,0,2.66,6,21,14,4,7,2,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.64,0.249,.09,0.01%,1.00,7b --- 0 out a1,8b 3 out a1,,BAL,0.0,W,3,2
42,112,2013-08-05,SEA,TOR,8-8,,0,0.1,1,1,1,1,0,0,0,2.84,3,11,5,0,2,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.95,-0.034,.16,0.00%,-0.25,8t 1-- 1 out tie,8t 123 2 out tie,,SEA,20.0,L,1,3
43,114,2013-08-07,SEA,TOR,7-8,H(9),1,1.2,2,0,0,1,1,0,0,2.74,8,29,17,6,3,3,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.19,0.065,.03,0.00%,0.49,7t --- 0 out a2,8t 12- 2 out a2,,SEA,2.5,W,9,7
44,116,2013-08-10,SEA,MIL,7-8,,2,1.0,0,0,0,1,2,0,0,2.68,3,14,7,3,2,0,0,0,0,0,,1,0,0,1,0,2,0,0,0,0,0,0,.05,0.002,.00,0.00%,0.56,7t 1-- 2 out d6,8t --- 2 out d6,,SEA,1.0,L,0,10
45,118,2013-08-13,SEA,TBR,7-8,H(10),2,1.2,0,0,0,2,1,0,0,2.59,7,24,13,3,2,3,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,3.09,0.248,.03,0.00%,0.97,7b 1-- 1 out a1,8b 3 out a1,,TBR,1.6666666666666667,W,5,4
46,119,2013-08-14,SEA,TBR,7-8,H(11),0,1.1,0,0,0,3,3,0,0,2.52,7,29,14,3,6,0,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.79,0.160,.04,0.00%,0.57,7b --- 2 out a1,8b 3 out a1,,TBR,2.727272727272727,L,4,5
