,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,2,2008-04-02,PIT,ATL,8-GF(8),,99,0.2,2,2,2,0,0,1,0,27.0,4,9,5,1,0,2,2,0,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,0.09,-0.006999999999999999,0.09,0.00%,-2.81,8b 1-3 1 out d4,8b end d 8,,ATL,10.0,L,2,10
1,2,5,2008-04-05,PIT,FLA,6-6,,2,0.1,2,2,2,0,0,0,0,36.0,4,13,9,1,1,1,3,1,0,0,,0,0,0,0,0,3,0,1,0,0,0,1,0.53,-0.106,0.5,-0.06%,-2.02,6b --- 0 out d2,6b 1-- 1 out d4,,FLA,20.0,L,3,7
2,3,7,2008-04-07,PIT,CHC,12-GF(12),L(0-1),1,1.0,0,2,2,5,0,0,0,27.0,8,36,11,5,3,1,2,0,0,0,,0,0,1,0,0,2,0,0,2,0,1,0,2.75,-0.41100000000000003,2.79,-0.25%,-1.51,12t --- 0 out tie,12t end d 2,,PIT,5.0,L,8,10
3,4,9,2008-04-10,PIT,CHC,8-GF,,2,2.0,0,0,0,1,2,0,1,13.5,7,26,12,5,3,3,0,0,0,0,,0,0,1,0,0,5,0,0,0,1,0,0,0.13,0.011000000000000001,0.11,0.01%,0.98,8t --- 0 out d4,9t end d 4,,PIT,0.5,L,3,7
4,5,14,2008-04-15,PIT,LAD,7-GF(8),,4,2.0,4,3,2,0,0,1,0,12.0,9,17,11,1,0,5,4,3,0,0,,0,0,0,0,0,9,0,0,0,2,0,1,0.01,-0.002,0.01,0.00%,-2.0,7b --- 0 out d7,8b end d 9,,LAD,2.0,L,2,11
5,6,17,2008-04-19,PIT,CHC,7-7,,3,1.0,1,2,2,1,0,1,0,12.86,5,20,15,5,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-1.45,7b --- 0 out d10,7b 3 out d12,,CHC,2.0,L,1,13
6,7,19,2008-04-21,PIT,FLA,8-GF,,1,2.0,2,0,0,0,1,0,0,10.0,8,20,14,5,2,5,2,1,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.98,8t --- 0 out d8,9t end d 6,,PIT,1.0,L,4,10
7,8,24,2008-04-26,PIT,PHI,8-GF,,4,2.0,0,0,0,2,3,0,0,8.18,7,34,17,9,3,0,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.09,0.006999999999999999,0.06,0.00%,0.98,8t --- 0 out d5,9t end d 4,,PIT,1.0,L,4,8
8,9,27,2008-04-30,PIT,NYM,8-GF,,3,2.0,0,0,0,3,1,0,0,6.92,9,37,17,7,2,4,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,1.0,8b --- 0 out a12,9b end a12,,NYM,1.5,W,13,1
9,10,17,2009-04-25,PIT,SDP,9-GF,,99,0.2,0,0,0,0,0,0,0,0.0,2,2,2,0,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.85,9b 12- 1 out a9,9b end a 9,,SDP,0.0,W,10,1
10,11,19,2009-04-27,PIT,MIL,7-7,,1,1.0,0,0,0,2,2,0,0,0.0,5,22,10,4,5,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.41,0.023,0.5,0.02%,0.49,7b --- 0 out d2,7b 3 out d2,,MIL,2.0,L,5,10
11,12,20,2009-04-28,PIT,MIL,8-GF(8),,0,1.0,0,0,0,2,1,0,0,0.0,5,22,10,2,2,1,1,0,0,0,,0,0,1,0,0,3,0,0,1,0,0,0,0.68,0.03,0.84,0.02%,0.49,8b --- 0 out d1,8b end d 1,,MIL,2.0,L,5,6
12,13,24,2009-05-03,PIT,CIN,6-8,,4,3.0,1,0,0,2,1,0,0,0.0,11,48,27,7,5,4,4,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0.12,0.018000000000000002,0.13,0.01%,1.46,6t --- 0 out d5,8t 3 out d5,,PIT,1.0,L,0,5
13,14,26,2009-05-05,PIT,MIL,8-8,,1,1.0,1,2,2,2,0,0,0,2.7,6,20,10,4,2,2,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,0.36,-0.047,0.36,-0.03%,-1.51,8t --- 0 out d3,8t 3 out d5,,PIT,3.0,L,5,8
14,15,28,2009-05-07,PIT,STL,7-GF(8),,1,2.0,1,0,0,1,2,0,0,2.08,8,38,22,8,4,3,2,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.13,0.018000000000000002,0.11,0.01%,0.98,7b --- 0 out d3,8b end d 3,,STL,1.0,L,2,5
15,16,30,2009-05-09,PIT,NYM,7-7,,1,1.0,2,1,1,0,0,0,0,2.79,5,22,14,5,1,3,2,1,0,0,,0,0,0,0,0,5,1,1,0,0,0,0,0.02,-0.003,0.01,0.00%,-0.52,7b --- 0 out d6,7b 3 out d7,,NYM,2.0,L,1,10
16,17,34,2009-05-14,PIT,STL,7-8,,4,1.0,3,2,2,0,2,0,0,4.22,6,23,17,5,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.57,-0.069,0.36,-0.03%,-1.89,7t --- 0 out d2,8t 1-- 0 out d4,,PIT,3.0,L,1,5
17,18,36,2009-05-16,PIT,COL,6-6,H(1),1,1.0,0,0,0,1,0,0,0,3.86,5,15,10,1,3,3,1,0,1,0,,0,0,1,0,0,4,0,0,0,0,0,1,1.52,0.079,0.6,0.02%,0.49,6t --- 0 out a1,6t 3 out a1,,PIT,1.0,W,7,4
18,19,37,2009-05-17,PIT,COL,8-GF,,0,2.0,2,0,0,0,2,0,0,3.29,8,37,22,10,2,2,4,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.03,0.004,0.01,0.00%,0.98,8t --- 0 out a7,9t end a 7,,PIT,1.0,W,11,4
19,20,39,2009-05-19,PIT,WSN,7-7,H(2),1,1.0,0,0,0,3,0,0,0,3.07,5,24,9,4,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.29,0.107,1.33,0.04%,0.49,7b --- 0 out a1,7b 3 out a1,,WSN,3.0,W,8,5
