,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,72,6,2000-04-09,BAL,DET,GS-5,W(1-0),99,5.0,7,4,3,3,3,1,0,5.4,25,109,69,17,8,7,12,5,1,0,39.0,,,0,0,0,22,0,1,0,1,0,1,0.8,-0.10800000000000001,0.89,-0.07%,-1.16,1t start tie,5t 3 out a7,,BAL,2.0,W,11,6
1,73,10,2000-04-14,BAL,MIN,GS-6,,4,6.0,8,4,4,2,2,0,0,5.73,27,92,53,9,8,12,11,8,0,0,40.0,,,0,0,0,24,2,2,0,1,1,0,1.1,0.026000000000000002,1.14,0.02%,-0.27,1b start tie,6b 3 out a4,,MIN,1.6666666666666667,L,9,10
2,74,16,2000-04-22,BAL,OAK,GS-6,W(2-0),7,5.2,6,2,2,3,0,0,0,4.86,26,87,53,8,8,7,16,5,3,0,46.0,,,0,0,0,23,1,0,0,0,0,0,1.13,0.11599999999999999,1.34,0.08%,0.97,1b start tie,6b 12- 2 out a2,,OAK,1.7307692307692306,W,4,3
3,75,21,2000-04-27,BAL,CHW,GS-2,L(2-1),4,1.2,5,4,4,3,1,0,0,6.38,12,55,30,11,2,4,4,3,0,0,27.0,,,0,0,0,8,2,1,1,1,1,0,1.19,-0.326,1.46,-0.24%,-3.63,1b start a 1,2b 123 2 out d2,,CHW,6.666666666666668,L,4,13
4,76,31,2000-05-08,BAL,TOR,5-8,,10,3.1,6,0,0,2,2,0,0,5.4,16,56,31,6,6,8,4,4,0,0,,0.0,0.0,0,0,0,13,1,0,0,2,0,0,0.47,0.005,0.57,0.00%,0.94,5b --- 0 out d4,8b -23 1 out d1,,TOR,2.5806451612903225,L,5,6
5,77,34,2000-05-11,BAL,BOS,4-6,L(2-2),2,2.0,5,4,4,1,0,1,0,6.46,12,44,30,3,3,5,6,3,0,0,,2.0,0.0,0,0,0,11,2,0,0,0,0,0,1.29,-0.235,1.36,-0.15%,-1.62,4t 12- 1 out d3,6t -2- 1 out d3,,BAL,3.0,L,4,11
6,78,36,2000-05-13,BAL,BOS,8-8,,1,0.1,0,0,0,0,0,0,0,6.38,1,6,4,2,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.09,0.002,0.08,0.00%,0.12,8t --- 2 out d4,8t 3 out d4,,BAL,0.0,L,1,5
7,79,37,2000-05-14,BAL,BOS,8-8,,0,0.2,4,3,3,0,0,0,0,7.3,6,17,10,4,0,1,5,5,0,0,,3.0,3.0,0,0,0,6,1,1,0,0,0,0,0.39,-0.033,0.31,-0.02%,-3.97,8t 123 0 out d3,8t --3 2 out d9,,BAL,20.0,L,1,10
8,80,47,2000-05-27,BAL,OAK,9-GF,,12,1.0,0,0,0,1,0,0,0,7.01,4,13,7,3,0,0,3,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.07,0.005,0.05,0.00%,0.57,9t --- 0 out d4,9t end d 4,,BAL,1.0,L,0,4
9,81,53,2000-06-03,BAL,MON,6-6,,6,0.2,0,0,0,1,1,0,0,6.84,3,11,6,2,1,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1.13,0.018000000000000002,0.71,0.01%,0.22,6b --- 0 out d1,6b -2- 2 out d1,,MON,5.0,L,4,7
