,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,31,2017-05-05,ANA,HOU,9-9,,99,1.0,2,1,1,0,1,0,0,9.0,5,15,11,3,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.12,-0.015,0.15,-0.01%,-0.49,9t --- 0 out d3,9t 3 out d4,,LAA,2.0,L,6,7,,
1,2,33,2017-05-07,ANA,HOU,9-GF,,1,1.0,0,0,0,0,1,0,0,4.5,3,14,10,3,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.24,0.018000000000000002,0.29,0.01%,0.51,9t --- 0 out d2,9t end d 2,,LAA,0.0,L,3,5,,
2,3,35,2017-05-09,ANA,OAK,9-9,,1,0.0,0,0,0,2,0,0,0,4.5,2,9,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.69,-0.068,0.65,-0.04%,-1.0,9b --- 0 out a4,9b 12- 0 out a4,,OAK,inf,W,7,3,,
3,4,37,2017-05-11,ANA,DET,9-GF,,1,1.0,1,1,1,3,2,0,0,6.0,6,33,14,6,4,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,-0.003,0.03,0.00%,-0.49,9t --- 0 out d5,9t end d 6,,LAA,4.0,L,1,7,,
4,5,38,2017-05-12,ANA,DET,9-GF,,0,1.0,0,0,0,0,0,0,0,4.5,3,7,6,1,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.51,9t --- 0 out a7,9t end a 7,,LAA,0.0,W,7,0,,
5,6,43,2017-05-17,ANA,CHW,9-GF,,4,1.0,2,1,1,0,3,0,0,5.4,5,19,14,3,5,0,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.19,0.006,0.16,0.00%,-0.49,9t --- 0 out a5,9t end a 4,,LAA,2.0,W,12,8,,
6,7,44,2017-05-19,ANA,NYM,8-GF(8),,1,1.0,1,0,0,0,2,0,0,4.5,4,16,13,4,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.19,0.006,0.16,0.00%,0.49,8b --- 0 out d3,8b end d 3,,NYM,1.0,L,0,3,,
7,8,48,2017-05-23,ANA,TBR,9-GF,,3,1.0,0,0,0,0,0,0,0,3.86,3,12,7,1,0,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.24,0.018000000000000002,0.23,0.01%,0.51,9b --- 0 out a4,9b end a 4,,TBR,0.0,W,4,0,,
8,9,50,2017-05-25,ANA,TBR,5-5,,1,0.2,1,0,0,1,1,0,0,3.52,4,19,9,1,4,0,2,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,1.17,-0.062,1.13,-0.04%,-0.81,5b 1-3 1 out d2,5b 3 out d4,,TBR,10.0,L,0,4,,
9,10,51,2017-05-26,ANA,MIA,7-7,,0,1.0,0,0,0,0,1,0,0,3.12,3,15,10,1,5,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,0.003,0.03,0.00%,0.47,7b --- 0 out d5,7b 3 out d5,,MIA,0.0,L,5,8,,
10,11,53,2017-05-28,ANA,MIA,8-GF(8),,1,0.1,0,0,0,0,1,0,0,3.0,1,8,5,0,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.48,8b 1-3 2 out d7,8b end d 7,,MIA,0.0,L,2,9,,
11,12,54,2017-05-29,ANA,ATL,9-GF,,0,1.0,0,0,0,0,0,0,0,2.7,3,9,8,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.11,0.008,0.09,0.00%,0.51,9t --- 0 out d3,9t end d 3,,LAA,0.0,L,3,6,,
12,13,57,2017-06-01,ANA,MIN,7-7,,2,1.0,0,0,0,0,1,0,0,2.45,3,10,7,2,2,1,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.03,0.14800000000000002,1.59,0.07%,0.9,7t 1-- 0 out tie,7t 3 out tie,,LAA,0.0,L,2,4,,
13,14,58,2017-06-02,ANA,MIN,8-8,,0,0.1,0,0,0,0,1,0,0,2.38,1,4,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.44,8t 12- 2 out d9,8t 3 out d9,,LAA,0.0,L,5,11,,
14,15,60,2017-06-04,ANA,MIN,8-8,,1,1.0,0,0,0,0,2,0,0,2.19,3,11,8,2,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.053,0.52,0.02%,0.51,8t --- 0 out d1,8t 3 out d1,,LAA,0.0,L,2,3,,
15,16,61,2017-06-06,ANA,DET,8-8,H(1),1,1.0,1,1,1,1,0,0,0,2.7,4,17,8,1,4,1,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,0,2.13,0.013000000000000001,1.33,0.01%,-0.47,8b --- 0 out a3,8b 3 out a2,,DET,2.0,W,5,3,,
16,17,63,2017-06-08,ANA,DET,6-6,H(2),1,1.0,2,0,0,0,2,0,0,2.51,5,23,15,3,4,1,2,1,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.2,0.09,1.45,0.04%,0.53,6b --- 0 out a1,6b 3 out a1,,DET,2.0,W,11,4,,
17,18,66,2017-06-11,ANA,HOU,5-5,W(1-0),2,1.0,0,0,0,1,0,0,0,2.35,4,16,8,1,2,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.97,0.053,0.76,0.03%,0.5,5b --- 0 out a3,5b 3 out a3,,HOU,1.0,W,12,6,,
18,19,67,2017-06-12,ANA,NYY,7-7,,0,1.0,2,1,1,2,0,0,0,2.76,7,18,10,2,3,5,0,0,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,1.47,-0.08800000000000001,1.16,-0.04%,-0.49,7t --- 0 out d1,7t 3 out d2,,LAA,4.0,L,3,5,,
19,20,68,2017-06-13,ANA,NYY,11-GF(11),W(2-0),0,0.2,0,0,0,0,0,0,0,2.65,2,5,3,1,0,0,2,0,2,0,,3,0,0,0,0,2,0,0,0,0,0,0,6.39,0.354,4.78,0.16%,1.59,11t 123 1 out tie,11t end tie,,LAA,0.0,W,3,2,,
20,21,71,2017-06-16,ANA,KCR,8-8,,2,1.0,1,1,1,0,0,1,0,3.0,4,19,13,2,2,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.52,-0.08900000000000001,0.41,-0.04%,-0.49,8t --- 0 out d1,8t 3 out d2,,LAA,1.0,L,1,3,,
21,22,73,2017-06-18,ANA,KCR,4-4,,1,1.0,2,2,2,0,1,1,0,3.79,5,18,12,0,3,1,3,1,1,0,,2,2,0,0,0,4,0,0,0,0,1,0,1.53,-0.195,1.22,-0.09%,-2.49,4t 12- 0 out d1,4t 3 out d5,,LAA,2.0,L,3,7,,
22,23,74,2017-06-20,ANA,NYY,8-8,,1,1.0,1,0,0,0,2,0,0,3.6,4,12,9,2,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.6,0.033,0.44,0.02%,0.55,8b --- 0 out a4,8b 3 out a4,,NYY,1.0,W,8,3,,
