,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,137,2012-09-05,SLN,NYM,6-7,,99,2.0,1,0,0,0,4,0,0,0.0,7,29,21,7,5,2,1,0,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.18,0.023,0.24,0.02%,0.93,6t --- 0 out d4,7t 3 out d4,,STL,0.5,L,2,6,,
1,2,141,2012-09-10,SLN,SDP,4-6,,4,3.0,4,2,2,2,3,0,0,3.6,15,59,36,10,5,4,6,3,1,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,0.44,-0.08900000000000001,0.57,-0.07%,-0.7,4b --- 0 out d2,6b 3 out d3,,SDP,2.0,L,3,11,,
2,3,147,2012-09-16,SLN,LAD,11-11,W(1-0),5,1.0,1,0,0,0,1,0,0,3.0,4,14,9,2,1,2,1,0,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,2.25,0.129,5.11,0.18%,0.46,11b --- 0 out tie,11b 3 out tie,,LAD,1.0,W,5,2,,
3,4,151,2012-09-21,SLN,CHC,6-6,H(1),4,0.2,2,0,0,0,0,0,0,2.7,4,13,8,2,0,2,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,2.08,-0.002,2.81,0.00%,-0.01,6b --- 0 out a1,6b 1-3 2 out a1,,CHC,10.0,L,4,5,,
4,5,156,2012-09-26,SLN,HOU,8-GF(8),,4,1.0,0,0,0,0,1,0,0,2.35,3,9,7,1,2,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.17,0.013000000000000001,0.04,0.00%,0.48,8b --- 0 out d2,8b end d 2,,HOU,0.0,L,0,2,,
5,6,162,2012-10-03,SLN,CIN,GS-6,,6,6.0,1,0,0,2,7,0,1,1.32,21,72,52,16,12,3,8,2,1,0,75.0,,,0,0,0,18,0,0,0,1,0,0,0.86,0.345,0.0,0.00%,2.79,1t start tie,6t 3 out tie,,STL,0.5,W,1,0,,
6,7,5,2013-04-06,SLN,SFG,GS-6,W(1-0),99,5.1,4,2,2,4,4,1,0,3.38,24,95,57,24,3,7,9,4,0,0,52.0,,,1,0,0,20,0,0,0,0,0,0,0.88,-0.077,0.81,-0.04%,-0.34,1b start a 1,6b 12- 1 out a3,,SFG,1.5686274509803924,W,6,3,,
7,8,10,2013-04-12,SLN,MIL,GS-7,W(2-0),5,7.0,1,0,0,0,8,0,1,1.46,23,113,87,17,11,11,3,1,0,0,83.0,,,1,0,0,22,0,0,0,0,0,0,0.98,0.444,1.13,0.31%,3.13,1t start tie,7t 3 out a1,,STL,0.14285714285714285,W,2,0,,
8,9,14,2013-04-17,SLN,PIT,GS-6,L(2-1),4,6.0,6,2,2,1,6,0,0,1.96,24,98,69,23,11,5,12,3,4,0,57.0,,,0,0,0,23,1,1,0,1,0,0,0.74,0.004,0.95,0.00%,0.53,1b start tie,6b 3 out d2,,PIT,1.1666666666666667,L,0,5,,
9,10,19,2013-04-22,SLN,WSN,GS-7,W(3-1),4,6.2,3,2,0,2,8,0,0,1.44,26,98,65,19,10,7,9,5,0,0,70.0,,,1,0,0,24,2,0,0,0,0,1,1.14,0.1,1.2,0.06%,0.78,1b start tie,7b 12- 2 out a1,,WSN,0.8064516129032258,W,3,2,,
10,11,24,2013-04-28,SLN,PIT,GS-6,L(3-2),5,5.2,7,3,3,3,7,2,0,2.05,25,113,74,23,9,7,8,3,0,0,47.0,,,0,0,0,22,2,0,0,2,0,0,0.84,0.0,1.14,0.00%,0.48,1t start tie,6t 1-- 2 out d2,,STL,1.9230769230769231,L,0,9,,
11,12,29,2013-05-03,SLN,MIL,GS-6,W(4-2),4,6.0,7,1,1,1,5,0,0,1.96,25,106,69,15,13,7,12,6,0,0,58.0,,,1,0,0,23,0,0,0,1,1,0,1.18,0.23199999999999998,1.64,0.20%,1.74,1b start tie,6b 3 out a3,,MIL,1.3333333333333333,W,6,1,,
12,13,34,2013-05-10,SLN,COL,SHO,W(5-2),6,9.0,1,0,0,0,13,0,0,1.58,28,113,84,30,11,7,8,2,1,0,98.0,,,1,0,0,28,0,0,0,0,0,0,0.72,0.40700000000000003,0.95,0.33%,4.03,1t start tie,9t 3 out a3,,STL,0.1111111111111111,W,3,0,,
13,14,39,2013-05-15,SLN,NYM,GS-6,,4,5.2,4,0,0,1,6,0,1,1.4,21,96,65,15,7,3,10,3,2,0,66.0,,,2,1,0,19,1,0,0,0,0,0,1.04,0.27899999999999997,1.27,0.21%,2.35,1t start tie,6t --3 2 out a2,,STL,0.9615384615384616,W,4,2,,
14,15,44,2013-05-20,SLN,SDP,GS-6,L(5-3),4,5.2,5,3,3,3,5,0,0,1.74,24,107,63,22,8,8,8,3,1,0,49.0,,,1,0,0,21,0,1,0,0,0,0,1.21,0.159,1.53,0.12%,1.04,1b start tie,6b 12- 2 out a1,,SDP,1.5384615384615383,L,2,4,,
15,16,49,2013-05-26,SLN,LAD,GS-6,,5,5.1,7,3,3,1,3,1,1,2.02,24,105,67,15,8,6,13,5,1,0,44.0,,,0,1,0,22,1,0,0,0,0,0,1.32,-0.121,1.62,-0.09%,-0.91,1b start tie,6b 1-- 1 out tie,,LAD,1.5686274509803924,W,5,3,,
16,17,54,2013-06-01,SLN,SFG,GS-7,W(6-3),5,7.0,6,0,0,1,7,0,0,1.82,28,106,74,22,13,8,12,5,4,0,71.0,,,0,0,0,27,1,0,0,0,0,0,0.44,0.17300000000000001,0.51,0.12%,3.13,1t start tie,7t 3 out a7,1.0,STL,1.0,W,8,0,,
17,18,60,2013-06-06,SLN,ARI,GS-6,W(7-3),4,6.0,6,2,2,0,9,0,0,1.91,22,92,67,20,13,7,6,4,0,0,61.0,,,0,0,0,22,1,0,0,1,0,0,0.8,-0.004,1.0,0.00%,0.68,1t start tie,6t 3 out a10,,STL,1.0,W,12,8,,
18,19,65,2013-06-12,SLN,NYM,GS-6,L(7-4),5,6.0,5,4,4,0,10,2,0,2.21,23,96,66,23,14,4,9,2,1,0,56.0,,,0,0,0,23,1,0,0,0,0,0,0.42,-0.21100000000000002,0.44,-0.13%,-1.5,1b start tie,6b 3 out d3,,NYM,0.8333333333333334,L,1,5,,
19,20,70,2013-06-17,SLN,CHC,GS-5,W(8-4),4,5.0,2,0,0,2,5,0,0,2.08,19,83,52,18,4,3,9,3,0,0,66.0,,,0,0,0,17,0,0,0,0,0,0,1.01,0.261,1.13,0.18%,2.24,1t start tie,5t 3 out a2,,STL,0.8,W,5,2,,
20,21,75,2013-06-22,SLN,TEX,GS-6,L(8-5),4,5.2,8,4,4,1,5,2,0,2.35,27,90,65,20,8,5,16,6,0,0,41.0,,,0,0,0,26,1,0,0,0,0,1,0.77,-0.27699999999999997,0.82,-0.18%,-2.05,1t start tie,6t 123 2 out d2,,STL,1.7307692307692306,L,2,4,,
21,22,79,2013-06-28,SLN,OAK,GS-2,L(8-6),5,1.2,6,5,5,2,0,0,0,2.79,12,61,38,10,2,4,6,6,0,0,21.0,,,0,0,0,10,2,0,0,1,0,0,1.1,-0.332,1.19,-0.21%,-4.64,1b start tie,2b -23 2 out d5,,OAK,6.666666666666668,L,1,6,,
22,23,83,2013-07-03,SLN,LAA,GS-6,W(9-6),4,6.0,5,2,2,2,6,1,0,2.8,24,102,70,20,12,4,12,5,2,0,58.0,,,0,0,0,22,0,0,0,1,0,0,0.33,0.053,0.38,0.04%,0.73,1b start tie,6b 3 out a8,,LAA,1.1666666666666667,W,12,2,,
23,24,89,2013-07-10,SLN,HOU,GS-5,,6,5.0,5,3,3,5,5,1,0,2.92,25,94,56,15,9,8,8,3,1,0,45.0,,,0,0,0,20,1,0,0,1,0,1,1.2,-0.126,1.25,-0.08%,-0.76,1t start tie,5t 3 out d2,,STL,2.0,W,5,4,,
24,25,97,2013-07-23,SLN,PHI,GS-6,W(10-6),12,6.0,3,0,0,1,6,0,0,2.77,21,85,62,19,3,4,10,3,2,0,71.0,,,0,0,0,20,1,0,0,1,0,0,0.9,0.295,0.88,0.17%,2.68,1t start tie,6t 3 out a3,,STL,0.6666666666666666,W,4,1,,
25,26,102,2013-07-28,SLN,ATL,GS-6,L(10-7),4,5.2,6,3,2,2,6,1,0,2.79,25,112,72,17,13,7,10,4,1,0,51.0,,,0,0,0,23,0,0,0,0,0,0,0.9,0.032,0.82,0.02%,0.48,1b start tie,6b 1-- 2 out tie,,ATL,1.5384615384615383,L,2,5,,
26,27,108,2013-08-02,SLN,CIN,GS-6,W(11-7),4,5.0,5,3,3,3,8,1,0,2.89,22,97,58,13,13,5,6,5,0,0,50.0,,,0,0,0,19,0,0,0,1,0,0,0.38,0.086,0.46,0.06%,-1.13,1b start a 4,6b 1-- 0 out a9,,CIN,1.6,W,13,3,,
27,28,113,2013-08-07,SLN,LAD,GS-1,,4,0.0,1,0,0,0,0,0,0,2.89,1,2,1,0,0,0,1,1,0,0,48.0,,,0,0,0,1,1,0,0,0,0,0,0.87,-0.062,0.85,-0.04%,-0.61,1t start tie,1t -2- 0 out tie,,STL,inf,L,4,13,,
28,29,119,2013-08-14,SLN,PIT,GS-6,L(11-8),6,6.0,8,5,3,2,5,2,0,2.97,28,112,72,17,14,13,8,2,2,0,43.0,,,0,1,0,25,2,0,0,0,0,1,0.56,-0.26,0.96,-0.27%,-2.32,1t start tie,6t 3 out d5,,STL,1.6666666666666667,L,1,5,,
29,30,124,2013-08-19,SLN,MIL,GS-6,,4,5.1,5,2,2,4,8,1,1,2.98,26,101,66,18,15,5,8,3,2,0,54.0,,,0,0,0,20,0,0,0,0,0,0,1.35,-0.078,1.69,-0.06%,-0.13,1b start a 1,6b 12- 1 out a2,,MIL,1.7647058823529411,W,8,5,,
30,31,129,2013-08-24,SLN,ATL,GS-7,W(12-8),4,7.0,3,1,1,0,6,1,0,2.9,25,101,68,23,11,9,10,2,2,0,73.0,,,0,0,0,25,0,0,0,0,0,1,0.96,0.332,1.16,0.24%,2.13,1t start tie,7t 3 out a1,,STL,0.42857142857142855,W,6,2,,
31,32,134,2013-08-30,SLN,PIT,GS-5,L(12-9),5,4.1,8,5,5,3,3,2,1,3.13,25,99,58,14,6,4,14,7,2,0,27.0,,,0,0,0,21,4,0,0,0,0,0,0.77,-0.259,1.58,-0.32%,-3.72,1b start tie,5b 12- 1 out d5,,PIT,2.6829268292682933,L,0,5,,
32,33,139,2013-09-04,SLN,CIN,GS-6,,4,5.2,6,3,3,4,3,1,0,3.19,27,95,55,11,3,10,10,3,2,0,44.0,,,0,0,0,20,1,0,0,0,0,0,1.43,-0.172,2.2,-0.16%,-0.88,1b start tie,6b -23 2 out tie,,CIN,1.9230769230769231,W,5,4,,
33,34,144,2013-09-10,SLN,MIL,GS-7,W(13-9),5,6.2,5,0,0,2,4,0,0,3.05,27,108,72,18,10,12,9,5,1,0,66.0,,,0,0,0,24,1,0,0,0,0,0,1.18,0.364,2.02,0.38%,2.83,1t start tie,7t -2- 2 out a2,,STL,1.1290322580645158,W,4,2,,
34,35,149,2013-09-15,SLN,SEA,GS-5,W(14-9),4,5.0,3,2,1,2,1,0,0,3.01,20,95,55,11,6,8,9,2,2,0,54.0,,,0,1,0,17,1,0,0,0,1,1,1.16,0.057,2.18,0.06%,0.24,1t start tie,5t 3 out a3,,STL,1.0,W,12,2,,
35,36,154,2013-09-20,SLN,MIL,GS-6,,4,6.0,7,4,4,2,4,1,0,3.12,27,103,71,13,12,5,16,7,0,0,44.0,,,0,0,0,23,0,0,0,0,1,0,0.83,-0.23399999999999999,1.96,-0.33%,-1.26,1b start a 1,6b 3 out d2,,MIL,1.5,W,7,6,,
36,37,159,2013-09-25,SLN,WSN,GS-7,W(15-9),4,6.0,4,1,1,3,3,0,0,3.06,24,90,57,15,2,8,10,3,2,0,60.0,,,1,0,0,21,0,0,0,1,0,0,1.1,0.157,1.57,0.14%,1.32,1t start tie,7t 1-- 0 out a3,,STL,1.1666666666666667,W,4,1,,
37,38,4,2014-04-04,SLN,PIT,GS-6,L(0-1),99,5.1,6,5,5,3,2,3,0,8.44,23,97,60,21,5,7,11,3,2,0,35.0,,,1,0,0,20,0,1,0,1,0,0,0.79,-0.217,0.9,-0.15%,-1.85,1b start tie,6b 1-- 1 out d2,,PIT,1.7647058823529411,L,2,12,,
38,39,9,2014-04-09,SLN,CIN,GS-6,L(0-2),4,6.0,7,3,3,3,5,1,0,6.35,28,92,58,18,4,7,14,8,2,0,48.0,,,2,0,0,24,0,1,0,1,1,1,0.89,-0.111,1.0,-0.08%,-0.35,1t start tie,6t 3 out d3,,STL,1.6666666666666667,L,0,4,,
39,40,14,2014-04-15,SLN,MIL,GS-6,W(1-2),5,6.0,3,1,1,3,7,1,0,4.67,22,94,58,19,9,5,7,5,1,0,66.0,,,0,1,0,19,0,0,0,1,0,0,0.88,0.247,1.12,0.19%,1.73,1b start tie,6b 3 out a2,,MIL,1.0,W,6,1,,
40,41,19,2014-04-20,SLN,WSN,GS-6,,4,5.1,4,0,0,5,7,0,1,3.57,26,99,57,16,9,6,7,2,1,0,62.0,,,0,0,0,20,0,0,0,0,0,0,1.39,0.218,1.66,0.16%,1.89,1b start tie,6b 12- 1 out a2,,WSN,1.7647058823529411,L,2,3,,
41,42,24,2014-04-25,SLN,PIT,GS-6,W(2-2),4,5.2,3,0,0,4,4,0,0,2.86,22,97,56,13,10,9,5,3,1,0,63.0,,,0,0,0,17,1,0,0,2,0,0,1.35,0.299,1.52,0.20%,2.35,1t start tie,6t -2- 2 out a1,,STL,1.346153846153846,W,1,0,,
42,43,29,2014-04-30,SLN,MIL,GS-7,W(3-2),4,6.0,6,3,3,3,1,2,0,3.15,27,90,52,11,4,12,11,3,0,0,46.0,,,0,1,0,24,0,0,0,0,0,1,0.88,-0.10300000000000001,1.08,-0.08%,-0.72,1t start tie,7t 1-- 0 out a6,,STL,1.5,W,9,3,,
43,44,33,2014-05-05,SLN,ATL,GS-6,W(4-2),4,5.0,6,2,2,2,5,0,0,3.2,22,86,51,13,8,9,6,3,0,0,50.0,,,0,0,0,19,2,0,0,1,0,0,1.28,0.03,1.3,0.02%,-0.17,1b start tie,6b 1-3 0 out a3,,ATL,1.6,W,4,3,,
44,45,38,2014-05-11,SLN,PIT,GS-6,W(5-2),5,5.1,4,2,2,4,2,1,1,3.22,24,95,55,19,4,7,11,4,3,0,50.0,,,0,0,0,19,0,0,0,0,0,0,1.19,0.08800000000000001,1.38,0.06%,0.4,1b start a 4,6b --- 1 out a2,,PIT,1.5686274509803924,W,6,5,,
45,46,43,2014-05-17,SLN,ATL,GS-7,W(6-2),5,7.0,5,1,0,2,7,0,0,2.79,26,101,72,16,10,9,8,5,1,0,70.0,,,0,0,0,24,1,0,0,1,0,0,0.87,0.263,1.01,0.18%,2.09,1t start tie,7t 3 out a2,,STL,1.0,W,4,1,,
46,47,48,2014-05-23,SLN,CIN,GS-5,L(6-3),5,5.0,5,4,4,1,5,1,0,3.18,21,80,51,13,6,5,10,4,0,0,45.0,,,2,0,0,18,1,0,0,0,1,0,1.01,-0.237,1.51,-0.21%,-1.79,1b start tie,5b 3 out d2,,CIN,1.2,L,3,5,,
47,48,53,2014-05-28,SLN,NYY,GS-5,L(6-4),4,5.0,9,7,7,2,1,0,0,3.94,26,87,54,14,4,9,14,8,2,0,20.0,,,2,0,0,24,1,0,0,0,0,0,0.73,-0.341,0.92,-0.26%,-4.79,1t start tie,5t 3 out d6,,STL,2.2,L,4,7,,
48,49,58,2014-06-02,SLN,KCR,GS-8,L(6-5),4,7.0,7,4,4,1,2,1,0,4.06,29,95,64,17,2,14,12,2,2,0,48.0,,,0,0,0,28,1,0,0,1,0,1,0.95,-0.064,1.12,-0.05%,-0.28,1t start tie,8t 1-- 0 out d3,,STL,1.1428571428571428,L,0,6,,
49,50,63,2014-06-07,SLN,TOR,SHO,W(7-5),4,9.0,3,0,0,1,5,0,0,3.59,31,105,66,20,8,9,16,4,3,0,85.0,,,0,0,0,30,1,0,0,0,0,0,0.91,0.489,0.98,0.31%,4.18,1b start tie,9b 3 out a5,,TOR,0.4444444444444444,W,5,0,,
50,51,68,2014-06-14,SLN,WSN,GS-7,,6,6.2,4,1,1,4,7,0,0,3.42,27,101,63,20,6,8,8,3,3,0,65.0,,,1,0,0,23,1,0,0,1,0,0,1.18,0.17600000000000002,1.48,0.13%,1.37,1t start tie,7t 123 2 out tie,,STL,1.2903225806451613,W,4,1,,
51,52,73,2014-06-19,SLN,PHI,GS-7,L(7-6),4,6.2,7,4,4,3,4,1,0,3.56,29,93,65,20,7,8,14,6,3,0,45.0,,,0,1,0,24,1,0,0,0,1,0,0.73,-0.156,1.01,-0.13%,-1.37,1t start tie,7t 1-3 2 out d4,,STL,1.6129032258064515,L,1,4,,
52,53,78,2014-06-24,SLN,COL,GS-3,,4,2.2,6,3,3,5,2,0,0,3.75,18,74,37,6,5,6,5,5,0,0,31.0,,,0,1,0,13,1,0,1,0,0,0,1.05,-0.218,1.37,-0.17%,-2.24,1b start tie,3b 123 2 out d2,,COL,5.0,L,5,10,,
53,54,83,2014-06-29,SLN,LAD,GS-5,L(7-7),4,5.0,7,6,6,3,4,1,0,4.1,24,71,47,15,6,6,11,5,1,0,30.0,,,0,1,0,20,2,0,0,0,1,0,0.82,-0.22699999999999998,1.06,-0.18%,-3.88,1b start tie,5b 3 out d6,,LAD,2.0,L,0,6,,
54,55,88,2014-07-05,SLN,MIA,GS-6,,5,5.1,9,3,3,1,2,0,0,4.15,26,107,71,20,4,11,12,6,5,0,39.0,,,0,0,0,25,1,0,0,0,0,0,1.13,0.09,1.6,0.08%,0.8,1t start tie,6t 12- 1 out a4,,STL,1.9607843137254903,L,5,6,,
55,56,93,2014-07-10,SLN,PIT,GS-5,L(7-8),4,5.0,5,4,4,4,1,0,0,4.29,24,92,52,13,7,3,16,6,5,0,38.0,,,2,0,0,18,2,0,0,0,0,0,1.18,-0.256,2.09,-0.27%,-1.79,1t start tie,5t 3 out d3,,STL,1.8,L,1,9,,
56,57,99,2014-07-20,SLN,LAD,6-7,,9,1.0,2,0,0,1,0,0,0,4.25,5,17,11,4,1,2,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,1,0,0,1.1,-0.11699999999999999,1.88,-0.12%,-0.52,6t --- 0 out d2,7t 12- 0 out tie,,STL,3.0,L,3,4,,
57,58,103,2014-07-26,SLN,CHC,GS-6,,5,5.2,3,2,2,0,3,1,0,4.2,20,87,56,16,4,9,8,2,2,0,58.0,,,1,0,0,20,1,0,0,0,0,0,1.03,0.004,1.58,0.00%,0.49,1b start a 2,6b 1-- 2 out tie,,CHC,0.5769230769230769,W,6,3,,
58,59,107,2014-07-31,SLN,SDP,GS-6,W(8-8),4,6.0,3,2,2,0,5,2,0,4.14,21,85,58,15,10,8,8,5,0,0,63.0,,,0,0,0,21,1,0,0,0,0,0,0.69,0.040999999999999995,1.13,0.04%,0.44,1b start tie,6b 3 out a4,,SDP,0.5,W,6,2,,
59,60,112,2014-08-06,SLN,BOS,GS-7,,5,7.0,4,1,1,1,4,0,0,3.99,25,88,62,18,5,8,12,0,3,0,68.0,,,0,0,0,24,2,0,0,1,0,0,1.05,0.287,1.83,0.30%,2.09,1t start tie,7t 3 out tie,,STL,0.7142857142857143,L,1,2,,
60,61,117,2014-08-11,SLN,MIA,GS-5,L(8-9),4,5.0,8,5,5,2,5,2,0,4.17,24,92,58,17,7,8,9,6,0,0,34.0,,,1,0,0,21,2,1,0,1,0,0,0.72,-0.381,1.31,-0.41%,-2.79,1b start tie,5b 3 out d2,,MIA,2.0,L,5,6,,
61,62,122,2014-08-16,SLN,SDP,GS-6,,4,6.0,4,4,4,6,5,0,0,4.25,27,110,62,21,9,8,8,2,1,0,47.0,,,1,1,1,21,0,1,2,0,0,0,1.12,-0.036000000000000004,2.05,-0.04%,-1.35,1t start tie,6t 3 out a1,,STL,1.6666666666666667,L,5,9,,
62,63,128,2014-08-23,SLN,PHI,GS-6,,6,6.0,5,3,3,2,3,1,0,4.26,25,98,63,18,7,6,14,5,2,0,51.0,,,1,0,0,23,1,0,0,0,0,0,1.03,-0.048,2.01,-0.06%,-0.32,1b start tie,6b 3 out a2,,PHI,1.1666666666666667,W,6,5,,
63,64,133,2014-08-29,SLN,CHC,GS-7,,5,7.0,4,2,2,2,3,2,0,4.19,26,93,62,24,6,11,10,3,1,0,62.0,,,0,0,0,24,1,0,0,0,0,0,1.13,0.12300000000000001,2.39,0.16%,1.09,1t start tie,7t 3 out tie,,STL,0.8571428571428571,L,2,7,,
64,65,139,2014-09-03,SLN,PIT,GS-7,,4,7.0,3,0,0,3,5,0,0,4.0,26,102,71,22,7,5,13,7,2,0,73.0,,,0,0,0,23,1,0,1,1,0,0,1.38,0.42100000000000004,3.38,0.62%,3.09,1t start tie,7t 3 out tie,,STL,0.8571428571428571,W,1,0,,
65,66,144,2014-09-08,SLN,CIN,GS-8,W(9-9),4,7.0,3,0,0,0,4,0,0,3.83,23,81,54,16,6,7,12,6,2,0,75.0,,,0,0,0,23,1,0,0,1,0,0,1.0,0.335,1.24,0.25%,2.73,1b start tie,8b 1-- 0 out a2,,CIN,0.42857142857142855,W,5,0,,
66,67,149,2014-09-13,SLN,COL,GS-6,W(10-9),4,6.0,5,1,1,0,5,0,0,3.75,23,83,60,17,5,5,13,5,2,0,63.0,,,0,0,0,23,1,0,0,0,0,0,0.82,0.192,1.38,0.20%,1.65,1t start tie,6t 3 out a3,,STL,0.8333333333333334,W,5,4,,
67,68,153,2014-09-18,SLN,MIL,GS-6,,4,6.0,5,2,1,0,4,0,0,3.68,24,82,62,17,7,12,8,5,2,0,60.0,,,0,0,0,24,1,0,0,0,0,1,0.94,0.004,1.36,0.00%,0.65,1t start tie,6t 3 out d2,,STL,0.8333333333333334,W,3,2,,
68,69,158,2014-09-23,SLN,CHC,GS-5,,4,4.1,5,3,3,2,8,2,0,3.74,20,85,53,17,9,4,6,3,0,0,47.0,,,0,0,0,18,0,0,0,0,0,0,0.57,-0.156,0.51,-0.09%,-1.6,1b start tie,5b 12- 1 out d3,,CHC,1.707317073170732,L,3,4,,
69,70,3,2015-04-08,ATL,MIA,GS-5,,99,5.0,4,0,0,2,4,0,0,0.0,21,97,61,11,7,10,5,5,0,0,61.0,,,1,0,0,19,0,0,1,0,0,0,1.21,0.267,1.42,0.19%,2.23,1b start tie,5b 3 out tie,,MIA,1.2,W,2,0,,
70,71,7,2015-04-13,ATL,MIA,GS-5,W(1-0),4,5.0,3,1,1,2,1,0,0,0.9,20,88,57,10,4,10,7,3,0,0,56.0,,,1,0,0,17,1,0,0,0,0,0,1.12,0.128,1.41,0.10%,1.25,1t start tie,5t 3 out tie,,ATL,1.0,W,3,2,,
71,72,12,2015-04-19,ATL,TOR,GS-6,W(2-0),5,6.0,5,2,2,3,6,0,1,1.69,25,100,62,25,7,7,8,3,1,0,57.0,,,0,0,0,21,1,0,0,2,0,0,0.75,0.127,0.79,0.08%,1.01,1b start a 3,6b 3 out a3,,TOR,1.3333333333333333,W,5,2,,
72,73,17,2015-04-25,ATL,PHI,GS-6,W(3-0),5,6.0,3,2,2,2,3,1,0,2.05,23,71,47,15,3,11,7,4,1,0,59.0,,,1,0,0,21,1,0,0,0,0,0,0.76,-0.011000000000000001,0.79,-0.01%,0.7,1b start tie,6b 3 out d2,,PHI,0.8333333333333334,W,5,2,,
73,74,22,2015-04-30,ATL,CIN,GS-7,L(3-1),4,7.0,6,3,2,3,9,2,0,2.17,30,112,75,17,17,4,14,12,1,0,61.0,,,0,0,0,27,3,0,1,0,0,0,1.31,-0.039,1.19,-0.02%,0.15,1t start tie,7t 3 out d3,,ATL,1.2857142857142858,L,1,5,,
74,75,27,2015-05-05,ATL,PHI,SHO,W(4-1),4,9.0,3,0,0,1,8,0,0,1.66,31,99,75,19,14,11,11,3,2,0,88.0,,,0,0,0,30,1,0,0,1,0,1,0.38,0.225,0.37,0.13%,4.05,1t start tie,9t 3 out a9,,ATL,0.4444444444444444,W,9,0,,
75,76,32,2015-05-11,ATL,CIN,GS-7,,5,7.0,3,1,1,2,8,0,1,1.6,27,100,62,16,14,8,8,3,4,0,73.0,,,1,0,0,23,0,0,0,0,1,0,1.29,0.299,1.03,0.14%,2.25,1b start tie,7b 3 out tie,,CIN,0.7142857142857143,W,2,1,,
