Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
99,3,2000-04-05,DET,OAK,GS-7,L(0-1),99,6.0,7,5,3,1,5,2,0,4.50,26,102,64,21,8,12,8,1,1,0,46,,,0,0,0,24,1,0,0,1,1,1,.67,-0.151,.69,-0.09%,-1.56,1b start tie,7b --- 0 out d4,,OAK,1.3333333333333333,L,2,8
100,7,2000-04-11,DET,SEA,GS-6,W(1-1),5,6.0,10,2,1,1,3,0,0,3.00,29,105,71,30,2,11,14,8,1,0,48,,,0,0,1,28,3,0,0,0,0,2,1.19,0.177,.92,0.08%,1.38,1t start tie,6t 3 out a2,,DET,1.8333333333333333,W,5,2
101,12,2000-04-16,DET,TBD,GS-7,,4,6.1,10,4,4,1,2,1,0,3.93,29,89,59,13,5,14,12,5,1,0,38,,,0,0,0,28,1,0,0,2,0,1,.84,-0.006,.70,0.00%,-0.64,1t start tie,7t 1-- 1 out a2,,DET,1.8032786885245902,L,6,7
102,38,2000-05-19,DET,BOS,GS-7,L(1-2),32,6.0,7,3,1,1,3,2,0,3.33,26,91,61,19,4,7,15,4,3,0,52,,,0,0,0,25,0,0,0,0,0,1,.99,0.029,.29,0.01%,0.29,1b start tie,7b 1-- 0 out d3,,BOS,1.3333333333333333,L,0,3
103,43,2000-05-25,DET,CLE,GS-8,L(1-3),5,7.1,8,3,3,0,3,2,0,3.41,29,99,72,27,6,14,12,6,1,0,53,,,0,0,0,29,2,0,0,1,0,0,.75,0.051,.36,0.02%,0.92,1t start tie,8t 1-- 1 out d3,,DET,1.1267605633802817,L,1,4
104,48,2000-05-30,DET,TEX,GS-6,W(2-3),4,5.2,7,3,3,0,4,0,0,3.62,22,87,60,17,5,8,10,6,0,0,47,,,0,0,0,21,3,0,0,2,1,0,.76,0.073,.20,0.01%,0.12,1t start tie,6t 1-- 2 out a2,,DET,1.346153846153846,W,7,4
105,52,2000-06-04,DET,CHC,GS-6,,4,6.0,6,2,2,0,2,1,0,3.53,23,78,50,18,4,12,9,3,2,0,54,,,0,1,0,23,1,0,0,0,0,0,1.21,0.110,.28,0.02%,1.26,1b start tie,6b 3 out tie,,CHC,1.0,W,3,2
106,57,2000-06-10,DET,STL,GS-7,W(3-3),5,7.0,5,1,1,1,4,1,0,3.22,27,98,65,15,8,8,14,3,0,0,66,,,1,0,0,26,0,0,0,0,0,0,.89,0.325,.15,0.03%,2.94,1t start tie,7t 3 out a3,,DET,0.8571428571428571,W,10,1
107,62,2000-06-16,DET,CLE,GS-6,W(4-3),5,6.0,5,2,2,1,5,2,0,3.20,23,95,55,16,5,6,11,4,3,0,58,,,0,0,0,22,1,0,0,0,0,1,.89,0.176,.14,0.02%,1.38,1t start tie,6t 3 out a2,,DET,1.0,W,5,2
108,66,2000-06-21,DET,TOR,GS-7,L(4-4),4,6.1,9,5,5,2,4,1,0,3.59,29,88,56,18,4,8,15,9,0,0,37,,,1,0,0,27,0,0,0,1,0,0,.80,-0.090,.14,-0.01%,-1.39,1b start tie,7b 123 1 out d4,,TOR,1.8032786885245902,L,0,6
109,72,2000-06-26,DET,CLE,GS-7,W(5-4),4,6.2,7,2,2,3,3,0,0,3.50,29,102,68,17,5,12,11,7,0,0,52,,,1,0,0,26,1,1,0,1,0,1,.72,0.213,.08,0.01%,1.73,1b start a 3,7b 12- 2 out a6,,CLE,1.6129032258064515,W,13,2
110,77,2000-07-01,DET,KCR,GS-6,,4,5.1,7,3,3,2,1,0,0,3.62,24,92,58,13,7,10,11,7,0,0,41,,,0,0,0,22,0,0,0,1,0,0,.77,0.023,.16,0.00%,-0.33,1b start tie,6b 12- 1 out a3,,KCR,1.7647058823529413,W,8,7
111,82,2000-07-07,DET,MIL,GS-6,L(5-5),5,6.0,8,4,4,0,7,1,0,3.79,26,85,57,13,6,11,9,5,0,0,47,,,1,0,0,26,3,0,0,0,0,0,1.03,-0.160,.34,-0.03%,-0.74,1b start a 3,6b 3 out d1,,MIL,1.3333333333333333,L,3,4
112,85,2000-07-13,DET,HOU,CG,W(6-5),5,9.0,11,2,2,2,1,0,0,3.61,37,115,73,16,3,12,22,13,2,0,56,,,1,0,0,34,2,0,0,3,0,0,.66,0.186,.15,0.03%,3.06,1t start tie,9t 3 out a6,,DET,1.4444444444444444,W,8,2
113,90,2000-07-18,DET,CIN,GS-6,L(6-6),4,6.0,12,5,5,0,4,1,0,3.86,28,103,69,18,10,9,15,12,1,0,32,,,0,0,0,28,2,0,0,1,0,0,1.01,-0.252,.36,-0.05%,-1.62,1t start tie,6t 3 out d2,,DET,2.0,L,4,5
114,96,2000-07-23,DET,KCR,GS-6,,4,5.2,8,7,4,3,3,1,0,4.00,29,101,65,27,2,9,14,8,0,0,31,,,0,0,0,25,2,0,0,0,1,2,.89,-0.339,.19,-0.04%,-2.97,1t start tie,6t -2- 2 out d3,,DET,2.1153846153846154,W,12,9
115,101,2000-07-28,DET,TEX,GS-3,L(6-7),4,2.2,11,10,10,2,2,1,0,4.76,21,69,42,11,3,5,12,8,0,0,-4,,,0,0,0,19,3,0,0,0,0,0,1.20,-0.554,.18,-0.05%,-7.55,1b start a 3,3b -2- 2 out d6,,TEX,5.909090909090908,L,5,11
116,106,2000-08-02,DET,ANA,GS-8,W(7-7),4,7.0,6,1,1,1,5,0,0,4.54,27,84,56,19,5,10,11,6,3,0,65,,,0,0,0,26,3,0,0,1,0,0,.82,0.319,.16,0.04%,3.86,1b start a 2,8b 1-- 0 out a5,,ANA,1.0,W,5,3
117,111,2000-08-08,DET,BAL,CG,W(8-7),5,9.0,8,1,1,1,7,0,0,4.28,35,105,78,25,10,10,17,10,1,0,73,,,0,0,0,34,1,0,0,1,0,0,1.15,0.396,.11,0.02%,4.06,1t start tie,9t 3 out a3,,DET,1.0,W,4,1
118,116,2000-08-13,DET,OAK,GS-7,W(9-7),4,7.0,7,3,3,1,4,1,0,4.25,27,96,63,20,4,9,13,6,0,0,54,,,0,0,0,26,1,0,0,0,0,0,.76,0.196,.10,0.02%,1.02,1b start tie,7b 3 out a2,,OAK,1.1428571428571428,W,5,3
119,121,2000-08-19,DET,OAK,GS-8,W(10-7),5,7.0,7,2,2,3,5,0,0,4.16,30,110,65,23,8,12,10,4,1,0,57,,,0,0,0,27,0,0,0,1,0,0,.82,0.218,.36,0.06%,2.54,1t start tie,8t 1-- 0 out a3,,DET,1.4285714285714286,W,4,3
120,126,2000-08-24,DET,SEA,GS-6,W(11-7),4,5.2,6,2,2,2,3,1,0,4.12,24,86,58,10,5,10,9,4,1,0,50,,,0,0,0,22,0,0,0,0,0,0,1.05,0.078,.34,0.02%,0.56,1t start tie,6t 123 2 out a2,,DET,1.5384615384615383,W,10,3
121,132,2000-08-31,DET,BAL,GS-7,,6,6.2,5,1,1,2,8,0,0,4.00,28,100,65,26,8,11,7,4,0,0,66,,,0,0,0,24,2,0,0,0,1,1,1.27,0.208,.27,0.03%,2.33,1b start tie,7b -23 2 out tie,,BAL,1.129032258064516,W,6,1
122,137,2000-09-05,DET,ANA,GS-6,W(12-7),4,6.0,8,4,4,0,3,0,1,4.08,27,96,62,19,6,11,12,6,2,0,43,,,0,0,0,26,3,2,0,0,0,0,.80,0.037,.33,0.01%,-0.62,1t start tie,6t 3 out a3,,DET,1.3333333333333333,W,7,5
123,143,2000-09-11,DET,CHW,GS-6,L(12-8),5,5.0,9,4,4,2,1,0,0,4.18,25,84,53,14,5,11,11,8,0,0,32,,,0,0,0,23,3,0,0,1,0,0,1.26,-0.086,.05,0.00%,-0.36,1b start a 3,6b 1-- 0 out tie,,CHW,2.2,L,3,10
124,147,2000-09-16,DET,BOS,GS-8,,4,7.1,6,3,3,2,2,1,0,4.15,29,96,58,21,1,11,14,6,0,0,54,,,0,0,0,27,2,1,0,0,0,0,1.02,0.133,.00,0.00%,1.51,1t start tie,8t --3 1 out a1,1,DET,1.1267605633802817,L,5,8
125,152,2000-09-20,DET,CHW,GS-3,L(12-9),3,2.1,7,7,7,1,1,1,0,4.47,15,48,29,5,3,6,7,5,0,0,15,,,0,0,0,14,1,1,0,0,0,0,1.19,-0.457,.00,0.00%,-5.04,1t start tie,3t -2- 1 out d4,,DET,3.8095238095238093,L,6,13
126,157,2000-09-26,DET,KCR,GS-7,,5,6.0,8,5,3,3,6,0,0,4.47,27,97,64,22,7,8,10,7,0,0,43,,,0,0,0,24,0,0,0,2,0,0,1.17,-0.042,.00,0.00%,-0.34,1b start a 3,7b 12- 0 out a2,,KCR,1.8333333333333333,L,6,7
127,162,2000-10-01,DET,MIN,GS-5,,4,5.0,7,3,3,2,2,0,1,4.50,25,93,62,16,4,6,14,8,0,0,41,,,1,0,0,21,4,0,0,0,0,1,1.34,-0.088,.00,0.00%,-0.19,1t start tie,5t 3 out d1,,DET,1.8,W,12,11
128,2,2001-04-05,DET,MIN,GS-8,,99,8.0,6,3,3,1,2,0,0,3.38,30,98,65,17,5,11,16,5,1,0,59,,,0,0,0,29,1,1,0,0,0,0,1.08,0.157,1.16,0.10%,1.07,1t start tie,8t 3 out a1,,DET,0.875,L,5,9
