,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,122,2007-08-18,COL,LAD,GS-6,,99,5.1,5,1,1,0,4,1,1,1.69,21,79,52,12,9,12,4,2,0,0,58.0,,,0,0,0,20,0,0,0,1,0,0,0.97,0.13699999999999998,1.31,0.11%,1.25,1b start tie,6b 12- 1 out a2,,LAD,0.9803921568627452,W,7,4
1,2,127,2007-08-23,COL,PIT,GS-5,L(0-1),4,4.0,7,4,4,5,2,0,0,4.82,23,89,49,15,6,10,6,5,0,0,29.0,,,0,0,1,18,3,0,0,0,0,0,0.79,-0.237,0.88,-0.16%,-2.77,1t start tie,5t 12- 0 out d3,,COL,3.0,L,1,5
2,3,132,2007-08-28,COL,SFG,GS-5,L(0-2),4,5.0,6,2,2,3,0,0,0,4.4,22,80,42,13,2,12,7,4,1,0,44.0,,,1,0,0,16,1,0,1,3,1,1,1.09,0.017,1.23,0.01%,0.66,1b start tie,5b 3 out d2,,SFG,1.8,L,1,3
3,4,138,2007-09-04,COL,SFG,GS-3,,6,3.0,5,5,5,0,1,1,0,6.23,14,44,28,6,0,6,7,2,1,0,30.0,,,2,0,0,12,1,0,0,0,1,0,1.03,-0.32,1.52,-0.28%,-3.31,1t start tie,3t 3 out d4,,COL,1.6666666666666667,W,6,5
4,5,144,2007-09-11,COL,PHI,GS-5,W(1-2),6,5.0,3,0,0,1,4,0,0,4.84,19,83,49,12,5,4,10,3,3,0,64.0,,,0,0,0,18,1,0,0,0,0,0,0.96,0.304,1.44,0.27%,2.74,1b start a 1,5b 3 out a2,,PHI,0.8,W,8,2
5,6,149,2007-09-16,COL,FLA,GS-6,W(2-2),4,6.0,3,0,0,0,5,0,0,3.81,20,74,50,19,4,7,8,3,3,0,71.0,,,0,1,0,20,0,0,0,0,0,0,0.38,0.171,0.23,0.06%,3.38,1t start tie,6t 3 out a11,,COL,0.5,W,13,0
6,7,154,2007-09-21,COL,SDP,GS-7,,4,6.0,1,0,0,4,6,0,1,3.15,24,81,47,11,7,7,6,0,1,0,72.0,,,0,0,0,18,0,0,0,0,0,0,1.18,0.27,1.48,0.20%,2.46,1b start tie,7b 1-- 0 out a1,,SDP,0.8333333333333334,W,2,1
7,8,159,2007-09-27,COL,LAD,GS-6,W(3-2),5,5.0,4,3,3,1,4,0,0,3.43,20,64,44,13,7,12,3,1,0,0,50.0,,,1,0,0,19,0,1,0,0,0,0,0.99,-0.06,5.09,-0.18%,-0.35,1b start tie,6b 12- 0 out a2,,LAD,1.0,W,10,4
8,9,6,2008-04-06,COL,ARI,GS-6,,99,6.0,2,0,0,3,2,0,0,0.0,23,96,61,16,2,7,11,3,2,0,67.0,,,0,0,0,19,0,0,0,0,0,0,1.21,0.381,1.14,0.21%,3.34,1t start tie,6t 3 out a1,,COL,0.8333333333333334,L,2,5
9,10,11,2008-04-12,COL,ARI,GS-5,L(0-1),5,4.0,7,7,7,4,1,1,1,6.3,24,84,41,11,3,8,10,4,1,0,17.0,,,2,0,0,18,3,0,1,0,1,0,0.9,-0.3,0.89,-0.18%,-4.82,1b start tie,5b --- 0 out d6,,ARI,2.75,L,3,10
