,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,49,2009-05-30,TEX,OAK,9-GF,,99,1.0,2,0,0,0,1,0,0,0.0,4,13,8,1,2,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,1,0,0,0.0,0.0,0.0,0.00%,0.57,9t --- 0 out a13,9t end a13,,TEX,2.0,W,14,1
1,2,58,2009-06-09,TEX,TOR,6-7,,9,2.0,3,2,2,1,2,0,0,6.0,10,40,24,6,3,3,4,3,0,0,,0.0,0.0,0,0,0,9,2,0,0,0,0,0,0.16,-0.012,0.22,-0.01%,-0.87,6t --- 0 out d5,7t 3 out d7,,TEX,2.0,L,0,9
2,3,61,2009-06-13,TEX,LAD,9-GF,,3,1.0,1,0,0,0,0,0,0,4.5,4,14,7,1,0,2,2,0,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.49,0.022000000000000002,0.67,0.02%,0.57,9t --- 0 out d2,9t end d 2,,TEX,1.0,L,1,3
3,4,98,2009-07-28,TEX,DET,9-GF,,44,1.0,1,0,0,0,2,0,0,3.6,4,12,10,6,1,0,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.47,0.017,0.78,0.02%,0.57,9t --- 0 out a4,9t end a 4,,TEX,1.0,W,7,3
4,5,99,2009-07-29,TEX,DET,3-6,,0,3.1,4,3,2,3,1,1,1,4.32,18,69,39,6,4,3,10,2,1,0,,2.0,1.0,1,0,0,13,2,0,0,0,1,0,0.42,-0.076,0.73,-0.08%,-1.45,3t 12- 1 out d4,6t --- 2 out d5,,TEX,2.2580645161290316,L,5,13
5,6,136,2009-09-06,TEX,BAL,7-7,,38,1.0,2,1,1,1,1,0,0,4.82,6,30,17,6,1,1,3,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.04,-0.003,0.08,0.00%,-0.45,7b --- 0 out d6,7b 3 out d7,,BAL,3.0,L,0,7
6,7,143,2009-09-14,TEX,OAK,9-GF,,7,1.0,1,0,0,0,2,0,0,4.35,4,20,13,3,3,0,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.57,9t --- 0 out d9,9t end d 9,,TEX,1.0,L,0,9
7,8,150,2009-09-22,TEX,OAK,8-GF(8),,7,1.0,1,1,0,0,1,0,0,3.97,5,30,19,3,5,2,2,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.47,8b --- 0 out d7,8b end d 8,,OAK,1.0,L,1,9
8,9,152,2009-09-24,TEX,OAK,8-GF(8),,1,0.1,0,0,0,0,0,0,0,3.86,1,2,2,1,0,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.24,8b 1-- 2 out d9,8b end d 9,,OAK,0.0,L,3,12
9,10,157,2009-09-29,TEX,LAA,4-6,,4,2.1,0,0,0,1,2,0,0,3.21,8,35,24,6,0,1,4,0,0,0,,2.0,0.0,0,0,0,7,0,0,0,0,0,0,0.5,0.092,0.0,0.00%,1.6,4b 1-3 2 out d3,6b 3 out d2,,LAA,0.4761904761904762,L,2,5
