,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,9,2006-04-12,ATL,PHI,8-8,,99,1.0,1,0,0,0,1,0,0,0.0,4,16,9,4,2,1,2,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.18,0.009000000000000001,0.2,0.01%,0.54,8t --- 0 out d4,8t 3 out d4,,ATL,1.0,L,5,7,,
1,2,28,2006-05-04,ATL,PHI,8-GF(8),,21,0.1,2,0,0,0,0,0,0,0.0,3,8,5,2,0,2,1,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,0.37,-0.037000000000000005,0.35,-0.02%,-0.75,8b 1-- 2 out d2,8b end d 3,,PHI,20.0,L,3,6,,
2,3,29,2006-05-05,ATL,NYM,9-10,,0,1.2,0,0,0,1,3,0,0,0.0,6,24,13,4,5,2,0,0,0,0,,1,0,0,0,0,5,0,0,1,0,0,0,2.83,0.345,2.92,0.21%,1.23,9b -2- 1 out tie,10b 3 out tie,,NYM,0.8333333333333334,L,7,8,,
3,4,30,2006-05-06,ATL,NYM,7-7,,0,0.1,0,0,0,2,1,0,0,0.0,3,16,6,2,3,0,0,0,0,0,,2,1,2,0,0,1,0,0,0,0,0,0,0.94,-0.046,0.86,-0.03%,-0.55,7b 12- 2 out d2,7b 3 out d3,,NYM,20.0,L,5,6,,
4,5,32,2006-05-09,ATL,FLA,9-GF,,2,1.0,0,0,0,1,1,0,0,0.0,3,12,6,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.02,0.001,0.01,0.00%,0.51,9b --- 0 out a8,9b end a 8,,FLA,1.0,W,10,2,,
5,6,33,2006-05-10,ATL,FLA,7-7,,0,1.0,5,3,3,0,1,0,0,5.06,8,23,18,1,4,5,2,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.18,-0.05,0.14,-0.02%,-2.49,7b --- 0 out d3,7b 3 out d6,,FLA,5.0,L,3,11,,
6,7,37,2006-05-14,ATL,WSN,6-6,,3,0.1,3,3,3,1,1,0,0,9.53,5,18,12,2,3,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.19,-0.037000000000000005,0.17,-0.02%,-2.41,6t --- 0 out d5,6t 12- 1 out d7,,ATL,40.0,L,1,8,,
7,8,93,2006-07-17,ATL,STL,9-GF,,63,1.0,1,0,0,0,0,0,0,8.1,5,8,8,2,0,4,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,0.00%,0.54,9b --- 0 out a12,9b end a12,,STL,1.0,W,15,3,,
8,9,94,2006-07-18,ATL,STL,9-GF,,0,1.0,2,0,0,0,0,0,0,7.04,5,22,14,2,0,1,4,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.54,9b --- 0 out a9,9b end a 9,,STL,2.0,W,14,5,,
9,10,135,2006-09-03,ATL,PHI,8-8,,46,0.1,0,0,0,0,1,0,0,6.75,1,5,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.15,0.004,0.08,0.00%,0.26,8b 1-- 2 out d3,8b 3 out d3,1.0,PHI,0.0,L,7,8,,
10,11,143,2006-09-11,ATL,CHC,8-8,,7,1.0,0,0,0,0,1,0,0,6.0,3,7,5,0,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,0.002,0.02,0.00%,0.54,8t --- 0 out d6,8t 3 out d6,,ATL,0.0,L,3,8,,
11,12,151,2006-09-19,ATL,WSN,8-GF(8),,7,1.0,0,0,0,0,0,0,0,5.4,3,15,10,4,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.51,8b --- 0 out d7,8b end d 7,,WSN,0.0,L,2,9,,
12,13,155,2006-09-23,ATL,COL,6-7,,3,2.0,0,0,0,0,2,0,0,4.5,6,22,13,5,1,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.11,0.017,0.0,0.00%,1.18,6b --- 0 out d5,7b 3 out d4,,COL,0.0,L,9,10,,
