,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,133,2000-08-31,KCA,TBD,8-GF(8),,99,0.1,0,0,0,0,0,0,0,0.0,1,5,4,0,1,0,1,0,1,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.89,0.026000000000000002,0.01,0.00%,0.36,8b -2- 2 out d1,8b end d 1,,TBD,0.0,L,1,2
1,2,134,2000-09-01,KCA,TBD,7-8,H(1),0,1.1,0,0,0,1,1,0,0,0.0,5,23,15,3,2,1,2,0,1,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,1.36,0.175,0.01,0.00%,1.24,7b -23 2 out a2,8b 3 out a3,,TBD,0.9090909090909092,W,9,5
2,3,137,2000-09-04,KCA,NYY,7-9,,2,1.2,0,0,0,0,2,0,0,0.0,5,17,13,5,1,3,0,0,0,0,,1.0,0.0,0,0,0,5,0,0,0,0,0,0,0.65,0.092,0.01,0.00%,1.27,7t -2- 2 out d2,9t --- 1 out d1,,KCR,0.0,L,3,4
3,4,140,2000-09-07,KCA,NYY,9-GF,,2,1.0,1,1,1,0,1,1,0,2.08,4,17,11,2,1,1,2,0,1,0,,1.0,1.0,0,0,0,4,0,0,0,0,0,0,0.07,-0.009000000000000001,0.0,0.00%,-0.75,9t -2- 0 out d4,9t end d 6,,KCR,1.0,L,3,7
4,5,142,2000-09-09,KCA,TEX,9-GF,,1,1.0,1,0,0,1,1,0,0,1.69,5,23,11,5,1,1,2,1,0,0,,0.0,0.0,1,0,0,4,0,0,0,0,0,0,0.5,0.026000000000000002,0.0,0.00%,0.62,9t --- 0 out d2,9t end d 2,,KCR,2.0,L,5,6
5,6,143,2000-09-10,KCA,TEX,7-8,,0,1.0,1,0,0,0,0,0,0,1.42,4,14,10,2,0,0,4,1,2,0,,2.0,0.0,0,0,0,4,1,0,0,0,0,0,0.2,0.022000000000000002,0.0,0.00%,0.82,7t 1-3 2 out a5,8t -2- 2 out a8,,KCR,1.0,W,13,8
6,7,147,2000-09-14,KCA,TEX,7-7,,3,0.2,1,0,0,0,0,0,0,1.29,3,8,4,0,1,1,2,1,0,0,,2.0,1.0,0,0,0,3,0,0,0,0,0,0,0.81,-0.023,0.0,0.00%,0.01,7b 12- 1 out d2,7b 3 out d3,,TEX,5.0,L,1,8
7,8,148,2000-09-15,KCA,TEX,8-8,H(2),0,1.0,2,0,0,0,1,0,0,1.13,5,21,12,3,2,3,1,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,3.36,0.157,0.0,0.00%,0.6,8b --- 0 out a1,8b 3 out a1,,TEX,2.0,L,11,12
8,9,151,2000-09-19,KCA,ANA,9-GF,,3,1.0,0,0,0,0,1,0,0,1.0,3,8,7,2,2,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.24,0.02,0.0,0.00%,0.62,9t --- 0 out a4,9t end a 4,,KCR,0.0,W,5,1
9,10,157,2000-09-26,KCA,DET,9-9,,6,0.1,0,0,0,0,0,0,0,0.96,1,3,2,1,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2.44,0.067,0.0,0.00%,0.28,9t --- 0 out tie,9t --- 1 out tie,,KCR,0.0,W,7,6
10,11,161,2000-09-30,KCA,CHW,8-GF(8),,3,1.0,4,4,4,1,0,1,0,4.35,8,27,16,2,1,3,4,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.05,-0.013999999999999999,0.0,0.00%,-3.39,8b --- 0 out d4,8b end d 8,,CHW,5.0,L,1,9
11,12,119,2001-08-14,KCA,BAL,6-6,,99,0.1,0,0,0,0,0,0,0,0.0,1,4,3,1,0,0,1,0,1,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.59,0.015,0.0,0.00%,0.45,6b 12- 2 out d3,6b 3 out d3,,BAL,0.0,L,2,5
12,13,120,2001-08-15,KCA,BAL,7-7,,0,0.1,0,0,0,0,1,0,0,0.0,1,3,3,0,2,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.75,0.021,0.0,0.00%,0.24,7b 1-- 2 out d1,7b 3 out d1,,BAL,0.0,L,4,5
13,14,121,2001-08-16,KCA,BAL,8-8,,0,0.2,0,0,0,0,0,0,0,0.0,2,4,2,0,0,1,1,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,0.17,0.009000000000000001,0.0,0.00%,1.21,8b 1-3 1 out a7,8b 3 out a7,,BAL,0.0,W,9,2
14,15,122,2001-08-17,KCA,DET,8-8,,0,0.1,1,0,0,0,0,0,0,0.0,2,3,3,1,0,0,2,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.0,0.00%,-0.02,8b --- 0 out d2,8b 1-- 1 out d2,,DET,10.0,L,2,4
15,16,125,2001-08-20,KCA,CHW,8-8,,2,1.0,0,0,0,1,2,0,0,0.0,4,22,11,4,3,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.58,8t --- 0 out a9,8t 3 out a9,,KCR,1.0,W,10,1
16,17,127,2001-08-22,KCA,CHW,6-7,,1,1.2,3,1,0,1,0,0,0,0.0,10,29,21,5,2,6,3,2,0,0,,2.0,2.0,0,0,0,9,1,0,0,0,0,1,0.5,-0.10800000000000001,0.0,0.00%,-1.16,6t 1-3 1 out d2,7t 3 out d5,,KCR,3.333333333333333,L,12,13
17,18,129,2001-08-24,KCA,MIN,7-8,,1,1.0,1,1,1,1,0,0,0,1.69,4,12,5,0,2,1,2,1,1,0,,1.0,0.0,1,0,0,3,1,0,0,1,0,0,0.19,-0.01,0.0,0.00%,-0.28,7t 1-- 2 out d4,8t --- 2 out d5,,KCR,2.0,L,3,9
18,19,132,2001-08-28,KCA,ANA,7-7,,3,0.0,1,0,0,0,0,0,0,1.69,1,3,2,0,0,0,1,1,0,0,,1.0,1.0,0,0,0,1,1,0,0,0,0,0,1.19,-0.127,0.0,0.00%,-1.1,7t 1-- 2 out a2,7t -2- 2 out a1,,KCR,inf,W,10,4
19,20,137,2001-09-02,KCA,TEX,7-7,,4,0.1,0,0,0,1,0,0,0,1.59,2,11,6,2,1,0,1,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.32,0.006,0.0,0.00%,0.12,7t --- 2 out d3,7t 3 out d3,,KCR,10.0,L,6,12
20,21,140,2001-09-06,KCA,ANA,7-7,,3,0.2,0,0,0,0,0,0,0,1.42,2,8,4,0,0,0,2,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.06,0.003,0.0,0.00%,0.44,7b --- 0 out d5,7b --- 2 out d5,,ANA,0.0,L,6,7
21,22,143,2001-09-09,KCA,TEX,9-9,,2,0.1,1,0,0,0,0,0,0,1.35,2,3,2,0,0,1,1,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,2.12,0.006,0.0,0.00%,-0.01,9b --- 0 out tie,9b 1-- 1 out tie,,TEX,10.0,L,3,4
22,23,144,2001-09-18,KCA,CLE,5-5,,8,0.0,1,1,1,0,0,0,0,2.7,1,3,3,0,0,0,1,1,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.32,-0.009000000000000001,0.0,0.00%,-0.4,5b 1-- 1 out d4,5b 12- 1 out d4,,CLE,inf,L,2,11
23,24,148,2001-09-22,KCA,CHW,7-7,,3,0.0,0,0,0,1,0,0,0,2.7,1,5,1,0,0,0,0,0,0,0,,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1.52,-0.023,0.0,0.00%,-0.35,7b 12- 2 out d1,7b 123 2 out d1,,CHW,inf,L,4,5
