Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,17,2007-04-21,KCR,MIN,6-6,H(1),99,0.1,2,1,0,0,0,0,0,0.00,3,7,6,0,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.48,-0.102,1.15,-0.05%,-0.68,6t --- 0 out a1,6t 1-3 1 out a1,,KCR,20.0,L,5,7
2,19,2007-04-23,KCR,CHW,8-8,,1,0.0,0,0,0,1,0,0,0,0.00,1,6,2,2,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,.78,-0.004,.57,0.00%,-0.12,8t -2- 2 out d2,8t 12- 2 out d2,,KCR,inf,L,4,7
3,30,2007-05-04,KCR,DET,5-7,,10,2.1,0,0,0,2,3,0,0,0.00,9,35,22,7,3,1,3,0,1,0,,3,1,0,0,0,7,0,0,0,0,0,0,.19,-0.004,.09,0.00%,0.91,5t 123 2 out d5,7t 3 out d6,,KCR,0.9523809523809523,L,3,6
4,32,2007-05-06,KCR,DET,7-7,,1,1.0,4,4,4,0,0,1,0,9.82,7,26,18,2,3,2,5,3,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,.01,-0.002,.00,0.00%,-3.45,7t --- 0 out d9,7t 3 out d13,,KCR,4.0,L,4,13
5,33,2007-05-08,KCR,OAK,7-8,,1,2.0,2,0,0,2,1,0,0,6.35,10,47,27,8,3,3,4,2,1,0,,0,0,0,0,0,8,2,0,1,0,0,0,.17,0.013,.05,0.00%,1.10,7t --- 0 out d5,8t 3 out d5,,KCR,2.0,L,1,6
6,35,2007-05-10,KCR,OAK,7-7,,1,1.0,4,4,4,0,0,3,0,10.80,7,20,14,3,2,1,6,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.00,-0.002,.00,0.00%,-3.45,7t --- 0 out d9,7t 3 out d13,,KCR,4.0,L,3,17
7,67,2007-06-14,KCR,STL,9-GF,,34,1.0,0,0,0,0,0,0,0,9.39,3,10,5,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.55,9t --- 0 out a9,9t end a 9,,KCR,0.0,W,17,8
8,69,2007-06-16,KCR,FLA,7-9,,1,2.1,3,0,0,1,1,0,0,7.20,10,39,22,4,2,5,3,0,1,0,,0,0,1,0,0,9,0,0,0,1,0,0,.21,0.022,.02,0.00%,1.08,7t --- 0 out d6,9t 1-- 1 out d2,,KCR,1.9047619047619047,L,8,9
9,72,2007-06-19,KCR,STL,3-6,,2,3.1,3,0,0,0,2,0,0,5.40,11,44,29,5,2,6,3,3,0,0,,2,1,0,0,0,11,0,0,0,2,0,0,.22,-0.005,.02,0.00%,1.01,3b 12- 2 out d4,6b 3 out d5,,STL,0.9677419354838709,L,1,5
10,74,2007-06-22,KCR,MIL,6-7,,2,2.0,2,3,3,2,2,1,0,6.46,10,48,31,7,7,1,5,2,1,0,,1,0,2,0,0,8,0,0,0,0,0,0,.65,-0.045,.03,0.00%,-1.56,6b 1-- 0 out d2,7b 3 out d5,,MIL,2.0,L,6,11
11,84,2007-07-03,KCR,SEA,8-GF,,10,2.0,2,0,0,1,0,0,0,5.71,9,21,14,2,0,2,6,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.00,0.000,.00,0.00%,1.10,8t --- 0 out a14,9t end a14,,KCR,1.5,W,17,3
12,86,2007-07-06,KCR,TBD,8-8,,2,1.0,1,0,0,0,2,0,0,5.40,4,21,12,3,4,0,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.005,.00,0.00%,0.55,8t --- 0 out d5,8t 3 out d5,,KCR,1.0,L,5,6
13,92,2007-07-16,KCR,BOS,7-GF(8),,9,2.0,2,0,0,0,2,0,0,4.87,8,29,18,4,4,1,5,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.12,0.013,.00,0.00%,1.17,7b --- 0 out d4,8b end d 4,,BOS,1.0,L,0,4
14,135,2007-09-01,KCR,MIN,5-6,,46,1.2,1,0,0,1,3,0,0,4.50,7,28,18,4,3,1,2,0,1,0,,2,2,0,0,0,6,1,0,0,0,0,0,.61,-0.072,.00,0.00%,-0.27,5b 1-3 1 out d1,6b 3 out d3,,MIN,1.6666666666666667,L,4,6
15,138,2007-09-04,KCR,TEX,5-6,,2,1.2,2,0,0,1,1,0,0,4.18,7,30,18,4,3,1,4,2,0,0,,1,0,0,1,0,6,1,0,0,0,0,0,1.34,0.156,.00,0.00%,1.26,5b 1-- 0 out tie,6b 1-- 2 out tie,,TEX,2.5,L,8,9
16,140,2007-09-07,KCR,NYY,7-7,L(0-1),2,0.2,2,1,1,2,1,0,0,4.44,6,23,9,4,1,2,1,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,1.39,-0.204,.00,0.00%,-1.26,7t --- 0 out tie,7t 123 2 out d1,,KCR,20.0,L,2,3
17,143,2007-09-10,KCR,MIN,6-6,,2,0.1,2,0,0,1,1,0,0,4.38,4,21,9,2,1,1,1,1,0,0,,1,1,0,0,0,3,1,0,1,0,0,0,1.78,-0.171,.00,0.00%,-1.24,6t 1-- 1 out tie,6t 123 2 out d1,,KCR,30.0,L,2,4
18,54,2008-05-29,KCR,MIN,9-GF,,99,1.0,0,0,0,1,0,0,0,0.00,3,13,6,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.05,0.002,.03,0.00%,0.52,9t --- 0 out d5,9t end d 5,,KCR,1.0,L,1,5
