,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,35,2016-05-11,OAK,BOS,6-GF(8),,99,3.0,4,3,3,0,2,1,0,9.0,13,52,36,4,5,4,7,4,1,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,0.02,-0.003,0.01,0.00%,-1.39,6b --- 0 out d7,8b end d10,,BOS,1.3333333333333333,L,3,13,,
1,2,48,2016-05-25,OAK,SEA,GS-4,L(0-1),13,4.0,8,7,7,0,1,2,0,12.86,19,60,40,9,3,11,7,4,0,0,19.0,,,1,0,0,19,1,0,0,0,0,0,0.77,-0.41,0.49,-0.16%,-5.05,1b start tie,4b 3 out d6,,SEA,2.0,L,3,13,,
2,3,50,2016-05-28,OAK,DET,9-GF,,2,1.0,0,0,0,0,0,0,0,11.25,3,7,5,1,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,9t --- 0 out a9,9t end a 9,,OAK,0.0,W,12,3,,
3,4,63,2016-06-13,OAK,TEX,7-GF,S(1),15,3.0,2,1,1,0,0,1,0,9.0,11,33,24,4,2,7,4,0,1,0,,0.0,0.0,0,0,0,11,0,0,0,1,0,1,0.01,0.001,0.0,0.00%,0.46,7t --- 0 out a10,9t end a 9,,OAK,0.6666666666666666,W,14,5,,
4,5,64,2016-06-14,OAK,TEX,9-GF,,0,1.0,4,2,2,0,1,0,0,9.75,7,21,15,3,1,3,3,2,0,0,,0.0,0.0,0,0,0,7,2,0,0,0,0,0,0.04,-0.011000000000000001,0.02,0.00%,-1.51,9t --- 0 out d4,9t end d 6,,OAK,4.0,L,6,10,,
5,6,68,2016-06-18,OAK,LAA,7-8,,3,2.0,2,0,0,0,1,0,0,8.36,7,13,12,2,3,4,2,1,0,0,,0.0,0.0,0,0,0,7,1,0,0,1,0,0,0.07,0.005,0.01,0.00%,0.98,7t --- 0 out d6,8t 3 out d6,,OAK,1.0,L,1,7,,
6,7,76,2016-06-27,OAK,SFG,9-9,,8,0.2,3,1,1,0,0,0,0,8.59,4,10,8,4,0,1,3,3,0,0,,0.0,0.0,0,0,0,4,0,0,0,1,0,0,0.23,0.001,0.03,0.00%,-0.75,9b --- 0 out a6,9b 1-- 2 out a5,,SFG,15.0,W,8,3,,
7,8,77,2016-06-28,OAK,SFG,7-7,W(1-1),0,1.0,2,0,0,0,0,0,0,8.04,4,12,10,0,1,2,2,1,1,0,,0.0,0.0,0,0,0,4,0,0,0,1,0,0,0.3,0.011000000000000001,0.05,0.00%,0.48,7b --- 0 out d3,7b 3 out d3,,SFG,2.0,W,13,11,,
8,9,96,2016-07-21,OAK,TBR,7-GF,,22,3.0,1,0,0,0,2,0,0,6.75,10,39,26,7,7,4,4,1,0,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.1,0.022000000000000002,0.01,0.00%,1.46,7t --- 0 out d4,9t end d 4,,OAK,0.3333333333333333,L,3,7,,
9,10,104,2016-07-30,OAK,CLE,6-GF(8),,8,3.0,1,0,0,1,1,0,0,5.82,11,37,23,3,4,6,3,1,1,0,,0.0,0.0,0,0,0,10,1,0,0,0,0,0,0.13,0.023,0.01,0.00%,1.66,6b --- 0 out d4,8b end d 4,,CLE,0.6666666666666666,L,3,6,,
10,11,108,2016-08-04,OAK,LAA,5-7,,4,2.1,2,0,0,0,2,0,0,5.25,8,27,18,1,5,2,4,1,0,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,1.23,0.187,0.04,0.00%,1.19,5b --- 0 out tie,7b --- 1 out a1,,LAA,0.9523809523809524,W,8,6,,
11,12,113,2016-08-09,OAK,BAL,GS-6,W(2-1),4,5.1,2,1,1,0,1,1,0,4.6,18,72,50,9,10,11,6,5,1,0,61.0,,,0,0,0,18,1,0,0,0,0,0,0.88,0.098,0.01,0.00%,0.99,1t start tie,6t --3 1 out a1,,OAK,0.3921568627450981,W,2,1,,
12,13,118,2016-08-14,OAK,SEA,GS-6,L(2-2),4,5.1,8,5,5,1,1,1,1,5.19,26,74,45,10,7,9,14,9,2,0,32.0,,,1,0,0,24,2,0,0,0,0,0,0.8,-0.228,0.01,0.00%,-1.59,1t start tie,6t 1-- 1 out d3,,OAK,1.7647058823529411,L,4,8,,
