Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
429,2,2000-04-04,SFG,FLA,9-GF,S(1),99,1.0,0,0,0,0,1,0,0,0.00,3,12,11,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.56,0.044,.51,0.02%,0.53,9b --- 0 out a3,9b end a 3,,FLA,0.0,W,3,0
430,3,2000-04-05,SFG,FLA,9-GF,S(2),0,1.0,0,0,0,0,1,0,0,0.00,3,12,8,5,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.097,1.18,0.06%,0.53,9b --- 0 out a2,9b end a 2,,FLA,0.0,W,11,9
431,10,2000-04-13,SFG,LAD,9-GF,,7,1.0,0,0,0,0,0,0,0,0.00,3,11,6,0,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.52,9t --- 0 out d6,9t end d 6,,SFG,0.0,L,7,11
432,13,2000-04-18,SFG,CIN,9-GF,,4,1.0,0,0,0,0,2,0,0,0.00,3,10,10,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.023,.17,0.01%,0.57,9b --- 0 out a4,9b end a 4,,CIN,0.0,W,13,9
433,17,2000-04-22,SFG,ARI,9-GF,S(3),3,1.0,1,0,0,1,3,0,0,0.00,5,16,12,2,7,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.35,0.109,1.72,0.05%,0.58,9b --- 0 out a2,9b end a 2,,ARI,2.0,W,8,6
434,19,2000-04-25,SFG,FLA,9-9,BS(1),2,1.0,1,2,1,2,0,0,0,1.50,7,29,14,7,0,2,3,0,0,0,,0,0,1,0,0,3,0,0,0,0,2,1,5.46,-0.403,4.15,-0.18%,-1.47,9b --- 0 out a2,9b 3 out tie,,FLA,3.0,W,6,4
435,20,2000-04-26,SFG,FLA,9-9,BS(2),0,1.0,1,1,1,1,0,1,0,2.57,5,19,10,1,2,1,3,0,0,0,,2,2,1,0,0,4,0,0,0,0,0,0,3.05,-0.287,2.49,-0.14%,-1.13,9b 1-3 0 out a3,9b 3 out tie,,FLA,2.0,W,8,7
436,22,2000-04-29,SFG,MON,9-GF,S(4),2,1.0,0,0,0,0,1,0,0,2.25,3,13,9,2,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.17,0.167,1.81,0.08%,0.52,9t --- 0 out a1,9t end a 1,,SFG,0.0,W,2,1
437,26,2000-05-03,SFG,NYM,10-10,,3,1.0,2,0,0,0,1,0,0,2.00,5,16,10,1,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.82,0.142,3.54,0.08%,0.52,10t --- 0 out tie,10t 3 out tie,,SFG,2.0,W,8,5
438,27,2000-05-04,SFG,NYM,9-GF,,0,1.0,0,0,0,0,0,0,0,1.80,3,7,6,2,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.09,0.00%,0.52,9t --- 0 out a5,9t end a 5,,SFG,0.0,W,7,2
439,30,2000-05-08,SFG,STL,9-GF,S(5),3,1.0,0,0,0,0,0,0,1,1.64,3,8,4,1,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.55,0.077,1.72,0.05%,0.52,9t --- 0 out a2,9t end a 2,,SFG,0.0,W,6,4
440,32,2000-05-10,SFG,STL,9-GF,S(6),1,1.0,1,0,0,0,2,0,0,1.50,4,18,12,3,3,2,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.66,0.167,2.94,0.11%,0.52,9t --- 0 out a1,9t end a 1,,SFG,1.0,W,4,3
