Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,113,2014-08-05,PHI,HOU,15-GF(15),W(1-0),99,1.0,0,0,0,0,1,0,0,0.00,3,9,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.127,.09,0.00%,0.45,15t --- 0 out tie,15t end tie,,PHI,0.0,W,2,1,,
2,16,2015-04-23,PHI,MIA,4-5,,99,1.2,2,0,0,0,2,0,1,0.00,8,34,22,2,7,3,2,1,0,0,,2,2,0,0,0,7,0,0,0,0,0,0,.89,-0.049,.58,-0.02%,-0.21,4t -23 1 out d2,5t 3 out d4,,PHI,1.6666666666666667,L,1,9,,
3,18,2015-04-25,PHI,ATL,9-GF,,1,1.0,1,0,0,1,0,0,0,0.00,4,12,6,3,0,0,3,2,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.13,0.006,.10,0.00%,0.45,9t --- 0 out d3,9t end d 3,,PHI,2.0,L,2,5,,
4,87,2015-07-08,PHI,LAD,5-6,,73,2.0,2,0,0,0,4,0,0,0.00,8,35,23,7,7,1,3,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.10,0.010,.00,0.00%,0.88,5b --- 0 out d5,6b 3 out d5,,LAD,1.0,L,0,5,,
5,88,2015-07-09,PHI,LAD,8-GF(8),,0,1.0,1,1,1,1,1,1,0,1.59,5,15,8,1,2,1,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.02,-0.006,.00,0.00%,-1.19,8b 1-- 0 out d4,8b end d 6,,LAD,2.0,L,0,6,,
6,89,2015-07-10,PHI,SFG,8-GF(8),,0,1.0,3,2,2,1,1,0,0,4.05,7,28,16,3,3,1,4,1,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,.00,0.000,.00,0.00%,-1.54,8b --- 0 out d11,8b end d13,,SFG,4.0,L,2,15,,
7,94,2015-07-19,PHI,MIA,9-GF,W(1-0),8,1.0,0,0,0,0,0,0,0,3.52,3,11,8,2,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.032,.00,0.00%,0.45,9t --- 0 out d1,9t end d 1,,PHI,0.0,W,8,7,,
8,100,2015-07-26,PHI,CHC,9-GF,,6,1.0,1,1,1,0,1,1,0,4.15,4,20,14,3,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.001,.00,0.00%,-0.55,9b --- 0 out a7,9b end a 6,,CHC,1.0,W,11,5,,
9,102,2015-07-29,PHI,TOR,8-GF(8),,2,1.0,0,0,0,0,1,0,0,3.72,3,17,10,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.50,8b --- 0 out d6,8b end d 6,,TOR,0.0,L,2,8,,
10,105,2015-08-01,PHI,ATL,7-8,,2,2.0,1,0,0,0,3,0,0,3.09,7,23,17,4,6,4,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.00,0.001,.00,0.00%,0.90,7t --- 0 out a10,8t 3 out a10,,PHI,0.5,W,12,2,,
11,108,2015-08-05,PHI,LAD,6-7,,3,2.0,3,0,0,3,3,0,0,2.63,11,51,29,5,9,3,2,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.55,0.037,.00,0.00%,0.90,6t --- 0 out d3,7t 3 out d3,,PHI,3.0,L,3,4,,
12,110,2015-08-07,PHI,SDP,11-11,W(2-0),1,1.0,1,0,0,0,2,0,0,2.45,4,17,12,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.84,0.125,.00,0.00%,0.44,11b --- 0 out tie,11b 3 out tie,,SDP,1.0,W,4,3,,
13,112,2015-08-09,PHI,SDP,8-8,,1,1.0,2,1,1,0,1,0,0,2.87,5,27,15,4,1,1,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.05,0.006,.01,0.00%,-0.56,8b --- 0 out a4,8b 3 out a3,,SDP,2.0,W,5,3,,
14,114,2015-08-11,PHI,ARI,2-4,,1,2.1,0,0,0,0,1,0,1,2.50,8,29,19,2,2,2,4,2,0,0,,1,0,0,0,0,7,0,0,0,1,0,0,.01,0.001,.00,0.00%,1.20,2b 1-- 2 out d10,4b 3 out d10,,ARI,0.0,L,1,13,,
15,116,2015-08-14,PHI,MIL,8-GF(8),,2,1.0,1,0,0,0,0,0,0,2.37,4,16,8,2,2,2,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.21,0.006,.00,0.00%,0.46,8b --- 0 out d3,8b end d 3,,MIL,1.0,L,1,3,,
16,118,2015-08-16,PHI,MIL,7-8,,1,1.1,0,0,0,0,2,0,0,2.21,4,22,15,0,6,0,2,2,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.04,0.004,.00,0.00%,1.90,7b 123 1 out d6,8b --- 2 out d6,,MIL,0.0,L,1,6,,
17,119,2015-08-18,PHI,TOR,8-8,,1,1.0,0,0,0,0,0,0,0,2.11,4,15,10,1,2,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,1,.27,0.012,.00,0.00%,0.45,8t --- 0 out d3,8t 3 out d3,,PHI,0.0,L,5,8,,
18,122,2015-08-21,PHI,MIA,9-GF,,2,1.0,0,0,0,0,1,0,0,2.01,3,10,6,2,1,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.45,9b --- 0 out a6,9b end a 6,,MIA,0.0,W,7,1,,
