,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,107,2000-08-03,CHN,SDP,GS-5,,99,5.0,5,4,3,4,4,1,0,5.4,24,91,52,13,9,8,8,4,0,0,43.0,,,1,0,0,20,1,0,0,0,0,0,1.04,-0.083,0.38,-0.02%,-1.42,1b start tie,5b 3 out tie,,SDP,1.8,L,5,6
1,2,112,2000-08-08,CHN,LAD,GS-4,L(0-1),4,3.2,9,6,6,3,2,4,0,9.35,23,81,45,12,3,6,12,2,0,0,18.0,,,0,0,0,20,0,0,0,0,0,0,1.07,-0.47600000000000003,0.36,-0.10%,-4.0,1b start tie,4b --- 2 out d3,,LAD,3.75,L,5,7
2,3,43,2003-05-18,CHN,STL,7-7,,99,0.1,0,0,0,0,0,0,0,0.0,1,3,3,1,1,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,2.13,0.05,3.23,0.05%,0.32,7b -2- 1 out tie,7b --3 2 out tie,,STL,0.0,L,3,6
3,4,45,2003-05-21,CHN,PIT,8-GF(8),,2,1.0,0,0,0,1,0,0,0,0.0,4,13,7,1,2,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.1,0.006999999999999999,0.13,0.01%,0.53,8b --- 0 out d3,8b end d 3,,PIT,1.0,L,2,5
4,5,50,2003-05-26,CHN,PIT,8-8,,4,0.0,1,2,2,1,0,0,0,13.5,2,9,3,2,0,0,1,1,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1.18,-0.124,1.65,-0.10%,-1.35,8t --- 0 out d1,8t 1-3 0 out d1,,CHC,inf,L,0,10
5,6,51,2003-05-27,CHN,PIT,8-GF,,0,2.0,1,0,0,1,0,0,0,5.4,7,26,16,5,1,3,3,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,0,0.02,0.003,0.03,0.00%,1.05,8t --- 0 out d7,9t end d 5,,CHC,1.0,L,4,9
6,7,131,2003-08-26,CIN,MIL,7-7,,90,0.0,2,3,3,1,0,0,0,13.5,3,9,4,2,0,0,2,2,0,0,,0.0,0.0,1,0,0,2,0,0,0,0,0,0,0.49,-0.064,0.0,0.00%,-1.99,7t --- 0 out d3,7t 12- 0 out d4,,CIN,inf,L,1,7
7,8,132,2003-08-27,CIN,MIL,6-6,,0,0.1,0,0,0,0,0,0,0,12.27,1,5,3,0,0,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.44,0.012,0.0,0.00%,0.36,6t --3 2 out d4,6t 3 out d4,,CIN,0.0,L,2,6
8,9,135,2003-08-30,CIN,STL,7-7,,2,1.0,0,0,0,0,0,0,0,9.64,3,10,6,3,0,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.44,0.034,0.0,0.00%,0.49,7t --- 0 out d2,7t 3 out d2,,CIN,0.0,L,3,6
9,10,139,2003-09-03,CIN,MIL,7-GF(8),,3,1.1,0,0,0,0,2,0,0,7.5,4,17,11,1,5,0,2,0,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,0.17,0.017,0.0,0.00%,0.95,7b 12- 2 out d3,8b end d 3,,MIL,0.0,L,6,9
10,11,140,2003-09-05,CIN,STL,8-8,,1,1.0,0,0,0,0,0,0,0,6.43,3,6,4,1,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.41,0.031,0.0,0.00%,0.5,8b --- 0 out d1,8b 3 out d1,,STL,0.0,W,4,2
11,12,142,2003-09-07,CIN,STL,5-5,,1,0.1,0,0,0,0,0,0,0,6.14,1,5,3,1,0,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.22,0.006,0.0,0.00%,0.36,5b --3 2 out d5,5b 3 out d5,,STL,0.0,L,0,9
12,13,144,2003-09-09,CIN,PIT,8-8,,1,1.0,1,0,0,0,0,0,0,5.4,4,20,13,6,0,3,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.29,0.023,0.0,0.00%,0.49,8t --- 0 out a4,8t 3 out a4,,CIN,1.0,W,10,6
13,14,145,2003-09-10,CIN,PIT,8-8,H(1),0,0.1,0,0,0,0,0,0,0,5.19,1,6,4,1,1,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,2.05,0.057999999999999996,0.0,0.00%,0.23,8t 1-- 2 out a1,8t 3 out a1,,CIN,0.0,L,2,3
14,15,146,2003-09-11,CIN,PIT,7-8,H(2),0,1.1,1,0,0,1,0,0,0,4.5,4,15,7,1,2,1,2,1,1,0,,1.0,0.0,1,1,0,3,0,0,0,1,0,0,2.83,0.184,0.0,0.00%,0.81,7t -2- 2 out a1,8t 3 out a1,,CIN,1.818181818181818,W,3,2
