Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,2,2001-04-03,LAD,ARI,7-7,BL(0-1),99,1.0,2,2,2,0,2,1,0,18.00,5,18,13,4,2,0,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.26,-0.346,1.40,-0.23%,-1.52,7t --- 0 out a1,7t 3 out d1,,LAD,2.0,L,2,3
2,3,2001-04-04,LAD,ARI,8-GF,,0,2.0,2,1,1,0,0,1,0,9.00,8,34,23,3,1,0,8,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.05,0.001,.06,0.00%,-0.03,8t --- 0 out d4,9t end d 5,,LAD,1.0,L,2,7
3,7,2001-04-08,LAD,SFG,7-7,,3,1.0,2,2,2,0,2,1,0,11.25,5,19,10,3,2,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.06,-0.020,.07,-0.01%,-1.52,7t --- 0 out d5,7t 3 out d7,,LAD,2.0,L,3,8
4,16,2001-04-19,LAD,SFG,9-GF,,10,1.0,1,0,0,0,1,0,0,9.00,4,18,14,2,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.49,9b --- 0 out a9,9b end a 9,,SFG,1.0,W,10,1
5,26,2001-05-01,LAD,CIN,5-5,,11,0.2,1,1,1,0,1,0,0,9.53,3,7,6,1,2,2,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,.35,0.003,.43,0.00%,0.17,5b --- 0 out d4,5b --3 2 out d4,,CIN,5.0,L,6,7
6,30,2001-05-05,LAD,CHC,7-8,,3,1.2,6,9,5,5,5,1,0,13.50,17,69,35,7,8,2,5,4,0,0,,2,2,0,0,0,12,1,0,0,0,0,1,.00,-0.001,.00,0.00%,-9.29,7b -23 0 out d8,8b 123 2 out d19,,CHC,9.166666666666668,L,1,20
7,37,2001-05-13,SDP,FLA,9-GF,,7,1.0,1,0,0,0,1,0,0,11.88,4,9,7,1,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,.02,0.00%,0.48,9t --- 0 out d6,9t end d 6,,SDP,1.0,L,4,10
8,40,2001-05-17,SDP,NYM,8-8,,3,1.0,1,1,0,0,3,0,0,10.61,5,23,15,3,3,0,2,2,0,0,,0,0,1,0,0,5,0,0,0,0,0,1,.00,0.000,.00,0.00%,-0.50,8b --- 0 out a13,8b 3 out a12,,NYM,1.0,W,15,3
9,42,2001-05-19,SDP,MON,6-6,,1,0.0,0,1,1,1,0,0,0,11.57,1,5,1,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,.64,-0.030,.59,-0.02%,-0.84,6b 12- 0 out a7,6b 123 0 out a7,,MON,inf,W,20,7
10,48,2001-05-25,SDP,ARI,7-7,,5,0.2,0,0,0,1,2,0,0,10.80,3,17,9,4,2,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.04,0.002,.05,0.00%,0.66,7t -2- 1 out d7,7t 3 out d7,,SDP,5.0,L,1,7
11,53,2001-05-31,SDP,HOU,7-8,,5,2.0,4,2,2,0,0,0,0,10.50,10,25,18,2,3,5,5,2,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,.23,-0.029,.24,-0.02%,-1.05,7t --- 0 out d4,8t 3 out d4,,SDP,2.0,L,4,8
12,55,2001-06-02,SDP,ARI,8-8,,1,1.0,0,0,0,0,1,0,0,9.69,3,21,15,4,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,0.037,.51,0.02%,0.57,8b --- 0 out d1,8b 3 out d1,,ARI,0.0,L,1,2
13,56,2001-06-03,SDP,ARI,5-5,,0,0.2,1,2,2,2,1,0,0,10.54,5,19,9,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,1.28,-0.017,1.25,-0.01%,-0.25,5b --- 0 out d1,5b 123 2 out d1,,ARI,15.0,L,4,8
14,58,2001-06-05,SDP,SFG,6-6,,1,0.0,0,1,1,1,0,0,0,11.20,1,4,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2.86,-0.033,2.02,-0.01%,-0.39,6b 1-3 1 out tie,6b 123 1 out tie,,SFG,inf,L,6,7
15,60,2001-06-07,SDP,SFG,7-8,,1,1.1,0,0,0,0,0,0,0,10.20,4,14,8,2,0,3,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.39,0.041,.22,0.01%,0.71,7b 1-- 2 out a4,8b 3 out a4,,SFG,0.0,W,10,7
16,62,2001-06-09,SDP,SEA,7-7,H(1),1,0.2,0,0,0,0,0,0,0,9.77,2,8,6,1,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.79,0.156,1.52,0.05%,0.77,7b -2- 0 out a1,7b --3 2 out a1,,SEA,0.0,W,6,3
17,63,2001-06-10,SDP,SEA,4-6,,0,2.1,1,0,0,0,4,0,0,8.50,9,36,23,9,4,3,2,0,1,0,,2,0,0,0,0,9,0,0,0,0,0,1,.02,0.004,.01,0.00%,1.54,4b 1-3 2 out d8,6b 3 out d8,,SEA,0.47619047619047616,L,1,8
18,65,2001-06-13,SDP,OAK,8-8,L(0-2),2,0.1,3,3,3,0,1,0,0,9.82,4,16,10,4,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.36,-0.288,1.13,-0.08%,-1.41,8t --- 0 out tie,8t 12- 1 out d1,,SDP,30.0,L,2,6
19,68,2001-06-16,SDP,SEA,3-6,,2,3.2,4,1,1,1,0,0,1,8.59,15,46,28,5,5,3,10,6,0,0,,1,0,0,0,0,13,0,1,0,1,0,0,.21,0.000,.08,0.00%,0.80,3t 1-- 0 out d6,6t 1-3 2 out d5,,SDP,1.5625,L,2,9
20,70,2001-06-19,SDP,SFG,8-8,,2,0.2,3,1,1,0,1,1,0,8.74,4,12,7,1,1,2,1,0,0,0,,0,0,0,1,1,4,0,0,0,0,0,0,.27,-0.056,.10,-0.01%,-0.74,8t --- 0 out d2,8t 1-- 2 out d3,,SDP,15.0,W,4,3
21,71,2001-06-20,SDP,SFG,6-6,,0,0.2,0,0,0,0,0,0,0,8.49,2,2,2,0,0,1,1,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,.47,0.001,.20,0.00%,0.55,6t 123 1 out d4,6t 3 out d5,,SDP,0.0,L,6,8
22,72,2001-06-21,SDP,SFG,9-GF,,0,1.0,2,2,2,2,1,0,0,8.88,7,26,14,4,2,2,2,2,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,.15,-0.024,.05,-0.01%,-1.52,9t --- 0 out d3,9t end d 5,,SDP,4.0,L,3,8
23,76,2001-06-25,SDP,COL,8-8,H(2),3,1.0,1,0,0,1,1,0,0,8.53,4,18,10,3,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.31,0.112,1.45,0.03%,0.64,8b --- 0 out a2,8b 3 out a2,,COL,2.0,W,6,4
24,77,2001-06-26,SDP,COL,7-7,H(3),0,0.1,0,0,0,0,0,0,0,8.42,1,7,4,2,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.99,0.031,.51,0.01%,0.28,7b 1-- 2 out a3,7b 3 out a3,,COL,0.0,W,11,3
25,78,2001-06-27,SDP,COL,6-8,H(4),0,1.2,2,2,2,0,2,0,0,8.56,7,26,18,6,4,3,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.47,-0.147,.91,-0.05%,-0.52,6b --- 1 out a2,8b -23 0 out a2,,COL,1.6666666666666667,L,9,10
26,80,2001-06-29,SDP,LAD,9-GF,,1,0.1,0,0,0,0,0,0,0,8.46,1,7,4,0,1,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,1.27,-0.059,.62,-0.02%,-0.25,9t 123 2 out d1,9t end d 2,,SDP,0.0,L,5,7
27,83,2001-07-03,SDP,COL,6-7,BW(1-2),3,1.0,2,0,0,0,0,0,0,8.16,5,14,9,1,0,2,3,2,0,0,,3,2,0,0,0,5,0,0,0,0,0,0,3.11,-0.072,.54,-0.01%,-0.48,6t 123 1 out a2,7t 1-- 1 out a1,,SDP,2.0,W,6,5
28,84,2001-07-04,SDP,COL,8-8,,0,1.0,0,0,0,1,0,0,0,7.89,4,14,8,4,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.011,.04,0.00%,0.48,8t --- 0 out a5,8t 3 out a5,,SDP,1.0,W,8,3
29,87,2001-07-07,SDP,TEX,7-7,,2,0.1,1,0,0,0,1,0,0,7.80,2,5,4,1,2,0,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,2.70,-0.073,.69,-0.01%,-0.26,7t 1-3 1 out tie,7t 12- 2 out d1,,SDP,10.0,L,3,4
30,90,2001-07-13,SDP,HOU,8-GF(8),,5,1.0,1,0,0,1,2,0,0,7.55,5,20,10,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,8b --- 0 out d8,8b end d 8,,HOU,2.0,L,3,11
