Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,86,2017-07-08,MIA,SFG,GS-6,W(1-0),99,5.1,5,3,3,2,4,0,0,5.06,23,81,48,15,1,3,14,6,3,0,48,,,0,0,0,21,3,0,0,0,0,0,1.08,0.056,.35,0.01%,0.36,1b start a 2,6b -2- 1 out a2,,SFG,1.3725490196078431,W,5,4,,
2,90,2017-07-16,MIA,LAD,GS-5,L(1-1),7,5.0,5,3,3,2,6,1,0,5.23,22,91,55,14,12,3,11,2,0,0,49,,,0,0,0,19,0,1,0,0,1,0,.67,-0.121,.18,-0.02%,-0.67,1t start tie,5t 3 out d3,,MIA,1.4,L,2,3,,
3,95,2017-07-22,MIA,CIN,GS-5,,5,4.2,4,3,3,6,6,1,0,5.40,21,89,46,19,7,4,5,3,0,0,44,,,1,1,1,15,0,1,1,2,0,0,1.29,-0.121,.22,-0.01%,-0.90,1b start a 1,5b 1-3 2 out tie,,CIN,2.380952380952381,W,5,4,,
4,100,2017-07-27,MIA,CIN,GS-7,W(2-1),4,7.0,5,0,0,2,5,0,1,3.68,28,96,60,16,5,8,12,6,3,0,70,,,0,0,0,25,1,0,0,0,0,0,.89,0.363,.17,0.04%,3.26,1t start tie,7t 3 out a3,,MIA,1.0,W,4,1,,
5,105,2017-08-01,MIA,WSN,GS-3,,4,3.0,7,6,6,2,3,2,0,5.40,18,75,46,15,6,4,9,3,1,0,22,,,0,0,0,16,2,0,0,0,0,0,.64,-0.373,.14,-0.05%,-4.60,1t start tie,3t 3 out d6,,MIA,3.0,W,7,6,,
6,110,2017-08-07,MIA,WSN,GS-2,,5,1.1,0,1,1,1,2,0,0,5.47,5,18,11,3,4,1,1,0,1,0,51,,,0,0,0,4,0,0,0,0,0,0,.86,0.048,.23,0.01%,0.52,1b start tie,2b 1-- 1 out tie,,WSN,0.9090909090909091,L,2,3,,
7,152,2017-09-20,MIA,NYM,9-GF,,43,1.0,1,0,0,1,1,0,0,5.27,5,22,14,3,1,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,.00,0.00%,0.47,9t --- 0 out a7,9t end a 7,,MIA,2.0,W,9,2,,
8,153,2017-09-22,MIA,ARI,3-3,,1,1.0,1,0,0,0,1,0,0,5.08,4,14,10,6,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.08,0.057,.00,0.00%,0.56,3b --- 0 out tie,3b 3 out tie,,ARI,1.0,L,11,13,,
9,155,2017-09-24,MIA,ARI,7-7,H(1),1,1.0,1,0,0,0,0,0,0,4.91,4,13,7,0,1,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.54,0.113,.00,0.00%,0.56,7b --- 0 out a1,7b 3 out a1,,ARI,1.0,L,2,3,,
10,157,2017-09-26,MIA,COL,6-7,,1,1.1,1,0,0,1,1,0,0,4.70,4,12,6,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.08,0.006,.00,0.00%,0.88,6b --- 0 out d6,7b --- 1 out d6,,COL,1.8181818181818181,L,0,6,,
11,158,2017-09-27,MIA,COL,5-5,,0,1.0,0,0,0,1,0,0,0,4.55,4,14,9,3,1,2,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.13,0.007,.00,0.00%,0.60,5b --- 0 out d6,5b 3 out d6,,COL,1.0,L,9,15,,
12,160,2017-09-29,MIA,ATL,8-8,H(2),1,0.1,2,0,0,0,0,0,0,4.50,3,15,11,3,2,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.19,-0.093,.00,0.00%,-0.41,8t --- 0 out a1,8t 12- 1 out a1,,MIA,20.0,W,6,5,,
13,161,2017-09-30,MIA,ATL,8-8,,0,1.0,1,0,0,0,1,0,0,4.36,4,12,10,1,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.07,0.005,.00,0.00%,0.47,8t --- 0 out a6,8t 3 out a6,,MIA,1.0,W,10,2,,
14,1,2018-03-29,MIA,CHC,5-5,,99,1.0,0,0,0,0,0,0,0,0.00,3,12,7,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,0.049,.63,0.03%,0.45,5t --- 0 out d1,5t 3 out d1,,MIA,0.0,L,4,8,2.25,3.00
15,2,2018-03-30,MIA,CHC,16-16,,0,1.0,1,0,0,1,2,0,0,0.00,5,18,12,3,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.70,0.128,3.42,0.07%,0.45,16t --- 0 out tie,16t 3 out tie,,MIA,2.0,W,2,1,5.05,9.00
16,3,2018-03-31,MIA,CHC,10-GF(10),,0,0.1,0,0,0,0,1,0,0,0.00,1,7,4,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.10,0.003,.09,0.00%,0.34,10t --3 2 out d4,10t end d 4,,MIA,0.0,L,6,10,2.75,4.00
17,5,2018-04-02,MIA,BOS,7-7,,1,1.0,1,1,1,1,0,1,0,2.70,5,19,13,6,0,0,4,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,-0.019,.11,-0.01%,-0.55,7t --- 0 out d4,7t 3 out d5,,MIA,2.0,L,3,7,-0.95,0.00
18,8,2018-04-07,MIA,PHI,4-5,,4,1.1,0,0,0,0,3,0,0,1.93,4,25,19,3,4,0,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.81,4b -2- 2 out d16,5b 3 out d16,,PHI,0.0,L,1,20,9.00,13.00
19,9,2018-04-08,MIA,PHI,5-5,,0,1.0,0,0,0,1,0,0,0,1.59,4,10,4,0,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.93,0.066,.74,0.03%,0.49,5b --- 0 out tie,5b 3 out tie,,PHI,1.0,W,6,3,1.65,3.00
20,12,2018-04-11,MIA,NYM,8-8,BL(0-1),2,0.0,3,3,3,0,0,0,0,6.35,3,11,6,1,1,0,3,2,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,2.61,-0.547,1.97,-0.25%,-2.38,8t 1-- 1 out a1,8t 12- 1 out d1,,MIA,inf,L,1,4,-7.80,-9.00
21,16,2018-04-16,MIA,NYY,6-7,,4,1.1,2,1,1,1,2,1,0,6.43,7,35,18,6,5,1,3,1,0,0,,2,0,0,0,0,6,1,0,0,0,0,0,.00,0.000,.00,0.00%,-0.05,6b 12- 2 out d11,7b 3 out d12,,NYY,2.727272727272727,L,1,12,3.20,7.00
