,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,58,2012-06-08,DET,CIN,8-8,BS(1),99,0.1,2,0,0,0,0,0,0,0.0,3,8,4,1,0,1,2,1,1,0,,1,1,0,0,0,3,1,0,0,0,0,0,2.97,-0.249,2.19,-0.11%,-0.82,8b -2- 1 out a1,8b 1-3 2 out tie,,CIN,20.0,L,5,6
1,2,81,2012-07-03,DET,MIN,3-5,,24,2.1,1,1,1,1,4,1,0,3.38,10,44,28,6,6,2,3,0,0,0,,1,1,0,0,0,9,0,0,0,0,0,1,1.18,-0.08,1.3,-0.05%,-0.72,3t 1-- 2 out d1,5t 3 out tie,,DET,0.9523809523809524,L,6,8
2,3,26,2013-05-01,DET,MIN,9-GF,,99,1.0,0,0,0,0,2,0,0,0.0,3,12,10,6,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.004,0.06,0.00%,0.5,9t --- 0 out d4,9t end d 4,,DET,0.0,L,2,6
3,4,27,2013-05-02,DET,HOU,8-9,,0,2.0,0,0,0,0,3,0,0,0.0,6,27,16,5,4,2,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.59,0.237,1.8,0.16%,0.96,8b --- 0 out tie,9b 3 out tie,,HOU,0.0,W,7,3
4,5,31,2013-05-08,DET,WSN,7-7,,5,1.0,0,0,0,0,0,0,0,0.0,3,10,5,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.27,0.02,0.33,0.02%,0.46,7b --- 0 out d2,7b 3 out d2,,WSN,0.0,L,1,3
5,6,35,2013-05-12,DET,CLE,7-7,H(1),3,0.1,1,0,0,1,1,0,0,0.0,3,14,8,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.7,-0.07400000000000001,3.89,-0.06%,-0.41,7t --- 0 out a1,7t 12- 1 out a1,,DET,20.0,L,3,4
6,7,36,2013-05-13,DET,HOU,8-GF,,0,2.0,1,0,0,0,0,0,1,0.0,8,32,19,5,2,4,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.17,0.018000000000000002,0.19,0.01%,1.01,8t --- 0 out a5,9t end a 5,,DET,0.5,W,7,2
7,8,40,2013-05-17,DET,TEX,6-7,H(2),3,0.2,1,0,0,0,1,0,0,0.0,3,11,6,2,1,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.2,0.091,2.7,0.07%,0.47,6b 1-- 2 out a1,7b --- 1 out a1,,TEX,5.0,W,2,1
8,9,42,2013-05-19,DET,TEX,6-6,BL(0-1),1,1.0,5,4,4,2,0,1,0,4.5,10,39,20,7,0,2,6,3,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,1.63,-0.565,1.95,-0.41%,-3.5,6b --- 0 out a2,6b 3 out d2,,TEX,7.0,L,8,11
9,10,45,2013-05-23,DET,MIN,7-7,,3,0.1,0,0,0,0,1,0,0,4.32,1,5,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.34,0.01,0.46,0.01%,0.23,7t 1-- 2 out d3,7t 3 out d3,,DET,0.0,W,7,6
10,11,47,2013-05-25,DET,MIN,9-GF,,1,1.0,0,0,0,1,1,0,0,3.86,4,16,10,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.66,0.038,0.89,0.03%,0.5,9t --- 0 out d1,9t end d 1,,DET,1.0,L,2,3
11,12,50,2013-05-28,DET,PIT,10-GF(11),L(0-2),2,2.0,2,1,1,1,1,1,0,3.97,9,28,16,6,1,4,3,0,1,0,,0,0,0,0,0,7,0,0,1,0,0,0,2.46,-0.161,3.23,-0.13%,0.01,10t --- 0 out tie,11t end d 1,,DET,1.5,L,0,1
12,13,55,2013-06-02,DET,BAL,8-GF(8),,4,0.1,0,0,0,1,0,0,0,3.86,2,8,3,2,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.64,0.016,0.85,0.01%,0.6,8b -23 2 out d2,8b end d 2,,BAL,10.0,L,2,4
13,14,21,2014-04-26,DET,MIN,3-5,L(0-1),99,1.1,0,4,4,4,1,0,1,27.0,9,35,11,4,4,2,1,0,1,0,,1,0,1,1,0,3,0,0,0,0,0,0,2.05,-0.29600000000000004,2.64,-0.23%,-2.14,3b 1-- 2 out a2,5b 123 0 out a1,,MIN,3.636363636363636,L,3,5
