,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,2,2012-04-07,SFN,ARI,5-6,,99,2.0,3,1,1,1,2,0,0,4.5,9,32,20,5,5,4,2,2,0,0,,0,0,0,0,0,8,1,0,1,1,0,0,0.51,-0.035,0.52,-0.02%,-0.02,5b --- 0 out d2,6b 3 out d3,,ARI,2.0,L,4,5,,
1,2,5,2012-04-11,SFN,COL,3-3,,3,0.2,0,0,0,0,0,0,0,3.38,1,5,5,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,0.37,0.023,0.34,0.01%,1.64,3b 123 1 out d6,3b 3 out d6,,COL,0.0,L,8,17,,
2,3,9,2012-04-15,SFN,PIT,8-8,,3,0.0,2,2,1,0,0,0,0,6.75,2,4,3,0,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.04,-0.076,0.97,-0.04%,-0.96,8t --- 0 out d1,8t 12- 0 out d1,,SFG,inf,L,1,4,,
3,4,10,2012-04-16,SFN,PHI,7-8,,0,2.0,2,0,0,0,1,0,1,3.86,9,29,18,1,0,4,3,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.29,0.026000000000000002,0.25,0.01%,0.85,7t --- 0 out d3,8t 3 out d3,,SFG,1.0,L,2,5,,
4,5,14,2012-04-21,SFN,NYM,8-8,,4,1.0,0,0,0,0,0,0,0,3.18,1,6,4,1,1,1,0,0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,0.22,0.013999999999999999,0.22,0.01%,1.42,8b 12- 0 out d3,8b 3 out d3,,NYM,0.0,L,4,5,,
5,6,15,2012-04-23,SFN,NYM,9-GF,,1,1.0,1,0,0,0,1,0,0,2.7,4,14,10,6,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.21,0.006,0.19,0.00%,0.45,9b --- 0 out a5,9b end a 5,1.0,NYM,1.0,W,6,1,,
6,7,17,2012-04-24,SFN,CIN,7-GF(8),,0,1.2,6,6,6,1,0,0,1,8.64,13,36,25,6,1,9,2,2,0,0,,0,0,0,0,0,11,3,0,0,0,0,0,0.18,-0.06,0.18,-0.04%,-5.25,7b --- 1 out d3,8b end d 9,,CIN,5.833333333333334,L,2,9,,
7,8,136,2012-09-04,SFN,ARI,4-5,,99,1.2,1,0,0,0,1,0,0,7.2,6,18,12,5,2,2,3,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,0.29,0.021,0.29,0.01%,0.64,4t --- 1 out d4,5t 3 out d4,,SFG,0.8333333333333334,L,6,8,,
8,9,137,2012-09-05,SFN,ARI,9-GF,,0,0.1,0,0,0,0,0,0,0,6.97,1,4,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.08,0.002,0.08,0.00%,0.39,9t 12- 2 out d4,9t end d 4,,SFG,0.0,L,2,6,,
9,10,141,2012-09-10,SFN,COL,6-6,,4,0.2,3,2,0,0,1,0,0,6.55,6,22,15,4,2,4,1,1,0,0,,0,0,0,0,0,6,0,1,0,0,0,1,0.38,-0.111,0.25,-0.04%,-1.7,6b --- 1 out d2,6b 3 out d4,,COL,15.0,L,5,6,,
