Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,5,2007-04-06,ARI,WSN,GS-5,W(1-0),99,5.0,1,0,0,3,6,0,2,0.00,21,96,54,17,9,7,3,0,0,0,68,,,0,0,0,16,0,0,0,0,0,0,1.27,0.280,1.24,0.17%,2.47,1b start tie,5b 3 out a2,,WSN,0.8,W,7,1
2,10,2007-04-11,ARI,CIN,GS-7,L(1-1),4,6.1,7,2,2,1,5,0,0,1.59,26,99,68,21,9,5,15,8,4,0,55,,,0,0,0,25,3,0,0,1,0,0,1.47,0.001,1.73,0.00%,1.21,1t start tie,7t -2- 1 out d1,,ARI,1.3114754098360657,L,2,3
3,15,2007-04-17,ARI,LAD,GS-4,,5,4.0,4,3,3,2,3,0,0,2.93,18,75,45,11,6,7,6,2,0,0,43,,,0,0,0,15,1,0,0,0,1,0,1.10,-0.113,1.42,-0.09%,-0.75,1t start tie,4t 3 out d2,,ARI,1.5,L,4,6
4,30,2007-05-03,ARI,NYM,GS-6,,15,6.0,5,3,3,4,5,1,0,3.38,25,103,62,18,8,9,7,2,2,0,51,,,0,0,0,21,1,0,0,1,0,0,1.08,-0.028,1.23,-0.02%,0.38,1t start tie,6t 3 out tie,,ARI,1.5,L,4,9
5,35,2007-05-08,ARI,PHI,GS-7,W(2-1),4,7.0,5,2,2,2,2,2,0,3.18,27,86,52,18,4,9,14,4,1,0,59,,,0,0,0,25,1,0,1,1,0,0,1.16,0.158,1.21,0.10%,1.94,1t start tie,7t 3 out tie,,ARI,1.0,W,3,2
6,39,2007-05-13,ARI,HOU,5-6,,4,1.2,2,1,1,0,0,0,1,3.30,7,30,16,3,2,3,3,2,0,0,,2,0,0,0,0,6,1,0,0,1,0,0,.47,0.029,.50,0.02%,0.96,5b -23 1 out d3,6b 3 out d4,,HOU,1.6666666666666667,L,2,5
7,44,2007-05-19,ARI,PIT,GS-3,,5,2.2,6,7,7,4,2,0,0,4.96,18,75,43,9,3,4,8,2,4,0,16,,,0,0,0,14,1,0,0,0,0,0,1.25,-0.381,1.33,-0.24%,-4.91,1b start tie,3b 12- 2 out d5,,PIT,4.545454545454545,W,9,8
8,49,2007-05-24,ARI,HOU,CG,W(3-1),4,9.0,9,1,1,1,8,0,1,4.10,35,118,80,18,14,6,19,9,3,0,72,,,0,2,0,33,3,0,0,0,0,0,.57,0.173,.62,0.11%,4.06,1t start tie,9t 3 out a8,,ARI,1.1111111111111112,W,9,1
9,54,2007-05-29,ARI,PHI,GS-5,W(4-1),4,5.0,7,1,1,2,3,0,0,3.86,23,107,67,18,7,5,13,9,2,0,50,,,0,0,0,20,2,0,0,1,0,0,1.06,0.164,1.48,0.14%,1.74,1b start tie,5b 3 out a4,,PHI,1.8,W,11,5
10,63,2007-06-09,ARI,BOS,GS-6,,10,6.0,7,2,2,2,4,1,0,3.76,26,106,63,23,5,8,12,7,2,0,52,,,0,0,0,24,1,0,0,1,0,0,1.03,0.162,1.47,0.14%,1.38,1t start tie,6t 3 out a1,,ARI,1.5,L,3,4
11,68,2007-06-15,ARI,BAL,GS-6,,5,6.0,6,3,3,1,0,0,0,3.84,24,91,59,11,3,9,14,3,2,0,47,,,0,0,0,22,1,0,0,1,1,0,1.23,-0.014,1.71,-0.01%,0.34,1b start tie,6b 3 out d3,,BAL,1.1666666666666667,W,7,3
12,73,2007-06-20,ARI,TBD,GS-6,W(5-1),4,5.2,8,4,4,2,7,1,1,4.06,28,110,72,14,13,7,11,5,0,0,42,,,1,0,0,25,2,2,0,1,0,1,.89,0.055,1.29,0.05%,-1.02,1t start tie,6t --3 2 out a2,,ARI,1.923076923076923,W,7,4
13,77,2007-06-25,ARI,LAD,GS-6,L(5-2),4,6.0,6,4,1,1,2,0,1,3.84,25,98,57,12,4,12,9,3,1,0,51,,,0,1,0,23,1,1,0,1,0,1,1.32,-0.176,2.47,-0.20%,-0.62,1t start tie,6t 3 out d3,,ARI,1.1666666666666667,L,1,8
14,80,2007-06-28,ARI,LAD,8-8,,2,1.0,1,0,0,0,0,0,0,3.79,4,20,14,2,1,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.003,.07,0.00%,0.56,8t --- 0 out d6,8t 3 out d6,,ARI,1.0,L,5,9
15,83,2007-07-01,ARI,SFG,GS-5,L(5-3),2,4.0,8,7,7,3,2,1,0,4.42,23,85,53,14,4,9,9,3,1,0,17,,,0,0,0,20,1,1,1,0,0,0,.96,-0.197,1.50,-0.19%,-4.22,1b start tie,5b 1-3 0 out d5,,SFG,2.75,L,0,13
16,88,2007-07-06,ARI,CIN,GS-5,L(5-4),4,4.2,6,6,6,3,4,3,1,4.84,24,84,53,14,10,7,9,2,1,0,29,,,0,0,0,19,1,0,0,0,0,0,.47,-0.223,.73,-0.21%,-4.07,1b start tie,5b 123 2 out d6,,CIN,2.142857142857143,L,1,8
17,94,2007-07-16,ARI,MIL,GS-6,L(5-5),9,6.0,7,4,4,1,3,2,0,4.92,26,87,52,7,6,6,16,6,2,0,44,,,0,0,0,25,2,0,0,0,0,0,.79,-0.164,1.16,-0.15%,-0.85,1b start a 1,6b 3 out d2,,MIL,1.3333333333333333,L,3,4
18,99,2007-07-21,ARI,CHC,GS-4,,4,4.0,4,2,2,3,3,0,0,4.90,19,95,56,8,9,4,9,3,1,0,46,,,2,0,0,16,1,1,0,0,0,0,1.42,-0.025,1.85,-0.02%,0.21,1b start a 1,4b 3 out d1,,CHC,1.75,W,3,2
19,104,2007-07-26,ARI,FLA,GS-4,,4,3.0,6,4,4,2,2,0,2,5.13,19,65,43,8,7,6,7,2,0,0,31,,,1,0,0,14,1,0,0,0,0,0,1.18,-0.375,2.12,-0.40%,-4.16,1t start tie,4t 123 0 out d2,,ARI,2.6666666666666665,W,7,4
20,109,2007-08-01,ARI,SDP,GS-6,,5,6.0,4,1,1,2,4,0,0,4.91,24,88,57,15,7,5,13,3,2,0,62,,,0,0,0,21,0,1,0,0,0,0,1.37,0.171,3.11,0.23%,1.84,1b start tie,6b 3 out a4,,SDP,1.0,W,9,5
21,114,2007-08-07,ARI,PIT,GS-7,L(5-6),5,6.1,6,4,4,3,5,0,0,4.96,27,109,63,14,10,6,13,6,4,0,47,,,0,0,0,23,2,0,0,0,0,0,1.07,-0.068,1.88,-0.07%,-0.05,1t start tie,7t --3 1 out d1,,ARI,1.4754098360655739,L,3,8
22,119,2007-08-12,ARI,WSN,GS-7,,4,6.1,4,1,1,2,8,0,1,4.76,26,100,70,25,7,7,8,3,2,0,67,,,0,0,0,22,0,0,0,0,0,0,.70,0.131,.98,0.11%,1.30,1t start tie,7t 123 1 out a4,,ARI,0.9836065573770493,L,6,7
23,124,2007-08-18,ARI,ATL,GS-7,W(6-6),5,7.0,3,3,3,0,7,3,1,4.70,25,78,58,14,15,7,10,2,2,0,66,,,0,0,0,23,0,0,0,0,0,0,.50,0.132,.67,0.11%,0.61,1b start tie,7b 3 out a9,,ATL,0.42857142857142855,W,12,6
24,129,2007-08-24,ARI,CHC,GS-7,L(6-7),5,6.0,7,3,3,1,2,0,0,4.69,25,95,62,15,4,10,12,4,1,0,47,,,0,0,0,23,2,0,0,1,1,0,.89,-0.099,1.15,-0.08%,-0.97,1t start tie,7t 1-3 0 out d2,,ARI,1.3333333333333333,L,2,6
25,134,2007-08-29,ARI,SDP,GS-7,,4,7.0,3,1,1,1,6,1,2,4.51,27,94,66,15,13,7,11,3,1,0,72,,,0,0,0,24,1,0,0,0,0,0,1.24,0.307,2.47,0.37%,2.31,1b start tie,7b 3 out tie,,SDP,0.5714285714285714,L,1,3
26,139,2007-09-03,ARI,SDP,GS-3,L(6-8),4,3.0,4,5,5,1,4,4,0,4.75,14,44,29,6,5,1,8,0,0,0,34,,,0,0,0,13,0,0,0,0,0,0,.56,-0.274,1.48,-0.43%,-3.31,1t start tie,3t 3 out d5,,ARI,1.6666666666666667,L,2,10
27,143,2007-09-08,ARI,STL,GS-3,,4,2.2,4,7,2,2,1,1,1,4.78,16,65,39,13,2,6,6,1,1,0,31,,,0,0,0,13,2,1,0,0,0,1,1.07,-0.457,1.78,-0.46%,-4.66,1t start tie,3t -2- 2 out d3,,ARI,2.727272727272727,W,9,8
28,152,2007-09-18,ARI,SFG,SHO,W(7-8),9,9.0,2,0,0,1,4,0,0,4.49,28,101,69,19,8,9,14,2,2,0,86,,,0,0,0,27,1,0,0,2,0,0,.51,0.284,1.07,0.36%,5.06,1t start tie,9t 3 out a5,,ARI,0.3333333333333333,W,5,0
29,159,2007-09-27,ARI,PIT,GS-7,W(8-8),8,6.1,4,0,0,0,4,0,0,4.30,21,83,58,12,4,5,12,3,2,0,69,,,0,0,0,21,1,0,0,1,0,0,.59,0.214,1.78,0.39%,3.30,1b start a 1,7b --- 1 out a8,,PIT,0.6557377049180328,W,8,0
30,4,2008-04-04,ARI,COL,GS-7,W(1-0),99,6.2,2,1,1,2,9,1,0,1.35,24,97,65,14,15,2,11,3,1,0,73,,,0,0,0,22,1,0,0,0,0,0,.61,0.271,.63,0.17%,2.64,1b start a 3,7b 1-- 2 out a5,,COL,0.6451612903225806,W,8,1
31,9,2008-04-09,ARI,LAD,GS-7,W(2-0),4,7.0,7,3,3,1,4,1,1,2.63,30,95,63,18,6,12,12,2,1,0,54,,,0,0,0,27,3,0,0,0,1,0,1.22,0.043,1.59,0.03%,0.82,1t start tie,7t 3 out a1,,ARI,1.1428571428571428,W,4,3
32,14,2008-04-15,ARI,SFG,GS-6,W(3-0),5,6.0,3,1,1,2,6,0,0,2.29,22,96,64,19,7,5,9,1,5,0,66,,,0,1,0,20,1,0,0,0,0,0,.75,0.233,.99,0.19%,2.12,1b start tie,6b 3 out a4,,SFG,0.8333333333333334,W,8,2
33,19,2008-04-21,ARI,SFG,GS-7,W(4-0),5,6.1,5,2,2,1,4,1,2,2.42,27,97,63,14,11,10,10,3,2,0,58,,,0,0,0,24,2,0,0,0,0,0,1.11,0.062,1.54,0.05%,0.86,1t start tie,7t 12- 1 out a1,,ARI,0.9836065573770493,W,4,2
34,24,2008-04-26,ARI,SDP,GS-5,,4,5.0,5,5,5,3,5,1,1,3.48,24,90,56,17,7,4,11,5,3,0,39,,,0,0,0,20,0,0,0,0,0,0,.92,-0.265,1.17,-0.20%,-2.79,1b start tie,5b 3 out d1,,SDP,1.6,L,7,8
35,29,2008-05-02,ARI,NYM,GS-6,L(4-1),5,5.2,10,7,6,3,2,2,0,4.42,31,107,66,17,7,10,16,5,3,0,22,,,1,0,0,27,3,1,0,0,1,1,.70,-0.329,.84,-0.24%,-3.97,1t start tie,6t 1-- 2 out d5,,ARI,2.5,L,2,7
36,34,2008-05-07,ARI,PHI,GS-7,,4,7.0,4,3,3,2,7,1,0,4.33,27,99,67,18,10,6,12,3,3,0,62,,,1,0,0,24,0,0,0,0,0,0,1.06,0.037,1.33,0.03%,0.82,1t start tie,7t 3 out tie,,ARI,0.8571428571428571,L,4,5
37,40,2008-05-14,ARI,COL,GS-6,W(5-1),6,6.0,5,0,0,2,5,0,0,3.81,25,100,65,17,10,7,11,3,1,0,65,,,0,0,0,23,1,0,0,0,0,0,1.05,0.320,1.45,0.27%,3.28,1t start tie,6t 3 out a4,,ARI,1.1666666666666667,W,4,3
