,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,122,2008-08-16,SFN,ATL,GS-3,L(0-1),99,2.1,7,6,6,4,0,0,1,23.14,18,66,35,6,1,5,8,6,1,0,15.0,,,0,0,0,13,2,0,0,0,0,0,1.02,-0.314,0.02,0.00%,-5.41,1b start tie,3b 12- 1 out d6,,ATL,5.238095238095238,L,5,11
1,2,127,2008-08-21,SFN,FLA,GS-6,,4,6.0,6,2,2,3,2,1,0,8.64,24,100,57,18,4,9,10,4,1,0,51.0,,,0,0,0,21,1,0,0,2,0,0,1.17,0.125,0.02,0.00%,1.12,1t start tie,6t 3 out a1,,SFG,1.5,W,4,3
2,3,132,2008-08-26,SFN,COL,GS-5,L(0-2),4,4.1,4,5,4,6,1,0,1,8.53,25,86,47,12,3,9,8,2,3,0,32.0,,,0,0,0,17,0,0,1,0,0,1,1.35,-0.315,0.07,-0.01%,-3.0,1t start tie,5t 123 1 out d2,,SFG,2.4390243902439033,L,2,7
3,4,15,2009-04-23,ANA,DET,GS-7,W(1-0),99,6.0,6,5,4,3,1,1,0,6.0,27,100,55,19,4,13,10,1,2,0,40.0,,,2,0,0,24,0,0,0,1,0,1,0.99,-0.025,0.86,-0.01%,-0.63,1t start tie,7t 123 0 out a4,,LAA,1.5,W,10,5
4,5,23,2009-05-02,ANA,NYY,GS-7,W(2-0),8,6.1,3,1,1,2,2,0,1,3.65,25,101,57,18,3,11,9,2,2,0,63.0,,,1,0,0,22,1,0,0,0,0,0,1.02,0.195,0.89,0.10%,2.0,1b start tie,7b 12- 1 out a4,,NYY,0.819672131147541,W,8,4
5,6,28,2009-05-08,ANA,KCR,GS-6,W(3-0),5,5.1,2,1,1,3,5,0,0,3.06,22,92,58,18,6,6,8,2,1,0,62.0,,,2,0,0,19,0,0,0,0,0,1,1.16,0.193,1.18,0.12%,2.0,1t start tie,6t 1-3 1 out a2,,LAA,0.9803921568627452,W,4,1
6,7,32,2009-05-13,ANA,BOS,CG,W(4-0),4,9.0,5,4,4,2,8,1,0,3.38,32,109,73,31,9,9,13,4,1,0,67.0,,,0,1,0,30,1,0,0,1,0,0,0.64,0.012,0.77,0.01%,0.83,1t start tie,9t 3 out a4,,LAA,0.7777777777777778,W,8,4
7,8,38,2009-05-19,ANA,SEA,GS-6,W(5-0),5,5.0,7,5,5,3,2,2,1,4.26,25,87,54,18,6,10,9,5,1,0,32.0,,,0,0,0,21,2,0,0,1,0,0,1.22,-0.264,1.59,-0.21%,-2.08,1b start a 2,6b -2- 0 out a2,,SEA,2.0,W,6,5
8,9,43,2009-05-24,ANA,LAD,GS-5,,4,4.2,5,4,4,2,3,1,0,4.71,21,82,50,16,7,4,12,5,1,0,39.0,,,2,0,0,19,1,0,0,0,0,0,0.61,-0.205,0.72,-0.15%,-2.06,1b start tie,5b 12- 2 out d2,,LAD,1.6666666666666663,W,10,7
9,10,45,2009-05-26,ANA,CHW,9-GF,,1,1.0,2,1,1,2,1,0,0,4.82,7,31,14,4,2,3,1,0,1,0,,0.0,0.0,1,0,0,5,0,0,0,0,0,0,0.43,-0.034,0.53,-0.03%,-0.46,9t --- 0 out d2,9t end d 3,,LAA,4.0,L,2,4
10,11,48,2009-05-30,ANA,SEA,GS-7,,3,7.0,4,0,0,0,5,0,1,4.06,25,111,69,17,13,9,10,2,0,0,74.0,,,0,0,0,23,0,0,0,1,0,0,1.04,0.456,1.4,0.37%,3.76,1t start tie,7t 3 out tie,,LAA,0.5714285714285714,L,3,4
11,12,59,2009-06-12,ANA,SDP,GS-6,W(6-0),12,6.0,10,4,3,3,3,0,0,4.11,29,112,65,24,4,12,11,5,0,0,38.0,,,0,0,0,25,3,0,0,2,0,0,1.32,-0.12,1.56,-0.09%,-0.78,1t start tie,6t 3 out a6,,LAA,2.1666666666666665,W,11,6
