Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
152,2,2000-04-04,LAD,MON,GS-6,W(1-0),99,6.0,6,4,3,4,3,0,1,4.50,28,93,54,10,10,8,12,7,2,0,45,,,0,1,1,23,3,0,0,0,0,1,.56,0.038,.57,0.02%,-0.54,1b start a 1,6b 3 out a6,,MON,1.6666666666666667,W,10,4
153,7,2000-04-11,LAD,SFG,GS-6,W(2-0),6,6.0,6,3,3,2,4,1,0,4.50,25,99,61,15,8,9,10,5,0,0,50,,,0,0,0,23,2,1,0,2,0,1,1.14,-0.006,1.25,0.00%,0.13,1b start tie,6b 3 out a1,,SFG,1.3333333333333333,W,6,5
154,12,2000-04-16,LAD,CIN,GS-7,L(2-1),4,7.0,4,3,2,3,4,1,1,3.79,30,109,67,14,5,9,13,4,0,0,60,,,0,0,1,24,1,0,1,0,0,2,.77,-0.023,.86,-0.02%,0.69,1t start tie,7t 3 out d2,,LAD,1.0,L,3,5
155,16,2000-04-22,LAD,CIN,GS-5,W(3-1),5,5.0,1,1,1,3,5,1,1,3.38,21,89,53,16,9,3,8,0,1,0,63,,,0,0,0,16,0,0,0,0,0,0,.80,0.126,.91,0.09%,1.86,1b start a 1,5b 3 out a8,,CIN,0.8,W,16,2
156,21,2000-04-27,LAD,ATL,GS-6,L(3-2),4,5.1,8,6,6,7,1,1,1,4.60,30,109,54,14,5,8,13,6,2,0,22,,,1,0,0,20,2,0,0,2,0,0,.98,-0.125,1.09,-0.08%,-2.94,1b start tie,6b --- 1 out d6,,ATL,2.9411764705882355,L,3,6
157,26,2000-05-02,LAD,ATL,GS-7,,4,6.2,3,2,2,7,5,1,0,4.25,29,104,53,19,10,8,10,2,0,0,58,,,1,0,0,22,1,0,0,0,0,0,1.28,0.099,1.52,0.07%,1.24,1t start tie,7t 12- 2 out a1,,LAD,1.6129032258064515,L,3,5
158,31,2000-05-08,LAD,ARI,GS-4,L(3-3),5,3.1,9,8,8,2,2,1,0,5.72,22,79,49,11,6,5,13,6,0,0,10,,,0,0,0,20,2,0,0,0,0,0,.82,-0.443,1.12,-0.36%,-5.42,1b start tie,4b -2- 1 out d3,,ARI,3.5483870967741935,L,7,15
159,35,2000-05-13,LAD,STL,GS-8,W(4-3),4,8.0,3,1,1,3,12,1,0,4.94,30,122,77,21,26,6,9,4,1,0,81,,,0,0,0,26,0,0,0,0,0,0,1.03,0.369,1.09,0.23%,3.53,1b start tie,8b 3 out tie,,STL,0.75,W,3,1
160,39,2000-05-19,LAD,FLA,GS-6,,5,6.0,3,3,3,4,5,1,0,4.89,24,123,72,20,12,8,7,2,0,0,55,,,0,1,0,20,0,1,1,0,0,0,1.04,-0.127,1.30,-0.10%,0.16,1b start tie,6b 3 out d1,,FLA,1.1666666666666667,W,5,3
161,44,2000-05-24,LAD,CIN,GS-7,L(4-4),4,6.0,4,4,4,6,6,1,2,5.01,29,112,65,20,16,6,9,2,2,0,48,,,0,0,0,21,1,0,0,1,0,0,1.28,-0.107,1.69,-0.08%,-0.23,1t start tie,7t 1-- 0 out tie,,LAD,1.6666666666666667,L,3,10
162,48,2000-05-29,LAD,NYM,GS-7,W(5-4),4,7.0,2,0,0,6,6,0,0,4.48,29,115,64,19,13,7,10,3,0,0,73,,,0,0,0,22,0,0,0,0,0,0,1.04,0.393,1.38,0.31%,3.69,1t start tie,7t 3 out a4,,LAD,1.1428571428571428,W,4,1
163,52,2000-06-03,LAD,ANA,GS-6,W(6-4),4,5.2,8,3,3,4,7,0,1,4.50,29,114,63,11,22,5,12,8,0,0,44,,,0,0,0,24,1,0,0,1,0,0,.99,0.063,1.16,0.05%,0.17,1b start a 3,6b 12- 2 out a3,,ANA,2.3076923076923075,W,8,3
164,57,2000-06-08,LAD,HOU,GS-7,W(7-4),4,7.0,5,2,2,3,6,2,0,4.33,27,110,72,14,20,9,9,1,1,0,62,,,0,0,0,24,0,0,0,2,0,0,1.06,0.187,1.40,0.15%,1.69,1t start tie,7t 3 out tie,,LAD,1.1428571428571428,W,5,2
165,62,2000-06-13,LAD,ARI,CG,W(8-4),4,9.0,5,1,1,1,4,1,0,3.99,31,108,66,20,8,14,12,1,4,0,76,,,0,0,0,29,1,0,0,1,0,0,.78,0.299,1.16,0.27%,3.74,1t start tie,9t 3 out a5,,LAD,0.6666666666666666,W,6,1
166,67,2000-06-18,LAD,STL,GS-7,W(9-4),4,7.0,7,3,3,0,9,1,1,3.98,28,100,64,16,13,8,10,5,0,0,60,,,0,0,0,27,3,0,0,0,0,0,.71,0.052,.86,0.04%,0.69,1t start tie,7t 3 out a3,,LAD,1.0,W,6,3
167,71,2000-06-23,LAD,STL,GS-6,,4,6.0,4,4,4,5,6,1,0,4.10,26,91,52,12,12,7,8,3,2,0,49,,,0,0,0,21,1,0,0,1,0,0,.99,-0.129,1.38,-0.11%,-0.61,1b start a 1,6b 3 out d2,,STL,1.5,L,6,9
168,76,2000-06-28,LAD,SDP,GS-7,,4,7.0,6,4,4,6,8,0,1,4.17,34,125,68,18,21,12,7,3,1,0,51,,,0,1,0,26,1,0,0,0,1,1,1.24,-0.036,1.40,-0.02%,-0.31,1t start tie,7t 3 out tie,,LAD,1.7142857142857142,W,5,4
169,81,2000-07-04,LAD,SDP,GS-6,L(9-5),5,6.0,7,6,5,2,8,0,0,4.34,26,96,61,17,14,6,10,8,0,0,42,,,0,0,0,22,3,0,0,1,2,0,1.11,-0.350,1.11,-0.21%,-2.91,1b start tie,6b 3 out d4,,SDP,1.5,L,2,7
170,86,2000-07-09,LAD,SEA,GS-7,L(9-6),4,7.0,3,2,1,3,6,1,0,4.17,28,117,71,20,11,5,14,5,1,0,68,,,0,0,0,24,1,0,0,0,0,1,.65,0.078,.73,0.05%,1.94,1b start tie,7b 3 out d2,,SEA,0.8571428571428571,L,0,2
171,89,2000-07-15,LAD,ANA,GS-5,L(9-7),5,5.0,5,3,3,7,3,0,0,4.21,27,111,62,21,10,6,11,5,1,0,41,,,0,0,0,19,2,0,1,0,1,0,1.05,-0.066,1.11,-0.04%,-0.37,1t start tie,5t 3 out d1,,LAD,2.4,L,2,6
172,94,2000-07-20,LAD,COL,GS-6,W(10-7),4,6.0,4,3,3,5,6,1,1,4.23,28,113,65,12,18,7,9,3,1,0,53,,,0,0,0,21,1,0,0,1,0,1,1.43,-0.069,1.82,-0.05%,0.16,1t start tie,6t 3 out d2,,LAD,1.5,W,6,3
173,99,2000-07-25,LAD,COL,GS-7,W(11-7),4,7.0,7,4,2,2,3,0,0,4.14,29,101,61,15,6,12,12,5,1,0,52,,,0,0,0,26,1,0,0,2,1,1,1.06,0.050,1.69,0.05%,0.90,1b start tie,7b 3 out tie,,COL,1.2857142857142858,W,6,4
174,104,2000-07-30,LAD,PHI,GS-7,L(11-8),4,6.2,9,3,2,5,2,0,0,4.08,32,112,65,23,3,14,11,7,1,0,43,,,0,0,0,26,1,0,0,3,0,1,1.48,-0.069,2.32,-0.07%,0.11,1b start tie,7b 123 2 out d1,,PHI,2.258064516129032,L,2,3
175,109,2000-08-05,LAD,MIL,GS-6,,5,6.0,6,2,2,3,8,2,0,4.04,27,97,61,16,10,9,7,4,0,0,57,,,0,0,0,24,1,0,1,0,0,0,1.23,0.066,1.97,0.06%,1.16,1t start tie,6t 3 out d1,,LAD,1.5,L,2,4
176,114,2000-08-11,LAD,ATL,GS-7,,5,7.0,7,2,2,2,6,1,0,3.97,28,104,66,14,16,9,11,6,2,0,59,,,0,0,0,26,0,0,0,2,0,0,1.34,0.150,1.55,0.10%,1.92,1b start tie,7b 3 out tie,,ATL,1.2857142857142858,L,2,7
177,121,2000-08-19,LAD,NYM,CG,W(12-8),7,9.0,4,1,1,2,10,1,0,3.81,32,113,77,25,17,9,11,2,1,0,83,,,0,1,0,30,0,0,0,0,0,0,.84,0.419,.28,0.08%,3.74,1t start tie,9t 3 out a3,,LAD,0.6666666666666666,W,4,1
178,126,2000-08-24,LAD,MON,GS-7,W(13-8),4,7.0,5,0,0,1,7,0,0,3.66,26,110,71,26,11,3,15,4,0,0,73,,,0,1,0,25,2,0,0,0,0,0,.69,0.259,.21,0.05%,3.69,1t start tie,7t 3 out a7,,LAD,0.8571428571428571,W,7,0
179,132,2000-08-29,LAD,MIL,GS-8,W(14-8),4,8.0,1,2,2,3,14,1,1,3.60,29,129,82,25,16,7,4,0,0,0,83,,,0,0,0,25,0,0,0,1,0,1,.48,0.218,.35,0.10%,2.35,1b start tie,8b 3 out a4,,MIL,0.5,W,7,2
180,137,2000-09-03,LAD,PHI,GS-8,W(15-8),4,8.0,2,0,0,7,6,0,0,3.45,30,131,74,23,12,9,8,2,1,0,77,,,0,0,0,23,0,0,0,3,0,0,.83,0.381,.54,0.15%,4.22,1t start tie,8t 3 out a6,,LAD,1.125,W,6,1
181,142,2000-09-09,LAD,COL,GS-5,L(15-9),5,5.0,10,7,5,3,7,0,0,3.59,27,104,72,15,17,6,11,9,1,0,27,,,0,2,0,24,4,0,0,0,0,1,.61,-0.280,.13,-0.03%,-3.50,1b start tie,5b 3 out d3,,COL,2.6,L,6,7
182,147,2000-09-14,LAD,COL,GS-6,L(15-10),4,5.1,9,5,4,4,4,0,0,3.67,30,110,65,16,10,7,15,8,2,0,32,,,0,0,0,24,1,0,0,0,0,1,1.27,-0.365,.06,-0.01%,-2.78,1t start tie,6t 12- 1 out d2,,LAD,2.5490196078431375,L,4,5
