Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,149,2008-09-15,NYM,WSN,8-GF(8),,99,1.0,0,0,0,0,0,0,0,0.00,3,8,6,1,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,.04,0.00%,0.50,8b --- 0 out d5,8b end d 5,,WSN,0.0,L,2,7
2,154,2008-09-20,NYM,ATL,8-GF(8),,4,0.2,0,0,0,0,1,0,0,0.00,2,12,7,1,0,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.16,0.008,.27,0.01%,0.26,8b --- 1 out d2,8b end d 2,,ATL,0.0,L,2,4
3,156,2008-09-22,NYM,CHC,5-6,,1,2.0,2,1,1,0,2,0,0,2.45,8,41,30,1,8,2,4,3,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.18,-0.013,.61,-0.03%,0.00,5t --- 0 out d5,6t 3 out d6,,NYM,1.0,L,5,9
4,158,2008-09-24,NYM,CHC,8-8,,1,1.0,0,0,0,1,0,0,0,1.93,3,12,5,0,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.92,0.052,4.03,0.14%,0.50,8t --- 0 out d1,8t 3 out d1,,NYM,1.0,L,6,9
5,160,2008-09-26,NYM,FLA,7-7,,1,0.0,1,2,2,1,0,0,0,5.79,2,15,8,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.77,-0.091,5.41,-0.39%,-1.38,7t --- 0 out d2,7t 1-- 0 out d3,,NYM,inf,L,1,6
6,162,2008-09-28,NYM,FLA,9-GF,,1,0.1,0,0,0,0,0,0,0,5.40,1,5,3,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.29,0.008,3.00,0.05%,0.23,9t 1-- 2 out d2,9t end d 2,,NYM,0.0,L,2,4
7,2,2009-04-08,NYM,CIN,6-6,H(1),99,1.0,0,0,0,2,1,0,0,0.00,5,21,11,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.088,1.58,0.05%,0.50,6b --- 0 out a1,6b 3 out a1,,CIN,2.0,W,9,7
8,3,2009-04-09,NYM,CIN,8-8,,0,0.1,1,0,0,0,0,0,0,0.00,2,2,2,0,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.30,0.000,.31,0.00%,-0.02,8b --- 0 out d2,8b 1-- 1 out d2,,CIN,10.0,L,6,8
9,4,2009-04-10,NYM,FLA,7-7,,0,1.0,3,1,1,0,0,0,0,3.86,6,20,12,2,0,1,5,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.64,-0.158,2.02,-0.12%,-0.49,7b --- 0 out tie,7b 3 out d1,,FLA,3.0,L,4,5
10,6,2009-04-12,NYM,FLA,8-GF(8),,1,1.0,0,0,0,0,1,0,0,2.70,3,13,10,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,.21,0.01%,0.51,8b --- 0 out d2,8b end d 2,,FLA,0.0,L,1,2
11,8,2009-04-15,NYM,SDP,7-7,H(2),2,1.0,0,0,0,0,0,0,0,2.08,3,12,9,5,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.094,1.14,0.05%,0.48,7t --- 0 out a1,7t 3 out a1,,NYM,0.0,W,7,2
12,10,2009-04-17,NYM,MIL,8-8,,1,1.0,0,0,0,1,1,0,0,1.69,4,15,9,2,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.50,0.105,1.37,0.06%,0.48,8t --- 0 out tie,8t 3 out tie,,NYM,1.0,W,5,4
13,12,2009-04-19,NYM,MIL,8-GF,,1,1.2,2,1,1,0,1,0,0,2.57,7,29,17,7,0,3,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.61,-0.043,.63,-0.03%,-0.26,8t --- 1 out d1,9t end d 2,,NYM,1.6666666666666667,L,2,4
14,15,2009-04-23,NYM,STL,8-GF(8),,3,1.0,2,0,0,0,0,0,0,2.25,4,14,8,2,0,1,3,2,1,0,,0,0,0,0,0,4,1,0,0,1,0,0,.10,0.003,.09,0.00%,0.49,8b --- 0 out d4,8b end d 4,,STL,2.0,L,8,12
15,16,2009-04-24,NYM,WSN,7-7,H(3),0,0.2,1,0,0,0,2,0,0,2.08,3,18,13,4,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.027,1.72,0.01%,0.17,7t --- 0 out a2,7t -2- 2 out a2,,NYM,5.0,W,4,3
16,17,2009-04-25,NYM,WSN,7-7,,0,1.0,1,0,0,0,0,0,1,1.86,5,17,13,4,1,0,4,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,0.009,.17,0.01%,0.48,7t --- 0 out a6,7t 3 out a6,,NYM,1.0,W,8,2
17,20,2009-04-28,NYM,FLA,6-6,H(4),2,0.2,2,0,0,0,1,0,0,1.74,4,20,14,4,1,1,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,2.64,-0.037,2.92,-0.03%,-0.49,6t 1-- 1 out a2,6t 3 out a1,,NYM,10.0,L,4,7
18,23,2009-05-02,NYM,PHI,7-7,,3,1.0,1,0,0,0,0,0,0,1.59,3,14,9,4,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.56,0.088,1.54,0.05%,0.50,7b --- 0 out tie,7b 3 out tie,,PHI,1.0,L,5,6
19,24,2009-05-04,NYM,ATL,7-7,H(5),1,1.0,0,0,0,1,0,0,0,1.46,3,13,6,3,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.13,0.054,1.05,0.03%,0.49,7b --- 0 out a3,7b 3 out a3,,ATL,1.0,W,6,4
20,25,2009-05-05,NYM,ATL,7-7,H(6),0,0.2,1,0,0,0,1,0,0,1.38,3,12,7,3,1,1,1,1,0,0,,2,1,0,0,0,3,1,0,0,0,0,0,3.66,0.038,3.82,0.02%,-0.10,7b 12- 1 out a2,7b 3 out a1,,ATL,5.0,W,4,3
21,28,2009-05-08,NYM,PIT,8-8,W(1-0),2,1.0,0,0,0,0,2,0,0,1.29,3,16,12,2,1,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.40,0.105,1.50,0.07%,0.48,8t --- 0 out tie,8t 3 out tie,,NYM,0.0,W,7,3
22,31,2009-05-11,NYM,ATL,7-7,,2,0.1,1,1,0,0,0,0,0,1.26,2,6,4,1,0,0,2,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.66,0.015,3.50,0.01%,0.08,7t 1-- 1 out tie,7t 12- 2 out tie,,NYM,10.0,L,3,8
23,33,2009-05-13,NYM,ATL,7-7,BS(1),1,1.0,1,1,0,1,0,0,0,1.17,6,21,12,4,0,1,4,0,1,0,,0,0,0,0,0,4,0,0,1,0,1,1,2.74,-0.114,3.97,-0.10%,-0.52,7t --- 0 out a1,7t 3 out tie,,NYM,2.0,L,7,8
24,34,2009-05-14,NYM,SFG,8-8,BW(2-0),0,1.0,3,2,2,1,1,0,0,2.20,7,25,13,4,1,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.79,-0.335,4.51,-0.24%,-1.49,8b --- 0 out a2,8b 3 out tie,,SFG,4.0,W,7,4
25,36,2009-05-16,NYM,SFG,8-8,H(7),1,1.0,1,0,0,0,2,0,0,2.08,3,16,10,1,2,1,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,3.25,0.143,4.12,0.11%,0.51,8b --- 0 out a1,8b 3 out a1,,SFG,1.0,W,9,6
26,38,2009-05-18,NYM,LAD,7-7,,1,1.0,1,0,0,0,1,0,0,1.96,3,13,7,2,0,1,1,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.74,0.041,.96,0.03%,0.47,7b --- 0 out d1,7b 3 out d1,,LAD,1.0,L,2,3
27,41,2009-05-22,NYM,BOS,8-8,H(8),3,1.0,0,0,0,0,1,0,0,1.86,3,11,7,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.100,1.49,0.07%,0.57,8b --- 0 out a2,8b 3 out a2,,BOS,0.0,W,5,3
28,44,2009-05-25,NYM,WSN,7-7,,2,0.1,1,1,1,3,1,0,0,2.29,5,25,9,4,2,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.28,-0.172,1.54,-0.12%,-2.07,7t --- 0 out a4,7t 123 1 out a3,,NYM,40.0,W,5,2
29,46,2009-05-27,NYM,WSN,7-7,H(9),1,0.2,1,0,0,0,2,0,0,2.21,3,12,8,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.34,0.036,1.67,0.03%,0.26,7t --- 0 out a2,7t 1-- 2 out a2,,NYM,5.0,W,7,4
30,47,2009-05-29,NYM,FLA,8-8,,1,0.1,0,0,0,0,0,0,0,2.18,1,6,3,1,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.52,0.089,5.29,0.08%,0.43,8t 12- 2 out tie,8t 3 out tie,,NYM,0.0,W,2,1
31,49,2009-05-31,NYM,FLA,8-8,H(10),1,0.2,1,0,0,0,1,0,0,2.11,3,7,5,1,2,0,2,1,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,4.16,0.077,6.03,0.07%,-0.11,8t 12- 1 out a2,8t 3 out a1,,NYM,5.0,W,3,2
32,50,2009-06-01,NYM,PIT,6-6,H(11),0,0.1,1,0,0,0,1,0,0,2.08,2,11,6,1,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.64,0.066,5.06,0.06%,0.43,6b 12- 2 out a2,6b 3 out a2,,PIT,10.0,L,5,8
33,53,2009-06-05,NYM,WSN,8-8,,3,1.0,1,0,0,1,0,0,0,1.99,5,13,5,1,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,2.62,0.106,3.28,0.08%,0.49,8b --- 0 out tie,8b 3 out tie,,WSN,2.0,W,3,1
34,55,2009-06-07,NYM,WSN,8-8,,1,0.1,0,0,0,0,0,0,0,1.96,1,4,2,0,1,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.22,0.006,.28,0.00%,0.43,8b 12- 2 out a6,8b 3 out a6,,WSN,0.0,W,7,0
35,56,2009-06-09,NYM,PHI,8-8,,1,0.0,1,0,0,0,0,0,0,1.96,1,4,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.15,-0.088,3.71,-0.09%,-0.38,8t --- 0 out a1,8t 1-- 0 out a1,,NYM,inf,W,6,5
36,57,2009-06-10,NYM,PHI,11-GF(11),L(2-1),0,1.0,1,1,1,1,0,1,0,2.25,5,17,9,1,2,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.88,-0.306,1.48,-0.31%,-0.52,11t --- 0 out tie,11t end d 1,,NYM,2.0,L,4,5
37,58,2009-06-11,NYM,PHI,9-10,L(2-2),0,1.1,2,1,1,0,1,0,0,2.49,6,23,14,5,2,1,4,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.24,0.133,3.94,0.14%,0.46,9t --- 0 out tie,10t 1-- 1 out tie,,NYM,1.8181818181818181,L,3,6
38,62,2009-06-16,NYM,BAL,9-9,,4,0.0,2,2,2,0,0,0,0,3.20,2,5,3,1,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.75,-0.073,.96,-0.06%,-1.01,9b --- 0 out a4,9b 12- 0 out a4,,BAL,inf,W,6,4
39,63,2009-06-17,NYM,BAL,6-7,,0,1.0,0,0,0,0,1,0,0,3.08,3,12,7,2,1,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.51,0.119,2.02,0.10%,0.82,6b 1-- 1 out tie,7b --- 1 out tie,,BAL,0.0,L,4,6
40,65,2009-06-19,NYM,TBR,7-7,H(12),1,0.2,2,2,2,1,1,0,0,3.67,5,21,11,5,1,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.81,-0.179,2.27,-0.13%,-1.87,7t --- 0 out a3,7t --3 2 out a1,,NYM,15.0,W,5,3
41,66,2009-06-20,NYM,TBR,8-8,,0,0.0,1,0,0,1,0,0,0,3.67,2,8,4,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.91,-0.056,1.17,-0.04%,-0.64,8t --- 1 out d1,8t 12- 1 out d1,,NYM,inf,L,1,3
42,67,2009-06-21,NYM,TBR,7-7,BL(2-3),0,0.0,4,4,4,0,0,1,0,5.00,4,22,12,2,1,3,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.77,-0.566,2.26,-0.43%,-3.62,7t --- 0 out a1,7t -2- 0 out d2,,NYM,inf,L,6,10
43,70,2009-06-24,NYM,STL,9-GF,,2,1.0,0,0,0,0,0,0,0,4.82,3,10,8,1,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.48,9t --- 0 out a11,9t end a11,,NYM,0.0,W,11,0
44,72,2009-06-26,NYM,NYY,8-8,,1,0.1,0,0,0,1,0,0,0,4.76,2,10,4,2,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.03,0.001,.03,0.00%,0.22,8t 1-- 2 out d6,8t 3 out d6,,NYM,10.0,L,1,9
45,75,2009-06-29,NYM,MIL,8-GF(8),,2,1.0,3,2,2,1,1,0,0,5.22,7,16,9,2,2,1,4,2,1,0,,0,0,0,0,0,6,2,0,0,0,0,0,.02,-0.004,.03,0.00%,-1.51,8b --- 0 out d5,8b end d 7,,MIL,4.0,L,6,10
46,79,2009-07-03,NYM,PHI,7-7,,3,1.0,0,0,0,0,1,0,0,5.04,3,15,10,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.06,0.00%,0.50,7b --- 0 out d5,7b 3 out d5,,PHI,0.0,L,2,7
47,81,2009-07-05,NYM,PHI,8-GF(8),,1,1.0,0,0,0,1,1,0,0,4.88,4,18,10,4,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,.25,0.01%,0.50,8b --- 0 out d2,8b end d 2,,PHI,1.0,L,0,2
48,83,2009-07-08,NYM,LAD,6-7,H(13),2,1.2,2,0,0,1,3,0,0,4.64,8,31,20,7,5,3,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.16,0.071,.98,0.04%,0.74,6t --- 0 out a3,7t 1-- 2 out a3,,NYM,2.5,W,5,4
49,85,2009-07-10,NYM,CIN,8-8,,1,1.0,0,0,0,0,1,0,0,4.50,3,7,5,2,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,.14,0.01%,0.48,8t --- 0 out d3,8t 3 out d3,,NYM,0.0,L,0,3
50,87,2009-07-12,NYM,CIN,8-8,H(14),1,1.0,1,0,0,0,1,0,0,4.37,4,23,17,1,3,3,0,0,0,0,,3,2,0,0,0,4,0,0,0,0,0,0,2.25,0.075,1.46,0.03%,0.32,8t 123 0 out a5,8t 3 out a3,,NYM,1.0,W,9,7
51,88,2009-07-16,NYM,ATL,7-7,,3,0.0,2,0,0,0,0,0,0,4.37,2,7,3,1,0,1,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.67,-0.232,2.19,-0.12%,-1.39,7b 1-- 1 out tie,7b 12- 1 out d1,,ATL,inf,L,3,5
52,91,2009-07-19,NYM,ATL,8-GF(8),,2,1.0,0,0,0,2,0,0,0,4.25,5,21,12,4,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.49,8b --- 0 out d6,8b end d 6,,ATL,2.0,L,1,7
53,93,2009-07-21,NYM,WSN,8-GF(8),,1,1.0,0,0,0,0,0,0,0,4.14,3,15,9,2,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,.02,0.00%,0.49,8b --- 0 out d4,8b end d 4,,WSN,0.0,L,0,4
54,94,2009-07-22,NYM,WSN,8-8,,0,0.1,0,0,0,0,0,0,0,4.10,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.23,0.006,.11,0.00%,0.23,8b --- 0 out d2,8b --- 1 out d2,,WSN,0.0,L,1,3
55,95,2009-07-24,NYM,HOU,8-GF(8),,1,0.1,0,0,0,0,0,0,1,4.06,2,6,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.40,0.007,.13,0.00%,0.10,8b --- 2 out d1,8b end d 1,,HOU,0.0,L,4,5
56,100,2009-07-30,NYM,COL,8-8,,5,1.0,0,0,0,1,1,0,0,3.96,4,19,12,3,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.003,.04,0.00%,0.48,8t --- 0 out a7,8t 3 out a7,1,NYM,1.0,W,7,0
57,101,2009-07-30,NYM,COL,9-GF,,-1,1.0,0,0,0,0,1,0,0,3.86,3,15,11,1,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,0.016,.14,0.01%,0.48,9t --- 0 out d2,9t end d 2,2,NYM,0.0,L,2,4
58,103,2009-08-01,NYM,ARI,6-6,BS(4),1,1.0,2,2,2,1,1,0,0,4.20,6,21,14,2,4,2,2,0,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.82,-0.214,.64,-0.05%,-1.52,6t --- 0 out a2,6t 3 out tie,,NYM,3.0,W,9,6
59,105,2009-08-03,NYM,ARI,6-7,,1,2.0,1,0,0,1,1,0,0,4.01,8,33,20,8,2,3,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.01,0.090,.34,0.02%,0.97,6t --- 0 out d2,7t 3 out d1,,NYM,1.0,L,5,6
60,107,2009-08-05,NYM,STL,7-GF,S(1),1,3.0,1,0,0,0,3,0,0,3.74,10,30,22,6,5,3,4,1,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,.03,0.008,.01,0.00%,1.45,7t --- 0 out a7,9t end a 9,,NYM,0.3333333333333333,W,9,0
