Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,62,2007-06-08,ARI,BOS,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,3,14,9,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,9t --- 0 out d7,9t end d 7,,ARI,0.0,L,3,10
2,64,2007-06-10,ARI,BOS,7-7,H(1),1,1.0,1,0,0,0,0,0,0,0.00,4,10,7,2,0,3,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.24,0.100,3.17,0.09%,0.56,7t --- 0 out a1,7t 3 out a1,,ARI,1.0,W,5,1
3,66,2007-06-13,ARI,NYY,8-GF(8),,2,1.0,0,0,0,0,1,0,0,0.00,3,9,6,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.03,0.00%,0.56,8b --- 0 out d5,8b end d 5,,NYY,0.0,L,2,7
4,69,2007-06-16,ARI,BAL,7-7,H(2),2,0.1,1,1,1,1,0,0,0,2.70,3,9,5,1,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.61,-0.073,2.32,-0.06%,-0.41,7b --- 0 out a2,7b 12- 1 out a2,,BAL,20.0,W,8,4
5,71,2007-06-18,ARI,TBD,7-7,,1,1.0,0,0,0,0,0,0,0,2.08,2,11,5,2,1,0,2,2,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.26,0.024,.38,0.02%,0.96,7t 1-- 0 out d4,7t 3 out d4,,ARI,0.0,L,2,10
6,72,2007-06-19,ARI,TBD,5-5,,0,1.0,1,1,1,2,2,0,0,3.38,6,25,13,4,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,.35,-0.019,.51,-0.02%,-0.44,5t --- 0 out d5,5t 3 out d6,,ARI,3.0,W,10,8
7,74,2007-06-22,ARI,BAL,7-7,,2,1.0,1,0,0,1,1,0,0,2.84,5,15,9,2,2,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.005,.14,0.00%,0.56,7t --- 0 out d6,7t 3 out d6,,ARI,2.0,L,1,7
8,76,2007-06-24,ARI,BAL,8-8,,1,0.1,1,1,1,1,0,1,0,4.05,3,14,8,3,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.40,-0.021,.59,-0.02%,-1.02,8t --- 0 out a5,8t 1-- 1 out a4,,ARI,20.0,W,8,3
9,77,2007-06-25,ARI,LAD,9-GF,,0,1.0,2,3,3,2,1,0,0,7.04,7,31,17,5,2,1,3,1,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,.06,-0.016,.11,-0.02%,-2.44,9t --- 0 out d4,9t end d 7,,ARI,4.0,L,1,8
10,121,2007-08-15,ARI,FLA,8-8,H(3),50,1.0,0,0,0,1,0,0,0,6.23,3,7,3,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.04,0.053,1.83,0.06%,0.51,8b --- 0 out a3,8b 3 out a3,,FLA,1.0,W,9,6
11,124,2007-08-18,ARI,ATL,9-GF,,2,1.0,4,3,3,0,0,1,0,8.38,7,28,20,1,1,1,6,1,1,0,,0,0,0,0,0,7,2,0,0,0,0,0,.01,0.000,.02,0.00%,-2.48,9b --- 0 out a9,9b end a 6,,ATL,4.0,W,12,6
12,138,2007-09-02,ARI,COL,8-8,,14,0.1,0,0,0,0,1,0,0,8.10,1,5,3,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.98,0.026,2.12,0.03%,0.26,8t --- 0 out d1,8t --- 1 out d1,,ARI,0.0,L,3,4
