,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,29,4,2001-04-05,ATL,NYM,GS-4,L(0-1),99,4.0,8,4,3,2,3,0,0,6.75,22,86,53,14,6,10,7,5,0,0,33.0,,,2,0,0,19,1,0,0,0,0,0,0.97,-0.207,1.05,-0.13%,-1.83,1t start tie,4t 3 out d4,,ATL,2.5,L,1,7
1,30,10,2001-04-12,ATL,NYM,9-9,,6,1.0,0,0,0,1,1,0,0,5.4,3,17,8,2,3,0,1,0,0,0,,0.0,0.0,0,1,0,2,0,0,0,0,0,0,2.09,0.13699999999999998,2.14,0.08%,0.5,9b --- 0 out tie,9b 3 out tie,,NYM,1.0,L,0,1
2,31,13,2001-04-15,ATL,PHI,GS-7,W(1-1),2,7.0,4,0,0,3,4,0,0,2.25,27,98,58,17,13,11,9,3,0,0,70.0,,,0,0,0,24,0,0,0,1,0,0,1.0,0.47700000000000004,0.98,0.28%,3.79,1t start tie,7t 3 out a1,,ATL,1.0,W,3,0
3,32,17,2001-04-20,ATL,PHI,7-7,L(1-2),4,0.1,2,4,4,2,0,0,0,5.11,5,26,13,7,1,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2.26,-0.275,2.69,-0.20%,-2.08,7b --- 0 out tie,7b 123 1 out d1,,PHI,40.0,L,3,8
4,33,21,2001-04-24,ATL,HOU,GS-4,L(1-3),3,3.0,6,7,7,5,2,0,0,8.22,20,73,40,9,5,3,10,5,0,0,16.0,,,0,0,0,14,2,0,0,0,1,0,0.88,-0.36700000000000005,0.82,-0.21%,-4.73,1b start a 1,4b 1-- 0 out d4,,HOU,3.6666666666666665,L,6,11
5,34,26,2001-04-29,ATL,ARI,GS-4,L(1-4),4,3.1,7,4,4,1,0,1,0,8.68,17,63,41,11,3,6,10,4,1,0,29.0,,,0,0,0,15,2,0,0,0,0,0,0.99,-0.212,0.99,-0.13%,-1.98,1b start a 1,4b 1-3 1 out tie,,ARI,2.5806451612903225,L,5,7
6,35,31,2001-05-05,ATL,STL,GS-5,,5,5.0,6,4,4,2,5,0,0,8.37,23,92,55,15,10,6,10,4,3,0,42.0,,,0,0,0,21,1,0,0,0,0,0,0.81,-0.131,0.69,-0.07%,-1.29,1t start tie,5t 3 out tie,,ATL,1.6,W,6,5
7,36,36,2001-05-11,ATL,LAD,GS-8,W(2-4),5,7.2,5,0,0,3,6,0,0,6.32,30,107,66,19,9,9,12,4,1,0,72.0,,,0,0,0,27,0,0,0,1,0,0,0.78,0.397,0.72,0.22%,3.44,1b start tie,8b 12- 2 out a5,,LAD,1.1111111111111112,W,5,1
8,37,40,2001-05-16,ATL,COL,7-7,,4,1.0,2,0,0,1,0,0,0,6.12,5,16,10,3,2,4,0,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,1,0,0,2.62,0.091,2.31,0.05%,0.54,7t --- 0 out tie,7t 3 out tie,,ATL,3.0,W,6,4
9,38,43,2001-05-19,ATL,SFG,GS-6,,2,6.0,11,2,2,1,4,1,0,5.63,29,109,71,18,12,10,14,7,1,0,45.0,,,0,1,1,28,2,0,0,0,0,0,1.29,0.147,1.18,0.08%,1.25,1t start tie,6t 3 out tie,,ATL,2.0,L,3,6
10,39,51,2001-05-29,ATL,MON,GS-6,W(3-4),9,6.0,7,4,4,1,6,1,0,5.68,26,95,58,14,12,9,10,5,0,0,47.0,,,0,0,0,25,1,0,0,1,0,0,1.22,-0.003,1.23,0.00%,-0.75,1t start tie,6t 3 out a2,,ATL,1.3333333333333333,W,7,4
11,40,58,2001-06-07,ATL,MON,GS-6,,8,6.0,3,1,1,2,5,0,0,5.19,21,76,49,12,9,11,3,2,0,0,65.0,,,0,0,0,19,0,0,0,2,0,0,1.39,0.25,1.8,0.19%,2.19,1b start tie,6b 3 out a1,,MON,0.8333333333333334,W,4,3
12,41,63,2001-06-12,ATL,TOR,GS-9,W(4-4),4,8.0,5,0,0,2,4,0,0,4.47,27,115,73,11,13,9,12,6,3,0,74.0,,,0,1,0,25,3,0,0,2,0,0,1.1,0.373,1.54,0.31%,2.97,1b start tie,9b -23 0 out a3,,TOR,0.875,W,3,0
13,42,67,2001-06-17,ATL,BOS,GS-5,L(4-5),4,5.0,6,4,4,3,6,0,0,4.69,25,107,67,12,22,8,8,3,0,0,42.0,,,0,0,0,20,3,0,0,0,1,1,0.8,-0.14300000000000002,1.1,-0.12%,-1.29,1t start tie,5t 3 out d4,,ATL,1.8,L,3,4
14,43,72,2001-06-22,ATL,NYM,GS-7,W(5-5),4,6.2,7,1,1,2,5,1,0,4.37,27,110,68,20,10,12,8,2,2,0,59.0,,,0,1,1,25,0,0,0,1,0,0,1.32,0.28800000000000003,1.63,0.21%,2.06,1b start a 2,7b 12- 2 out a2,,NYM,1.4516129032258065,W,10,1
15,44,77,2001-06-27,ATL,PHI,GS-6,W(6-5),4,5.0,3,4,2,2,4,0,0,4.32,21,78,46,19,6,11,4,1,0,0,51.0,,,0,0,0,19,1,0,0,0,0,2,0.92,0.066,1.84,0.08%,-0.29,1b start tie,6b 123 0 out a6,,PHI,1.0,W,10,4
16,45,83,2001-07-04,ATL,PHI,GS-6,L(6-6),6,5.1,8,4,4,2,5,1,0,4.48,26,107,72,20,9,12,8,4,0,0,39.0,,,1,0,0,24,0,0,0,1,0,1,1.26,-0.217,2.73,-0.28%,-1.31,1t start tie,6t 1-- 1 out d3,,ATL,1.9607843137254903,L,1,4
17,46,91,2001-07-15,ATL,TBD,GS-5,L(6-7),10,4.1,7,7,7,3,4,2,0,5.0,22,87,51,11,8,6,9,6,0,0,22.0,,,2,0,0,19,2,0,0,0,0,0,0.66,-0.304,1.04,-0.29%,-4.58,1t start tie,5t --- 1 out d7,,ATL,2.4390243902439033,L,1,9
18,47,97,2001-07-21,ATL,MON,GS-5,,5,4.1,3,1,1,0,3,0,1,4.85,15,72,50,15,8,6,5,3,1,0,56.0,,,0,0,0,14,2,0,0,1,0,0,0.79,0.125,1.34,0.13%,1.42,1t start tie,5t --- 1 out d1,,ATL,0.7317073170731708,W,2,1
19,48,139,2001-09-05,ATL,MON,7-7,,45,0.0,3,3,3,0,0,0,0,5.16,3,7,5,1,0,0,3,3,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.6,-0.076,1.02,-0.08%,-2.01,7b --- 0 out d2,7b 12- 0 out d3,,MON,inf,L,4,10
20,49,145,2001-09-19,ATL,PHI,7-7,,13,0.2,0,0,0,1,1,0,0,5.12,3,11,6,2,2,1,0,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,0.43,0.016,1.92,0.04%,0.73,7b 12- 0 out d3,7b 123 2 out d3,,PHI,5.0,L,2,5
21,50,148,2001-09-22,ATL,NYM,2-4,L(6-8),2,3.0,5,1,1,0,1,0,0,5.05,13,42,29,9,2,4,8,5,2,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,1.09,0.027000000000000003,3.18,0.05%,0.5,2b --- 0 out tie,4b 3 out d1,,NYM,1.6666666666666667,L,3,7
22,51,155,2001-09-29,ATL,NYM,8-GF,W(7-8),6,2.0,0,0,0,0,2,0,0,4.94,6,15,11,3,3,2,2,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.09,0.013999999999999999,0.22,0.02%,1.08,8t --- 0 out d4,9t end d 4,,ATL,0.0,W,8,5
23,52,156,2001-09-30,ATL,NYM,8-8,,0,0.2,0,0,0,0,0,0,0,4.91,2,10,7,2,1,1,1,0,0,0,,2.0,1.0,0,0,0,1,0,0,0,0,1,0,0.03,-0.002,0.06,0.00%,0.23,8t 1-3 1 out d5,8t 3 out d6,,ATL,0.0,L,6,9
24,53,3,2002-04-04,LAN,SFG,GS-6,L(0-1),99,5.2,5,3,3,0,6,0,2,4.76,24,87,59,15,8,5,11,5,0,0,53.0,,,0,0,0,21,1,0,0,0,1,0,1.3,-0.106,1.28,-0.06%,-0.68,1t start tie,6t 12- 2 out d3,,LAD,0.9615384615384616,L,0,3
25,54,8,2002-04-10,LAN,SFG,GS-6,,5,6.0,3,1,1,0,3,1,0,3.09,20,55,41,8,8,9,8,1,1,0,65.0,,,0,1,1,19,0,0,0,0,0,0,0.79,0.152,0.95,0.11%,1.83,1b start tie,6b 3 out d1,,SFG,0.5,L,1,2
26,55,13,2002-04-15,LAN,COL,CG,W(1-1),4,9.0,5,2,2,1,5,1,0,2.61,34,129,86,25,14,17,11,4,2,0,73.0,,,1,0,0,33,1,0,0,0,0,1,0.68,0.32299999999999995,0.7,0.20%,3.13,1b start a 5,9b 3 out a3,,COL,0.6666666666666666,W,5,2
27,56,18,2002-04-20,LAN,SDP,GS-9,W(2-1),4,8.2,6,1,1,2,5,0,0,2.15,32,110,73,23,12,14,11,5,0,0,71.0,,,1,0,0,30,0,0,0,3,0,1,0.83,0.366,1.01,0.27%,2.63,1t start tie,9t 1-3 2 out a3,,LAD,0.9756097560975612,W,4,1
28,57,23,2002-04-26,LAN,CHC,SHO,W(3-1),5,9.0,1,0,0,0,6,0,0,1.64,27,91,62,20,11,12,9,3,3,0,91.0,,,0,0,0,27,0,0,0,1,0,0,0.4,0.268,0.48,0.19%,4.37,1b start tie,9b 3 out a10,,CHC,0.1111111111111111,W,10,0
29,58,28,2002-05-02,LAN,CIN,GS-8,,5,8.0,5,2,2,0,5,1,0,1.75,29,95,71,22,11,15,9,4,0,0,69.0,,,1,0,0,27,2,0,0,0,1,1,1.17,0.20800000000000002,1.43,0.15%,1.64,1t start tie,8t 3 out tie,,LAD,0.625,W,3,2
30,59,33,2002-05-08,LAN,ATL,GS-8,W(4-1),5,8.0,5,1,1,3,5,0,0,1.66,31,96,62,14,7,8,15,6,1,0,70.0,,,3,0,0,26,2,0,0,0,1,0,1.24,0.431,1.49,0.31%,3.05,1b start tie,8b 3 out a2,,ATL,1.0,W,3,1
