Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
282,3,2000-04-06,HOU,PIT,7-7,,99,1.0,2,2,1,0,2,0,0,9.00,5,23,16,2,3,0,3,2,1,0,,0,0,1,0,0,5,1,0,0,0,0,0,.14,-0.023,.16,-0.02%,-1.45,7b --- 0 out d4,7b 3 out d6,,PIT,2.0,L,1,10
283,5,2000-04-08,HOU,PHI,7-8,H(1),1,0.2,1,0,0,0,0,0,0,5.40,2,4,3,0,0,0,2,2,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.63,0.061,1.51,0.03%,0.20,7t 1-- 1 out a1,8t 1-- 0 out a3,,HOU,5.0,W,8,5
284,9,2000-04-12,HOU,STL,7-8,W(1-0),3,1.1,0,0,0,0,2,0,0,3.00,4,18,10,4,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.28,0.138,1.17,0.08%,0.88,7t --- 0 out tie,8t --- 1 out a2,,HOU,0.0,W,7,5
285,13,2000-04-18,HOU,LAD,7-8,,5,1.0,0,0,0,0,1,0,0,2.25,3,14,7,0,1,1,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.41,0.032,.35,0.02%,0.79,7b 1-- 1 out d2,8b --- 1 out d2,,LAD,0.0,L,3,5
286,16,2000-04-22,HOU,SDP,10-GF(10),L(1-1),3,1.0,2,2,2,2,3,0,0,5.40,7,30,13,2,6,0,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.65,-0.387,2.21,-0.19%,-1.40,10t --- 0 out tie,10t end d 2,,HOU,4.0,L,6,8
287,19,2000-04-26,HOU,CHC,9-GF,,3,1.0,3,4,4,2,1,1,0,10.50,8,33,17,2,4,1,4,2,0,0,,0,0,1,0,0,5,1,0,0,0,1,0,.20,-0.084,.17,-0.04%,-3.40,9t --- 0 out d2,9t end d 6,,HOU,5.0,L,8,13
288,23,2000-04-30,HOU,MIL,7-7,,3,0.1,0,0,0,0,0,0,0,9.95,1,4,3,1,1,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.21,0.064,1.77,0.03%,0.34,7b -2- 2 out tie,7b 3 out tie,,MIL,0.0,L,3,4
289,29,2000-05-06,HOU,LAD,5-5,,5,0.2,0,0,0,0,0,0,0,9.00,3,6,4,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,.20,0.005,.14,0.00%,0.28,5b --- 1 out d5,5b 3 out d5,,LAD,0.0,L,6,9
290,30,2000-05-07,HOU,LAD,8-8,,0,0.2,1,0,0,0,1,0,0,8.22,3,9,8,0,3,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.33,0.029,1.44,0.01%,0.19,8b --- 0 out tie,8b -2- 2 out tie,,LAD,5.0,W,14,8
291,31,2000-05-08,HOU,COL,8-8,,0,0.0,0,0,0,1,0,0,0,8.22,1,4,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,1,0,0,0,.93,-0.001,.64,0.00%,-0.17,8t -23 1 out d2,8t 123 1 out d2,,HOU,inf,L,1,3
292,32,2000-05-09,HOU,COL,6-6,W(2-1),0,1.0,0,0,0,0,1,0,0,7.27,3,11,8,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.79,0.064,.51,0.03%,0.60,6t --- 0 out d1,6t 3 out d1,,HOU,0.0,W,13,8
293,34,2000-05-12,HOU,CIN,11-GF(11),,2,0.2,1,0,0,0,0,0,0,6.75,3,7,5,0,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.003,.05,0.00%,0.32,11t --- 1 out d4,11t end d 4,,HOU,5.0,L,3,7
294,35,2000-05-13,HOU,CIN,8-8,BS(1),0,0.1,2,2,2,0,1,2,0,8.38,3,14,8,2,0,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.88,-0.293,1.48,-0.14%,-1.72,8t --- 0 out a2,8t --- 1 out tie,,HOU,20.0,L,7,8
295,38,2000-05-16,HOU,MIL,9-9,,2,1.0,0,0,0,0,0,0,0,7.59,3,12,6,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.88,0.146,1.08,0.05%,0.54,9b --- 0 out tie,9b 3 out tie,,MIL,0.0,L,5,6
296,39,2000-05-19,HOU,MON,8-8,,2,0.1,0,0,0,0,1,0,0,7.36,1,3,3,1,1,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.74,0.018,.38,0.01%,0.26,8b 1-- 2 out d1,8b 3 out d1,,MON,0.0,L,2,3
297,43,2000-05-22,HOU,MIL,8-GF(8),,2,1.0,0,0,0,1,1,0,0,6.75,5,19,10,2,4,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.05,0.002,.02,0.00%,0.54,8b --- 0 out d5,8b end d 5,2,MIL,1.0,L,1,6
298,47,2000-05-26,HOU,ATL,8-8,H(2),3,0.1,0,0,0,0,0,0,0,6.57,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.18,0.059,.53,0.01%,0.28,8t --- 0 out a1,8t --- 1 out a1,,HOU,0.0,W,5,4
299,50,2000-05-29,HOU,COL,6-6,H(3),2,0.1,0,0,0,0,0,0,0,6.39,1,3,3,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.55,0.057,.83,0.01%,0.49,6b 12- 1 out a3,6b 1-3 2 out a3,,COL,0.0,L,7,8
300,51,2000-05-30,HOU,COL,8-8,,0,0.0,0,0,0,1,0,0,0,6.39,1,6,2,1,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,3.90,-0.127,1.07,-0.02%,-1.00,8b 123 1 out tie,8b 123 1 out d1,,COL,inf,L,7,10
301,55,2000-06-04,HOU,CHW,8-8,,4,1.0,0,0,0,0,1,0,0,5.93,3,18,10,2,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,.03,0.00%,0.60,8t --- 0 out d4,8t 3 out d4,,HOU,0.0,L,3,7
302,57,2000-06-06,HOU,MIN,8-8,BS(2),1,0.1,2,1,1,0,0,0,0,6.43,3,14,8,3,2,1,2,2,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,2.20,-0.351,.41,-0.04%,-1.76,8t -23 1 out a1,8t 1-- 2 out d2,,HOU,20.0,L,1,3
303,61,2000-06-10,HOU,SDP,7-7,,3,1.0,2,2,0,2,1,0,0,6.00,8,26,12,3,1,2,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,1,.00,-0.001,.00,0.00%,-1.48,7b --- 0 out d9,7b 3 out d11,,SDP,4.0,L,3,13
304,65,2000-06-15,HOU,COL,7-7,,4,0.1,0,0,0,0,0,0,0,5.87,1,2,2,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.96,0.061,.28,0.01%,0.44,7b -2- 1 out tie,7b -2- 2 out tie,,COL,0.0,L,4,5
305,66,2000-06-16,HOU,SFG,8-GF(8),,0,1.0,2,0,0,1,0,0,0,5.51,6,13,7,1,1,2,3,2,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,.03,0.001,.00,0.00%,0.52,8b --- 0 out d5,8b end d 5,,SFG,3.0,L,4,7
