Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,89,2001-07-16,DET,CIN,GS-6,L(0-1),99,5.1,7,5,5,2,3,3,0,8.44,23,95,60,21,5,7,11,5,3,0,35,,,1,1,1,21,2,0,0,1,0,0,.73,-0.123,.05,-0.01%,-2.41,1b start tie,6b -2- 1 out d5,,CIN,1.7647058823529413,L,1,9
2,95,2001-07-21,DET,CLE,GS-6,L(0-2),4,5.1,6,4,4,2,4,0,1,7.59,25,93,60,20,6,8,10,6,1,0,42,,,1,0,0,22,1,0,0,0,0,0,1.07,-0.024,.12,0.00%,0.33,1b start tie,6b 12- 1 out tie,,CLE,1.5686274509803924,L,4,8
3,100,2001-07-27,DET,CLE,GS-7,L(0-3),5,6.1,9,6,4,3,6,1,0,6.88,29,98,67,24,6,10,10,5,0,0,38,,,1,0,0,24,2,1,0,3,1,1,.97,-0.325,.02,0.00%,-2.39,1t start tie,7t --3 1 out d2,,DET,1.9672131147540985,L,4,7
4,106,2001-08-02,DET,SEA,GS-7,L(0-4),5,7.0,6,2,2,2,4,0,1,5.63,29,106,61,17,5,10,12,6,1,0,59,,,0,0,0,24,3,0,0,1,1,0,1.09,0.146,.01,0.00%,1.56,1t start tie,7t 3 out d1,,DET,1.1428571428571428,L,1,2
5,111,2001-08-07,DET,TEX,GS-7,,4,6.2,5,3,3,0,3,2,0,5.28,25,92,63,21,4,8,14,3,0,0,55,,,0,0,0,25,0,0,0,0,0,0,.91,0.008,.00,0.00%,0.74,1b start a 1,7b 1-- 2 out tie,,TEX,0.8064516129032258,W,7,3
6,116,2001-08-12,DET,KCR,GS-5,L(0-5),4,5.0,8,6,6,3,2,0,0,6.06,25,82,47,11,2,9,11,7,1,0,26,,,1,1,1,22,2,1,1,0,0,0,.61,-0.284,.00,0.00%,-3.09,1b start tie,5b 3 out d5,,KCR,2.2,L,4,6
7,121,2001-08-18,DET,KCR,GS-6,,5,5.2,6,2,0,0,2,0,0,5.23,23,87,57,15,5,7,14,7,3,0,55,,,0,0,0,23,2,0,0,1,0,1,.86,0.086,.00,0.00%,0.55,1t start tie,6t 1-3 2 out a2,,DET,1.1538461538461537,L,4,8
8,125,2001-08-22,DET,SEA,1-3,,3,1.1,7,6,6,1,1,0,1,6.33,13,42,25,10,1,4,6,6,0,0,,1,0,0,0,0,11,3,0,0,0,0,0,.15,-0.024,.00,0.00%,-4.60,1b 1-- 2 out d6,3b 1-3 0 out d10,,SEA,7.2727272727272725,L,1,16
9,128,2001-08-25,DET,OAK,8-GF(8),,2,1.0,1,1,1,1,0,0,1,6.39,5,20,10,4,0,2,1,1,0,0,,0,0,1,0,0,3,0,0,0,1,0,0,.08,-0.006,.00,0.00%,-0.46,8b --- 0 out d4,8b end d 5,,OAK,2.0,L,1,6
10,135,2001-09-02,DET,TOR,5-5,,7,1.0,1,0,0,0,1,0,0,6.25,4,14,10,4,3,2,1,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.13,-0.002,.00,0.00%,0.19,5b -2- 0 out d6,5b 3 out d7,,TOR,1.0,L,0,11
11,137,2001-09-04,DET,CHW,GS-6,L(0-6),1,5.1,9,4,4,2,3,1,0,6.30,26,89,55,19,3,10,11,6,0,0,35,,,0,0,0,23,2,0,0,0,0,0,.61,-0.130,.00,0.00%,-1.56,1b start tie,6b 12- 1 out d4,2,CHW,2.1568627450980395,L,0,4
