,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,1,2003-03-31,MIA,PHI,3-3,,99,0.1,1,0,0,1,1,0,0,0.0,3,16,7,3,2,1,0,0,0,0,,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0.42,-0.013999999999999999,0.45,-0.01%,-0.39,3t -23 2 out d6,3t 3 out d7,,FLA,20.0,L,5,8
1,2,2,2003-04-02,MIA,PHI,9-GF,,1,1.0,0,0,0,3,2,0,0,0.0,6,27,14,6,3,0,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.51,9t --- 0 out d6,9t end d 6,,FLA,3.0,L,2,8
2,3,4,2003-04-04,MIA,ATL,8-GF(8),,1,1.0,4,3,2,0,0,0,0,7.71,7,13,9,2,0,2,5,3,0,0,,0.0,0.0,0,0,0,7,2,0,0,0,0,0,0.29,-0.055,0.29,-0.03%,-2.48,8b --- 0 out d2,8b end d 5,,ATL,4.0,L,7,12
3,4,5,2003-04-05,MIA,ATL,7-7,,0,1.0,1,0,0,0,0,0,0,5.4,4,12,7,1,0,3,1,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.52,7b --- 0 out a15,7b 3 out a15,,ATL,1.0,W,17,1
4,5,29,2003-04-30,MIA,ARI,5-6,,24,2.0,1,0,0,0,1,0,0,3.38,7,28,19,6,2,2,4,0,2,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.24,0.027999999999999997,0.22,0.02%,1.12,5b --- 0 out d4,6b 3 out d4,,ARI,0.5,L,3,7
5,6,32,2003-05-03,MIA,HOU,1-4,,2,4.0,3,0,0,2,1,0,0,1.93,16,55,37,8,8,6,7,2,1,0,,3.0,0.0,0,0,0,14,2,0,1,1,0,0,0.98,0.233,0.82,0.12%,3.98,1b 123 0 out d3,4b 3 out d1,,HOU,1.25,L,2,5
6,7,34,2003-05-06,MIA,SFG,9-GF,,2,0.1,0,0,0,1,1,0,0,1.86,2,7,3,1,2,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.75,0.015,0.57,0.01%,0.44,9t 12- 2 out d2,9t end d 2,,FLA,10.0,L,2,4
7,8,35,2003-05-07,MIA,SFG,6-7,,0,2.0,2,1,0,1,3,0,0,1.54,9,33,21,7,4,3,2,1,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.78,-0.024,0.55,-0.01%,0.02,6t --- 0 out d2,7t 3 out d2,,FLA,1.5,L,2,3
8,9,40,2003-05-12,MIA,SDP,GS-3,,4,3.0,5,0,0,0,3,0,1,1.23,14,63,39,13,8,3,7,5,0,0,52.0,,,0,1,0,13,0,0,0,0,0,0,1.15,0.15,0.6,0.05%,1.41,1b start tie,3b 3 out tie,,SDP,1.6666666666666667,W,6,1
9,10,44,2003-05-17,MIA,LAD,7-7,,4,0.1,0,0,0,0,1,0,0,1.2,1,6,4,2,1,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.38,0.011000000000000001,0.2,0.00%,0.23,7b 1-- 2 out d2,7b 3 out d2,,LAD,0.0,L,1,4
