,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,5,2011-04-05,SEA,TEX,GS-6,L(0-1),99,6.0,5,3,3,1,4,0,0,4.5,24,85,58,15,8,7,12,2,1,0,53,,,0,0,0,22,3,1,0,0,0,0,0.79,-0.006999999999999999,1.02,-0.01%,0.28,1b start tie,6b 3 out d3,,TEX,1.0,L,2,3,,
1,2,11,2011-04-12,SEA,TOR,GS-8,W(1-1),6,7.1,5,2,1,2,7,0,0,2.7,29,103,74,21,18,4,16,6,5,0,67,,,0,0,0,27,0,0,0,0,0,0,0.99,0.131,0.85,0.07%,1.13,1t start tie,8t 1-- 1 out a1,,SEA,0.9859154929577464,W,3,2,,
2,3,16,2011-04-17,SEA,KCR,GS-6,W(2-1),4,6.0,3,1,1,4,5,0,0,2.33,23,94,62,16,12,6,8,0,2,0,63,,,0,1,0,17,1,0,1,1,1,0,1.13,0.19,0.75,0.08%,1.97,1b start tie,6b 3 out tie,,KCR,1.1666666666666667,W,3,2,,
3,4,21,2011-04-22,SEA,OAK,GS-6,W(3-1),4,6.0,5,0,0,2,5,0,0,1.78,25,97,66,15,12,10,8,2,2,0,65,,,0,0,0,23,0,0,0,0,0,0,1.14,0.304,0.95,0.15%,2.7,1t start tie,6t 3 out a4,,SEA,1.1666666666666667,W,4,0,,
4,5,26,2011-04-28,SEA,DET,GS-6,W(4-1),5,6.0,4,2,2,3,9,0,0,2.01,25,101,67,15,9,3,10,3,2,0,62,,,0,0,0,22,2,0,0,0,0,0,1.2,0.158,0.96,0.08%,1.07,1b start tie,6b 3 out a2,,DET,1.1666666666666667,W,7,2,,
5,6,31,2011-05-04,SEA,TEX,GS-7,L(4-2),5,7.0,7,4,4,0,9,2,0,2.58,27,97,77,15,16,6,12,3,3,0,56,,,0,1,0,27,1,0,0,0,0,0,0.74,-0.168,0.89,-0.12%,-0.85,1t start tie,7t 3 out d2,,SEA,1.0,L,2,5,,
6,7,36,2011-05-10,SEA,BAL,GS-6,,5,6.0,7,3,3,1,6,1,0,2.84,26,100,72,19,12,8,11,1,1,0,51,,,0,0,0,25,1,0,0,0,0,0,1.11,-0.10400000000000001,1.0,-0.06%,0.07,1b start tie,6b 3 out d1,,BAL,1.3333333333333333,L,6,7,,
7,8,40,2011-05-16,SEA,MIN,GS-7,W(5-2),5,7.0,3,0,0,0,7,0,1,2.45,26,99,70,17,15,9,9,5,2,0,78,,,0,0,0,25,0,0,0,0,0,1,0.9,0.34600000000000003,0.61,0.14%,3.16,1t start tie,7t 3 out a4,,SEA,0.42857142857142855,W,5,2,,
8,9,45,2011-05-21,SEA,SDP,GS-7,W(6-2),4,7.0,2,0,0,1,9,0,0,2.16,24,99,69,14,14,5,9,2,3,0,81,,,1,0,0,23,1,0,0,0,0,0,0.8,0.29100000000000004,0.76,0.17%,2.98,1b start tie,7b 3 out a4,,SDP,0.42857142857142855,W,4,0,,
9,10,50,2011-05-27,SEA,NYY,GS-5,,5,5.0,3,3,3,5,5,1,0,2.42,23,96,55,19,9,3,10,3,0,0,49,,,2,0,0,18,0,0,0,0,0,0,0.94,-0.109,1.14,-0.08%,-0.75,1t start tie,5t 3 out d3,,SEA,1.6,W,4,3,,
10,11,55,2011-06-01,SEA,BAL,GS-7,,4,7.0,6,1,1,1,7,1,0,2.3,27,106,74,17,17,6,13,4,2,0,67,,,0,1,0,26,0,0,0,0,0,0,1.08,0.305,1.4,0.24%,2.16,1t start tie,7t 3 out tie,,SEA,1.0,L,1,2,,
11,12,60,2011-06-06,SEA,CHW,GS-7,L(6-3),4,7.0,5,2,2,2,3,1,1,2.33,27,95,63,11,7,7,14,6,1,0,60,,,0,0,0,24,2,0,0,1,0,0,0.88,0.111,1.22,0.09%,1.72,1b start tie,7b 3 out d2,,CHW,1.0,L,1,3,,
12,13,65,2011-06-11,SEA,DET,GS-6,L(6-4),4,5.1,8,6,5,1,4,1,1,2.72,26,85,56,13,6,6,14,6,1,0,33,,,0,0,0,24,0,1,0,0,0,0,0.61,-0.233,0.84,-0.19%,-2.47,1b start tie,6b 1-- 1 out d4,,DET,1.7647058823529411,L,1,8,,
13,14,70,2011-06-17,SEA,PHI,GS-6,W(7-4),5,6.0,2,1,1,3,5,0,1,2.64,23,92,56,20,7,6,8,0,1,0,66,,,0,1,0,19,0,0,0,0,0,0,1.06,0.243,1.36,0.19%,1.7,1t start tie,6t 3 out a2,,SEA,0.8333333333333334,W,4,2,,
14,15,75,2011-06-23,SEA,WSN,GS-7,,5,7.0,4,0,0,1,9,0,0,2.45,26,97,70,12,17,3,13,3,1,0,77,,,0,0,0,25,2,0,0,0,0,1,1.36,0.42700000000000005,1.65,0.31%,3.2,1b start tie,7b 3 out tie,,WSN,0.7142857142857143,L,0,1,,
15,16,80,2011-06-28,SEA,ATL,GS-7,L(7-5),4,6.1,4,5,4,5,5,1,0,2.65,27,90,53,13,14,5,12,2,3,0,47,,,0,1,0,22,0,0,0,1,0,1,1.27,-0.071,1.41,-0.05%,-0.36,1t start tie,7t 123 1 out a1,,SEA,1.475409836065574,L,4,5,,
16,17,85,2011-07-04,SEA,OAK,GS-6,W(8-5),5,6.0,2,1,1,2,7,0,0,2.58,21,92,60,13,9,5,7,2,4,0,69,,,0,0,0,19,0,0,0,1,0,0,1.0,0.195,1.1,0.13%,1.95,1b start tie,6b 3 out tie,,OAK,0.6666666666666666,W,2,1,,
17,18,90,2011-07-09,SEA,LAA,GS-5,L(8-6),4,5.0,6,7,7,2,7,2,0,3.03,23,92,60,20,13,5,9,1,0,0,32,,,0,0,0,21,1,0,0,0,0,0,0.72,-0.434,0.72,-0.26%,-4.7,1b start tie,5b 3 out d4,,LAA,1.6,L,3,9,,
18,19,96,2011-07-19,SEA,TOR,GS-7,,9,6.1,7,5,5,2,6,1,0,3.24,28,102,65,13,9,8,12,3,0,0,43,,,0,0,0,26,2,0,0,1,0,1,0.99,-0.139,0.15,-0.01%,-0.78,1b start a 1,7b -23 1 out a2,,TOR,1.475409836065574,L,5,6,,
19,20,101,2011-07-24,SEA,BOS,GS-5,L(8-7),4,4.1,8,7,7,1,4,1,0,3.64,22,85,53,16,8,11,6,4,0,0,22,,,0,1,0,21,2,0,0,0,0,0,0.7,-0.364,0.03,-0.01%,-3.31,1b start a 2,5b 12- 1 out d2,,BOS,2.1951219512195124,L,8,12,,
20,21,106,2011-07-30,SEA,TBR,GS-7,W(9-7),5,6.1,1,2,1,4,10,0,1,3.53,24,110,64,17,12,3,6,2,2,0,71,,,1,1,0,18,0,0,0,0,0,0,1.18,-0.023,0.02,0.00%,0.3,1t start tie,7t 12- 1 out a1,,SEA,0.819672131147541,W,3,2,,
21,22,115,2011-08-09,SEA,TEX,GS-6,,9,6.0,5,3,3,2,4,1,0,3.57,25,95,62,10,10,10,9,4,2,0,52,,,0,0,0,22,1,0,0,0,0,0,0.97,0.032,0.01,0.00%,0.28,1b start a 2,6b 3 out a3,,TEX,1.1666666666666667,L,6,7,,
22,23,120,2011-08-15,SEA,TOR,GS-5,,5,5.0,6,5,5,4,6,3,0,3.77,25,94,56,17,7,8,7,3,1,0,37,,,1,0,0,21,0,0,0,0,0,0,0.9,-0.37,0.0,0.00%,-2.75,1t start tie,5t 3 out d1,,SEA,2.0,W,6,5,,
23,24,125,2011-08-21,SEA,TBR,GS-6,,5,6.0,6,3,2,0,5,0,0,3.73,23,94,64,21,7,7,11,3,3,0,55,,,3,2,0,22,1,0,0,0,1,1,1.05,0.057999999999999996,0.0,0.00%,-0.21,1b start a 3,6b 3 out a2,,TBR,1.0,L,7,8,,
24,25,131,2011-08-27,SEA,CHW,GS-6,L(9-8),5,6.0,3,2,2,1,8,0,0,3.71,22,101,70,15,18,7,6,1,1,0,65,,,0,0,0,20,0,0,0,0,1,0,0.78,0.004,0.0,0.00%,0.7,1t start tie,6t 3 out d2,,SEA,0.6666666666666666,L,0,3,,
25,26,138,2011-09-03,SEA,OAK,GS-6,L(9-9),6,6.0,5,3,3,2,7,1,0,3.74,25,105,70,26,8,9,7,1,2,0,55,,,0,0,0,23,1,0,0,0,0,0,0.86,-0.08,0.0,0.00%,-0.05,1b start tie,6b 3 out d3,,OAK,1.1666666666666667,L,0,3,,
26,27,145,2011-09-10,SEA,KCR,GS-8,L(9-10),6,8.0,5,3,3,1,8,1,0,3.72,30,101,72,19,20,6,15,5,3,0,67,,,1,1,0,29,2,0,0,0,0,0,0.74,0.037000000000000005,0.0,0.00%,0.61,1t start tie,8t 3 out d1,,SEA,0.75,L,2,4,,
27,28,155,2011-09-21,SEA,MIN,GS-4,,10,4.0,6,2,2,2,2,0,0,3.74,20,81,50,10,6,9,7,2,3,0,42,,,1,0,0,18,1,0,0,0,0,0,1.06,-0.038,0.0,0.00%,-0.02,1b start tie,4b 3 out d2,,MIN,2.0,W,5,4,,
28,29,5,2014-04-05,NYA,TOR,GS-6,L(0-1),99,6.0,5,1,1,0,5,0,0,1.5,22,83,58,21,10,7,10,3,2,0,63,,,0,1,0,22,3,0,0,0,0,0,0.81,0.152,0.87,0.10%,1.79,1b start tie,6b 3 out d1,,TOR,0.8333333333333334,L,0,4,,
29,30,10,2014-04-10,NYA,BOS,GS-7,W(1-1),4,6.0,4,1,1,2,7,1,0,1.5,24,94,63,20,15,3,12,2,1,0,65,,,1,0,0,22,1,0,0,0,0,0,0.85,0.209,0.92,0.14%,1.41,1t start tie,7t 1-- 0 out a3,,NYY,1.0,W,4,1,,
30,31,15,2014-04-16,NYA,CHC,GS-6,W(2-1),5,6.0,4,0,0,1,3,0,0,1.0,22,89,57,13,5,5,13,4,4,0,66,,,1,1,0,20,0,1,0,0,0,0,1.22,0.337,1.31,0.22%,2.79,1t start tie,6t 3 out a2,2.0,NYY,0.8333333333333334,W,2,0,,
31,32,21,2014-04-23,NYA,BOS,GS-2,L(2-2),6,1.2,4,2,2,0,0,0,0,1.83,9,37,22,6,2,2,7,2,0,0,39,,,0,0,0,9,0,1,0,0,0,0,0.99,-0.132,1.26,-0.10%,-1.13,1b start tie,2b --- 2 out d2,,BOS,3.333333333333333,L,1,5,,
32,33,119,2014-08-13,NYA,BAL,GS-5,,99,5.0,2,1,1,0,4,0,0,1.82,17,67,48,16,6,5,8,1,1,0,63,,,0,0,0,16,1,0,0,0,1,0,1.02,0.156,1.41,0.13%,1.39,1b start tie,5b 3 out a1,,BAL,0.4,L,3,5,,
33,34,124,2014-08-20,NYA,HOU,GS-7,,6,6.0,4,2,2,1,3,0,0,2.05,23,89,66,11,11,11,8,3,0,0,58,,,0,0,0,21,1,0,0,0,0,0,1.04,0.136,0.71,0.06%,1.41,1t start tie,7t 1-- 0 out a1,,NYY,0.8333333333333334,L,2,5,,
34,35,129,2014-08-25,NYA,KCR,GS-7,W(3-2),4,6.1,5,1,1,0,5,1,0,1.95,23,96,70,18,14,7,11,5,0,0,64,,,1,1,1,23,1,0,0,0,0,0,1.06,0.248,1.2,0.17%,1.72,1b start tie,7b -2- 1 out a5,,KCR,0.819672131147541,W,8,1,,
35,36,134,2014-08-30,NYA,TOR,GS-7,L(3-3),4,6.0,7,2,2,0,3,1,0,2.09,25,93,72,19,8,9,13,7,2,0,53,,,1,0,0,25,2,0,0,0,0,0,0.63,-0.068,0.72,-0.05%,-0.69,1b start tie,7b -23 0 out d2,,TOR,1.1666666666666667,L,0,2,,
