Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,112,2000-08-08,SEA,CHW,GS-7,W(1-0),99,6.0,5,2,2,2,4,1,0,3.00,25,97,58,15,6,6,13,5,2,0,56,,,0,0,0,23,1,0,0,0,0,0,.53,0.160,.48,0.09%,2.02,1b start a 4,7b -2- 0 out a6,1,CHW,1.1666666666666667,W,12,4
2,119,2000-08-14,SEA,DET,5-GF,,5,4.2,8,4,4,2,1,1,0,5.06,24,88,54,15,7,6,15,7,1,0,,3,3,0,0,0,22,2,0,0,0,0,0,.00,-0.008,.00,0.00%,-3.11,5t 123 1 out d8,9t end d11,,SEA,2.380952380952381,L,4,15
3,123,2000-08-19,SEA,CLE,6-7,,4,0.2,4,4,3,1,0,1,0,7.15,7,33,19,5,1,3,3,1,0,0,,1,0,1,0,0,6,0,0,0,0,0,0,.09,-0.028,.14,-0.03%,-2.81,6b 1-- 2 out d6,7b 123 1 out d6,,CLE,25.0,L,4,10
4,128,2000-08-25,SEA,CHW,9-GF,,5,1.0,0,0,0,1,0,0,0,6.57,3,14,6,0,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.17,0.010,.32,0.01%,0.56,9t --- 0 out d3,9t end d 3,,SEA,1.0,L,1,4
5,131,2000-08-28,SEA,NYY,8-GF,,2,2.0,3,1,1,3,2,0,0,6.28,11,36,18,6,3,1,5,3,0,0,,2,2,0,0,0,7,0,0,0,0,1,0,.01,-0.002,.02,0.00%,-0.37,8t -23 0 out d6,9t end d 9,,SEA,3.0,L,1,9
6,144,2000-09-11,SEA,KCR,7-7,,13,1.0,3,1,1,1,1,0,0,6.46,7,23,15,7,1,1,4,2,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.39,-0.021,.83,-0.03%,-0.44,7t --- 0 out d4,7t 3 out d5,,SEA,4.0,L,3,6
7,155,2000-09-23,SEA,OAK,9-GF,,11,1.0,0,0,0,0,1,0,0,6.06,3,9,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.04,0.00%,0.56,9t --- 0 out d6,9t end d 6,,SEA,0.0,L,2,8
8,160,2000-09-29,SEA,ANA,6-GF(8),,5,3.0,2,1,1,3,1,0,0,5.59,14,67,36,7,7,5,5,1,0,0,,0,0,1,0,0,10,1,0,0,0,1,0,.07,-0.007,.14,-0.01%,0.83,6b --- 0 out d5,8b end d 6,,ANA,1.6666666666666667,L,3,9
9,84,2001-07-05,SEA,TEX,5-7,,99,2.1,0,0,0,2,1,0,0,0.00,9,39,25,6,1,4,2,0,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.00,0.000,.00,0.00%,1.49,5b -2- 2 out d13,7b 3 out d13,,TEX,0.9523809523809523,L,2,14
10,89,2001-07-13,SEA,SFG,7-GF,,7,3.0,0,0,0,1,2,0,0,0.00,10,33,20,4,4,3,4,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.24,0.056,.00,0.00%,1.54,7t --- 0 out d3,9t end d 2,,SEA,0.3333333333333333,L,3,5
