,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,100,2018-07-23,SLN,CIN,GS-7,,99,7.0,0,0,0,3,3,0,0,0.0,24,116,75,13,13,6,12,5,1,0,77.0,,,0,0,0,21,0,0,0,0,0,0,1.11,0.473,0.83,0.21%,3.45,19.95,30.0,1b start tie,7b 3 out a1,,CIN,0.42857142857142855,L,1,2
1,2,106,2018-07-30,SLN,COL,5-7,,6,2.1,2,2,2,2,2,1,0,1.93,10,42,23,5,6,2,4,2,0,0,,2.0,2.0,0,0,0,8,0,0,0,0,0,0,0.82,-0.35,0.56,-0.14%,-2.59,2.85,7.0,5t 1-3 2 out tie,7t 3 out d3,,STL,1.9047619047619049,W,5,4
2,3,108,2018-08-01,SLN,COL,3-5,,1,2.1,0,0,0,1,2,0,0,1.54,8,40,23,4,7,3,2,0,0,0,,2.0,0.0,0,0,0,7,0,0,0,0,0,0,1.03,0.157,0.64,0.06%,1.52,8.65,13.0,3t -23 2 out d2,5t 3 out tie,,STL,0.4761904761904762,W,6,3
3,4,116,2018-08-10,SLN,KCR,7-GF,S(1),8,3.0,2,0,0,3,1,0,0,1.23,12,44,26,3,5,3,5,2,2,0,,0.0,0.0,0,0,0,9,1,0,0,2,0,0,0.13,0.012,0.13,0.01%,1.53,5.75,12.0,7b --- 0 out a7,9b end a 7,,KCR,1.6666666666666667,W,7,0
4,5,121,2018-08-15,SLN,WSN,7-9,,4,2.0,4,2,2,0,1,1,0,2.16,9,32,22,6,1,2,6,3,1,0,,0.0,0.0,0,0,0,9,1,0,0,1,0,0,0.51,-0.012,0.85,-0.01%,-0.68,0.1,3.0,7t --- 0 out a4,9t -2- 0 out a3,,STL,2.0,W,4,2
5,6,124,2018-08-18,SLN,MIL,9-GF,,2,1.0,0,0,0,0,1,0,0,2.04,3,14,9,3,3,0,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.07,0.005,0.14,0.01%,0.47,4.25,6.0,9t --- 0 out a5,9t end a 5,,STL,0.0,W,7,2
6,7,127,2018-08-21,SLN,LAD,GS-4,,2,4.0,5,1,1,1,8,0,1,2.08,19,90,61,14,12,3,6,1,1,0,55.0,,,0,0,0,17,1,0,0,0,0,0,1.53,0.09300000000000001,3.09,0.11%,0.89,18.8,33.0,1b start tie,4b 3 out a2,,LAD,1.5,W,5,2
7,8,136,2018-09-01,SLN,CIN,GS-4,L(0-1),10,3.1,5,3,3,1,4,0,0,2.88,16,73,48,6,6,2,9,6,1,0,41.0,,,0,0,0,15,3,0,0,0,0,0,0.89,-0.228,1.54,-0.24%,-2.66,5.9,13.0,1t start tie,4t 123 1 out d3,,STL,1.9354838709677415,L,0,4
8,9,142,2018-09-08,SLN,DET,6-7,,6,2.0,1,0,0,1,1,0,0,2.67,7,27,17,3,2,3,2,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,0,0.27,0.032,0.45,0.03%,1.05,5.3,9.0,6b --- 0 out d3,7b 3 out d3,,DET,1.0,L,3,4
9,10,146,2018-09-12,SLN,PIT,GS-5,L(0-2),3,5.0,5,2,2,1,7,0,0,2.81,21,86,58,13,15,5,8,4,0,0,55.0,,,0,0,0,19,0,0,0,0,1,0,1.22,0.012,1.83,0.01%,0.34,17.65,30.0,1t start tie,5t 3 out d1,,STL,1.2,L,3,4
10,11,162,2018-09-30,SLN,CHC,7-7,,17,1.0,0,0,0,0,1,0,0,2.73,3,17,11,1,4,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.5,4.25,6.0,7b --- 0 out d5,7b 3 out d5,,CHC,0.0,L,5,10
11,12,23,2019-04-23,SLN,MIL,GS-5,,99,5.0,2,1,1,3,7,1,0,1.8,20,90,56,15,11,4,6,1,1,0,63.0,,,0,0,0,17,0,0,1,0,0,1,1.02,0.15,1.34,0.12%,1.59,20.25,33.0,1t start tie,5t 3 out tie,,STL,1.0,W,4,3
12,13,68,2019-06-14,SLN,NYM,GS-4,,51,4.0,2,1,1,4,3,0,0,2.0,17,71,40,9,5,6,4,1,1,0,53.0,,,0,0,0,13,0,0,0,1,0,0,0.9,0.096,0.9,0.06%,0.95,9.4,18.0,1b start tie,4b 3 out tie,,NYM,1.5,W,9,5
13,14,73,2019-06-19,SLN,MIA,GS-6,,4,6.0,2,0,0,1,6,0,0,1.2,20,90,60,13,7,7,6,1,3,0,73.0,,,0,0,0,19,2,0,0,1,0,0,0.98,0.36,1.15,0.25%,3.11,23.7,36.0,1t start tie,6t 3 out tie,,STL,0.5,W,2,1
14,15,81,2019-06-29,SLN,SDP,2-7,,9,5.1,5,4,4,2,9,2,0,2.66,23,92,59,13,15,5,7,0,2,0,,0.0,0.0,0,0,0,21,1,0,0,0,0,0,0.05,-0.01,0.06,-0.01%,-1.39,17.8,31.0,2b --- 2 out d6,7b 3 out d10,,SDP,1.3725490196078431,L,2,12
15,16,85,2019-07-04,SLN,SEA,4-6,W(1-0),4,2.2,0,0,0,1,3,0,0,2.35,7,27,17,2,5,2,1,0,1,0,,1.0,0.0,0,1,0,6,0,0,0,1,0,0,0.89,0.146,1.0,0.10%,1.56,15.4,29.0,4b 1-- 1 out d1,6b 3 out d1,,SEA,0.4545454545454545,W,5,4
16,17,87,2019-07-06,SLN,SFG,5-6,,1,2.0,1,0,0,0,3,0,0,2.16,7,31,19,4,4,1,3,2,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.15,0.022000000000000002,0.2,0.02%,0.99,9.9,15.0,5b --- 0 out d4,6b 3 out d4,,SFG,0.5,L,4,8
17,18,89,2019-07-12,SLN,ARI,GS-7,,5,6.2,3,1,1,0,7,1,1,1.99,23,105,69,13,12,5,10,2,3,0,71.0,,,0,0,0,22,1,0,0,1,0,0,0.9,0.284,1.09,0.21%,2.52,24.6,38.0,1t start tie,7t --- 2 out tie,,STL,0.4838709677419354,L,2,4
18,19,94,2019-07-17,SLN,PIT,GS-4,,4,3.2,8,4,4,2,3,1,0,2.8,20,73,50,10,8,7,8,4,1,0,30.0,,,0,0,0,18,0,0,1,1,0,0,1.51,-0.28800000000000003,1.96,-0.23%,-2.38,0.25,8.0,1t start tie,4t 12- 2 out d2,,STL,3.125,W,6,5
19,20,99,2019-07-22,SLN,PIT,GS-3,,4,3.0,3,1,1,4,3,0,0,2.82,15,86,51,8,12,4,4,2,1,0,48.0,,,0,0,0,11,0,0,0,1,0,0,1.38,0.035,2.09,0.03%,0.52,6.55,15.0,1b start tie,3b 3 out tie,,PIT,2.333333333333333,W,6,5
20,21,104,2019-07-27,SLN,HOU,GS-3,L(1-1),4,2.1,3,5,5,4,0,0,0,3.76,13,48,26,8,1,6,3,3,0,0,27.0,,,0,0,0,9,0,0,0,1,0,0,1.02,-0.18100000000000002,1.7,-0.18%,-2.04,-8.95,-8.0,1t start tie,3t 123 1 out d2,,STL,3.333333333333333,L,2,8
21,22,136,2019-09-01,SLN,CIN,GS-5,L(1-2),35,4.0,5,4,3,1,2,1,1,4.03,21,81,53,13,5,8,9,2,0,0,39.0,,,0,0,0,18,2,0,0,0,1,1,1.14,-0.26,1.45,-0.20%,-1.93,2.8,9.0,1t start tie,5t 12- 0 out tie,2.0,STL,1.5,L,3,5
22,23,142,2019-09-07,SLN,PIT,9-GF,,5,1.0,0,0,0,1,3,0,0,3.94,4,21,13,2,4,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.51,7.65,12.0,9b --- 0 out a9,9b end a 9,,PIT,1.0,W,10,1
23,24,158,2019-09-24,SLN,ARI,14-16,,16,3.0,2,0,0,3,3,0,0,3.7,13,46,29,7,9,2,5,1,1,0,,0.0,0.0,0,1,0,10,1,0,1,0,0,0,2.84,0.43200000000000005,0.55,0.05%,1.6,9.75,18.0,14b --- 0 out tie,16b 3 out tie,,ARI,1.6666666666666667,L,2,3
