Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
17,2,2002-04-02,CHW,SEA,7-7,,99,0.0,0,0,0,2,0,0,0,---,2,9,1,1,0,0,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,1.06,-0.063,1.08,-0.04%,-1.34,7b 12- 2 out d2,7b 123 2 out d3,,SEA,inf,L,4,7
18,4,2002-04-05,CHW,KCR,6-7,,2,1.1,0,0,0,0,0,0,0,0.00,3,15,9,3,1,3,0,0,0,0,,1,0,0,1,0,3,0,0,0,0,0,0,.25,0.028,.27,0.02%,0.87,6b 1-- 2 out d3,7b 3 out d3,,KCR,0.0,L,2,5
19,11,2002-04-14,CHW,BAL,7-8,,8,2.0,0,0,0,3,1,0,0,0.00,8,42,21,4,3,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.07,0.007,.07,0.00%,1.10,7t --- 0 out d6,8t 3 out d6,,CHW,1.5,L,4,9
20,16,2002-04-19,CHW,DET,6-8,,4,1.2,3,0,0,0,0,0,0,0.00,8,23,16,4,1,3,5,2,2,0,,1,1,0,0,0,8,0,0,0,0,0,0,.13,-0.013,.15,-0.01%,-0.28,6t 1-- 1 out d5,8t 1-- 0 out d6,,CHW,2.5,L,2,8
21,18,2002-04-21,CHW,DET,6-7,,1,0.2,0,0,0,0,0,0,0,0.00,2,11,8,2,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.41,0.077,1.73,0.06%,0.51,6t 1-- 2 out tie,7t --- 1 out tie,,CHW,0.0,W,11,8
22,23,2002-04-26,CHW,OAK,8-GF(8),,4,1.0,1,1,1,0,2,1,0,1.35,4,18,12,4,1,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.013,.07,-0.01%,-0.47,8b --- 0 out d3,8b end d 4,,OAK,1.0,L,4,6
23,24,2002-04-27,CHW,OAK,3-4,,0,1.1,5,3,3,2,2,1,0,4.50,11,40,20,6,1,0,7,4,0,0,,1,1,0,0,0,8,1,0,0,0,1,0,.05,-0.036,.07,-0.03%,-3.23,3b 1-- 2 out d6,4b 3 out d10,,OAK,6.363636363636363,L,1,16
24,28,2002-05-02,CHW,SEA,7-GF,,4,2.2,1,1,1,3,2,1,1,4.22,13,54,29,9,5,2,5,1,0,0,,1,1,0,0,0,8,0,0,0,0,1,0,.00,0.000,.00,0.00%,-0.34,7t 1-- 1 out d11,9t end d11,,CHW,1.8181818181818181,L,4,15
25,33,2002-05-07,CHW,TEX,4-5,W(1-0),4,2.0,1,1,1,2,1,0,0,4.26,10,37,19,5,3,2,5,1,0,0,,0,0,0,0,0,8,0,1,0,0,0,1,.97,-0.004,1.27,0.00%,0.15,4b --- 0 out d1,5b 3 out d1,,TEX,1.5,W,11,6
26,36,2002-05-10,CHW,ANA,6-7,,2,2.0,9,6,6,1,0,2,1,7.36,17,66,44,12,3,2,13,6,0,0,,0,0,0,0,0,15,2,0,0,0,0,0,.00,0.000,.00,0.00%,-4.91,6b --- 0 out d13,7b 3 out d19,,ANA,5.0,L,0,19
27,111,2002-08-03,CHW,TBD,7-GF(8),,84,2.0,1,0,0,0,2,0,0,6.48,6,26,20,6,2,3,1,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.09,0.010,.00,0.00%,1.05,7b --- 0 out d4,8b end d 4,,TBD,0.5,L,2,6
28,114,2002-08-06,CHW,ANA,9-GF,,2,1.0,0,0,0,1,0,0,0,6.11,4,16,10,3,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.55,9t --- 0 out d9,9t end d 9,,CHW,1.0,L,2,11
29,115,2002-08-07,CHW,ANA,6-7,,0,2.0,1,1,1,0,2,1,0,5.95,7,29,19,9,2,0,5,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.39,0.000,.01,0.00%,0.10,6t --- 0 out d3,7t 3 out d2,,CHW,0.5,W,7,6
