,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,25,5,2000-04-07,,SDP,GS-3,L(0-1),99,3.0,5,6,6,1,4,2,0,18.0,16,45,32,8,10,4,7,3,0,0,28.0,,,1,0,0,15,1,0,0,0,0,0,0.62,-0.315,0.59,-0.18%,-4.27,1t start tie,3t 3 out d6,,MON,2.0,L,5,10
1,26,10,2000-04-13,,PIT,GS-6,,5,6.0,4,2,2,1,5,0,0,8.0,23,72,47,14,9,6,12,6,0,0,60.0,,,1,0,0,21,2,1,0,0,1,0,1.04,0.125,1.05,0.08%,1.33,1b start tie,6b 3 out tie,,PIT,0.8333333333333334,L,3,4
2,27,15,2000-04-20,,CHC,GS-5,,6,4.2,6,4,1,1,5,0,0,5.93,22,80,50,16,6,7,9,5,0,0,46.0,,,1,0,0,20,2,0,0,0,0,1,0.97,-0.11900000000000001,1.04,-0.08%,-1.47,1t start tie,5t -2- 2 out a1,,MON,1.6666666666666663,L,6,10
3,28,25,2000-05-02,,COL,GS-4,L(0-2),11,3.1,9,8,8,3,0,3,0,9.0,20,72,43,14,2,4,13,7,1,0,7.0,,,0,0,0,17,1,0,0,1,0,0,0.56,-0.337,0.64,-0.23%,-5.89,1b start tie,4b 1-- 1 out d7,,COL,3.870967741935484,L,6,12
4,29,137,2000-09-07,,STL,7-GF(8),,99,1.1,2,1,1,1,0,0,0,8.84,6,25,13,0,1,2,3,1,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,0.16,0.001,0.0,0.00%,0.04,7b 12- 2 out d4,8b end d 5,,STL,2.727272727272727,L,1,6
5,30,144,2000-09-13,,PHI,7-GF(8),,5,2.0,5,4,4,1,1,1,0,9.74,12,38,25,7,2,5,5,2,1,0,,0.0,0.0,0,0,0,11,1,1,0,0,0,1,0.01,-0.006,0.0,0.00%,-2.88,7b --- 0 out d6,8b end d10,,PHI,3.0,L,5,15
6,31,147,2000-09-16,,NYM,8-GF,,2,1.1,0,0,0,0,1,0,0,9.14,4,15,9,3,2,0,3,0,0,0,,1.0,0.0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.84,8t 1-- 2 out d7,9t end d 7,,MON,0.0,L,4,10
7,32,154,2000-09-23,,ATL,9-GF,,6,1.0,0,0,0,0,1,0,0,8.74,3,11,7,2,2,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.58,9t --- 0 out d10,9t end d10,,MON,0.0,L,0,10
8,33,155,2000-09-24,,ATL,8-8,,0,0.1,1,1,1,0,0,0,0,9.0,2,7,4,1,0,1,1,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.08,0.0,0.0,0.00%,-0.01,8t --- 0 out d5,8t 1-- 1 out d5,,MON,10.0,L,5,14
9,34,159,2000-09-28,,FLA,8-GF(8),,3,1.0,0,0,0,0,0,0,0,8.63,3,10,8,3,2,1,2,0,2,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.0,0.00%,0.53,8b --- 0 out d3,8b end d 3,,FLA,0.0,L,4,7
10,35,162,2000-10-01,,NYM,11-GF(13),L(0-3),2,2.0,3,1,0,1,2,0,0,7.96,10,43,26,6,3,3,4,3,0,0,,0.0,0.0,0,0,0,9,1,0,0,0,0,1,2.22,-0.066,0.0,0.00%,-0.93,11b --- 0 out tie,13b end d 1,,NYM,2.0,L,2,3
