,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,14,2002-04-17,HOU,CIN,9-GF,,99,1.0,0,0,0,1,2,0,1,0.0,5,23,14,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.26,0.008,0.26,0.01%,0.52,9b --- 0 out a5,9b end a 5,,CIN,1.0,W,7,2
1,2,16,2002-04-19,HOU,SFG,9-GF,,1,1.0,0,0,0,1,1,0,0,0.0,4,12,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.57,0.040999999999999995,0.52,0.02%,0.53,9t --- 0 out d1,9t end d 1,,HOU,1.0,L,2,3
2,3,17,2002-04-20,HOU,SFG,3-5,,0,2.1,4,3,3,0,1,0,1,6.23,12,40,29,5,4,4,6,3,1,0,,3,0,0,0,0,10,1,0,0,0,1,0,0.48,-0.09,0.41,-0.05%,-1.16,3t 123 2 out d4,5t 3 out d6,,HOU,1.9047619047619049,L,9,13
3,4,19,2002-04-23,HOU,FLA,12-GF(12),L(0-1),2,0.1,2,1,1,0,1,0,0,7.71,3,16,9,1,1,0,2,1,0,0,,0,0,0,0,0,3,0,1,0,0,0,0,2.93,-0.36700000000000005,2.34,-0.18%,-1.03,12b --- 0 out tie,12b end d 1,,FLA,20.0,L,3,4
4,5,21,2002-04-25,HOU,FLA,8-GF(8),,1,1.0,1,1,0,2,0,0,0,6.35,6,24,10,3,0,4,0,0,0,0,,0,0,1,0,0,4,0,0,1,0,0,0,0.69,-0.057999999999999996,0.59,-0.03%,-0.52,8b --- 0 out d1,8b end d 2,,FLA,3.0,L,4,5
5,6,22,2002-04-26,HOU,ATL,7-GF(8),,0,2.0,6,3,3,0,1,0,0,8.22,11,39,22,7,1,5,5,4,0,0,,0,0,0,0,0,11,2,0,0,1,0,0,0.01,0.0,0.01,0.00%,-1.99,7b --- 0 out d6,8b end d 9,,ATL,3.0,L,0,9
6,7,28,2002-05-03,HOU,NYM,5-5,,6,0.1,0,0,0,0,0,0,0,7.88,1,5,3,1,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.23,0.006,0.19,0.00%,0.24,5t 1-- 2 out d5,5t 3 out d5,,HOU,0.0,L,3,11
7,8,30,2002-05-05,HOU,NYM,9-GF,,1,1.0,0,0,0,1,0,0,0,7.0,4,12,7,2,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.53,9t --- 0 out a11,9t end a11,,HOU,1.0,W,12,1
8,9,31,2002-05-07,HOU,PHI,8-GF(8),,1,1.0,1,0,0,1,1,0,0,6.3,5,23,13,5,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,0.13,0.006,0.11,0.00%,0.47,8b --- 0 out d3,8b end d 3,,PHI,2.0,L,4,7
9,10,34,2002-05-10,HOU,PIT,7-7,,2,0.2,1,1,1,0,0,0,0,6.75,3,8,6,2,0,2,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.54,0.006999999999999999,0.44,0.00%,0.18,7b --- 0 out d2,7b -2- 2 out d2,,PIT,5.0,L,1,5
