Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,22,2012-04-29,DET,NYY,5-7,,99,1.2,3,2,2,2,0,0,0,10.80,11,52,30,6,5,7,2,0,0,0,,3,0,0,0,0,9,0,0,0,0,0,0,1.26,-0.036,1.33,-0.02%,-0.39,5b 123 2 out d2,7b 1-3 1 out d2,,NYY,4.166666666666667,L,2,6
2,30,2012-05-09,DET,SEA,7-8,L(0-1),9,1.1,1,1,1,0,2,0,0,9.00,5,19,13,2,2,2,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.47,-0.056,1.65,-0.04%,0.00,7b --- 0 out tie,8b --3 1 out tie,,SEA,0.9090909090909091,L,1,2
3,32,2012-05-11,DET,OAK,8-GF(8),,1,1.0,0,0,0,0,0,0,0,6.75,3,10,5,0,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.47,8b --- 0 out d7,8b end d 7,,OAK,0.0,L,4,11
4,35,2012-05-14,DET,CHW,6-6,BL(0-2),2,0.1,4,3,3,1,1,0,0,12.46,6,23,13,4,0,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.34,-0.469,3.10,-0.37%,-3.41,6b --- 0 out a1,6b 12- 1 out d2,,CHW,50.0,L,5,7
5,37,2012-05-16,DET,MIN,7-8,,1,1.2,4,1,1,1,3,0,0,10.50,10,41,25,9,2,3,3,2,0,0,,0,0,0,0,0,9,1,0,1,0,0,0,1.25,-0.082,1.40,-0.06%,-0.20,7t --- 1 out d1,8t 3 out d2,,DET,4.166666666666667,L,7,11
6,42,2012-05-22,DET,CLE,7-GF(8),,5,1.1,2,0,0,1,0,0,0,8.59,6,23,14,3,0,2,3,0,0,0,,2,0,1,0,0,5,1,0,0,0,0,0,.50,0.034,.63,0.03%,0.94,7b 1-3 2 out d2,8b end d 2,,CLE,2.727272727272727,L,3,5
7,121,2012-08-19,DET,BAL,4-6,,88,2.1,1,0,0,2,1,0,0,6.52,9,40,21,6,3,2,4,0,2,0,,1,0,0,0,0,7,0,0,0,1,0,0,.96,0.099,1.84,0.12%,1.28,4t 1-- 2 out d2,6t 3 out d2,,DET,1.4285714285714286,L,5,7
8,138,2012-09-08,DET,LAA,7-GF(8),,19,2.0,2,0,0,0,0,0,0,5.40,6,22,14,2,2,2,4,1,0,0,,0,0,0,1,0,6,0,0,0,1,0,0,.04,0.004,.08,0.01%,0.93,7b --- 0 out d5,8b end d 5,,LAA,1.0,L,1,6
9,149,2012-09-20,DET,OAK,9-GF,,11,0.1,1,0,0,0,0,0,0,5.25,2,4,3,1,0,1,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,.01,-0.001,.01,0.00%,-0.67,9t -2- 2 out d7,9t end d 8,,DET,10.0,L,4,12
10,151,2012-09-23,DET,MIN,8-GF,,2,1.1,1,0,0,0,2,0,0,4.73,5,23,15,4,3,0,3,0,0,0,,2,2,0,0,0,5,0,1,0,0,0,0,.02,-0.006,.06,-0.01%,-1.03,8t 12- 2 out d6,9t end d 8,1,DET,0.9090909090909091,L,4,10
11,161,2012-10-02,DET,KCR,5-6,,8,1.2,0,0,0,0,0,0,0,4.20,5,21,14,3,3,4,1,0,0,0,,3,1,0,0,0,5,0,0,0,0,0,0,1.36,0.075,.00,0.00%,1.09,5b 123 1 out tie,6b 3 out d1,,KCR,0.0,L,2,4
12,162,2012-10-03,DET,KCR,9-GF,S(1),0,1.0,0,0,0,1,1,0,0,3.94,4,23,12,5,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.87,0.202,.00,0.00%,0.51,9b --- 0 out a1,9b end a 1,,KCR,1.0,W,1,0
