,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,10,2006-04-14,COL,PHI,7-8,,99,2.0,1,0,0,0,2,0,0,0.0,7,31,19,5,4,1,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.06,0.008,0.07,0.01%,1.18,7t --- 0 out d6,8t 3 out d6,,COL,0.5,L,8,10
1,2,13,2006-04-17,COL,SDP,7-7,,2,1.0,0,0,0,0,2,0,0,0.0,3,12,7,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.34,0.027000000000000003,0.4,0.02%,0.59,7t --- 0 out d3,7t 3 out d3,,COL,0.0,L,2,5
2,3,15,2006-04-19,COL,SDP,4-6,,1,2.1,2,0,0,0,4,0,0,0.0,9,36,25,10,4,3,2,0,0,0,,1,0,0,0,0,9,1,0,0,0,0,0,0.12,0.019,0.14,0.01%,1.54,4t -2- 2 out d7,6t 3 out d6,,COL,0.9523809523809524,L,4,13
3,4,17,2006-04-22,COL,SFG,7-7,,2,1.0,0,0,0,0,2,0,0,0.0,3,12,8,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.81,0.065,1.03,0.05%,0.59,7t --- 0 out d1,7t 3 out d1,,COL,0.0,L,4,6
4,5,18,2006-04-23,COL,SFG,7-7,H(1),0,0.1,0,0,0,0,0,0,0,0.0,1,5,2,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.5,0.07200000000000001,3.05,0.05%,0.4,7t --3 2 out a1,7t 3 out a1,,COL,0.0,W,3,2
5,6,20,2006-04-25,COL,PHI,4-6,W(1-0),1,2.1,0,0,0,1,1,0,0,0.0,8,36,22,3,3,4,2,0,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,1.51,0.22699999999999998,1.53,0.14%,1.61,4b 12- 2 out a1,6b 3 out a1,,PHI,0.4761904761904762,W,7,6
6,7,23,2006-04-28,COL,FLA,6-6,H(2),2,0.2,0,0,0,0,2,0,0,0.0,2,7,7,2,2,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.8,0.09300000000000001,1.93,0.06%,0.54,6b 1-- 1 out a1,6b 3 out a1,,FLA,0.0,W,3,2
7,8,26,2006-05-01,COL,ATL,8-8,,2,0.1,1,0,0,1,0,0,0,0.0,3,8,3,0,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.36,-0.01,0.43,-0.01%,-0.41,8b --- 0 out d2,8b 12- 1 out d2,,ATL,20.0,L,0,2
8,9,30,2006-05-05,COL,HOU,8-GF,W(2-0),3,2.0,1,0,0,0,3,0,0,0.0,7,31,21,5,6,1,3,0,2,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.71,0.085,0.84,0.06%,1.18,8t --- 0 out d2,9t end d 1,,COL,0.5,W,5,4
9,10,35,2006-05-10,COL,STL,7-GF(8),,4,2.0,1,0,0,0,3,0,0,0.0,7,30,23,5,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.12,0.015,0.16,0.01%,1.07,7b --- 0 out d4,8b end d 3,,STL,0.5,L,4,7
