Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,46,2013-05-22,ATL,MIN,8-GF,,99,1.2,2,2,2,1,3,2,0,10.80,8,39,23,4,7,0,4,0,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,.05,0.006,.06,0.01%,-0.70,8t 12- 1 out a7,9t end a 5,,ATL,2.5,W,8,3
2,50,2013-05-27,ATL,TOR,7-GF(8),,4,2.0,3,3,3,2,0,1,0,12.27,12,45,21,4,3,3,7,1,0,0,,0,0,0,0,0,10,2,0,0,0,0,1,.02,-0.011,.02,-0.01%,-2.01,7b --- 0 out d5,8b end d 6,,TOR,2.5,L,3,9
3,71,2013-06-18,ATL,NYM,4-6,,21,3.0,3,1,1,0,3,1,0,8.10,11,41,28,5,6,3,5,2,0,0,,0,0,0,0,0,11,0,0,0,1,0,0,.76,-0.010,.81,-0.01%,0.34,4t --- 0 out d1,6t 3 out d2,1,ATL,1.0,L,3,4
4,129,2013-08-25,LAA,SEA,9-GF,,67,1.0,2,0,0,1,1,0,0,7.04,6,27,18,3,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.10,0.002,.00,0.00%,0.45,9b --- 0 out a6,9b end a 6,,SEA,3.0,W,7,1
5,130,2013-08-27,LAA,TBR,6-6,,1,0.1,1,2,2,1,1,0,0,9.00,3,10,4,0,1,0,1,1,0,0,,0,0,0,0,0,2,1,0,1,0,0,0,.59,-0.019,.00,0.00%,-0.41,6b --- 0 out d2,6b 12- 1 out d2,,TBR,20.0,W,6,5
6,131,2013-08-28,LAA,TBR,8-GF(8),,0,1.0,0,0,0,0,0,0,0,8.00,3,16,9,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.00,0.00%,0.47,8b --- 0 out d3,8b end d 3,,TBR,0.0,L,1,4
7,133,2013-08-30,LAA,MIL,8-GF,,1,2.0,2,0,0,0,2,0,0,6.55,8,33,22,5,3,1,5,1,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.18,0.018,.00,0.00%,0.91,8b --- 0 out a5,9b end a 5,,MIL,1.0,W,5,0
8,135,2013-09-01,LAA,MIL,7-7,H(1),1,1.0,0,0,0,0,1,0,0,6.00,3,8,6,1,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.02,0.076,.00,0.00%,0.46,7b --- 0 out a2,7b 3 out a2,,MIL,0.0,W,5,3
9,136,2013-09-02,LAA,TBR,6-6,,0,1.0,2,1,1,1,1,0,0,6.23,6,21,14,2,4,1,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.28,-0.008,.00,0.00%,-0.55,6t --- 0 out a4,6t 3 out a3,,LAA,3.0,W,11,2
10,140,2013-09-06,LAA,TEX,7-7,H(2),3,0.1,0,0,0,0,0,0,0,6.08,1,4,2,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.49,0.012,.00,0.00%,0.09,7t --- 2 out a2,7t 3 out a2,,LAA,0.0,W,6,5
