,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,6,3,2000-04-05,MIN,TBD,8-8,,99,1.0,1,0,0,0,1,0,0,0.0,4,16,11,2,2,0,3,1,1,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.08,0.003,0.08,0.00%,0.62,8t --- 0 out d6,8t 3 out d6,,MIN,1.0,W,10,7
1,7,9,2000-04-11,MIN,BOS,2-6,,5,4.0,7,5,4,2,3,1,0,7.2,22,80,45,14,6,5,12,7,0,0,,3.0,3.0,0,0,0,20,0,0,0,0,0,1,0.14,-0.08,0.12,-0.04%,-3.46,2b 123 1 out d4,6b 1-- 1 out d10,,BOS,2.25,L,4,13
2,8,12,2000-04-14,MIN,BAL,8-8,W(1-0),2,0.1,0,0,0,0,0,0,0,6.75,1,1,1,0,0,0,1,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.2,0.005,0.14,0.00%,0.5,8t 12- 2 out d5,8t 3 out d5,,MIN,0.0,W,10,9
3,9,13,2000-04-15,MIN,BAL,8-GF,,0,1.2,1,1,1,0,0,1,0,6.43,6,23,17,4,0,0,6,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.54,-0.032,0.42,-0.02%,-0.04,8t --- 1 out d1,9t end d 2,,MIN,0.8333333333333334,L,4,6
4,10,19,2000-04-22,MIN,TEX,4-GF(8),,6,4.2,6,2,2,2,2,0,1,5.4,22,85,52,6,5,8,9,4,1,0,,2.0,2.0,0,0,0,19,2,0,0,1,0,0,0.41,-0.076,0.37,-0.04%,-0.07,4b -23 1 out d2,8b end d 5,,TEX,1.9047619047619049,L,3,8
5,11,23,2000-04-26,MIN,NYY,7-7,,3,0.2,0,0,0,0,1,0,0,5.11,2,8,5,3,0,0,1,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,0.66,0.04,0.71,0.03%,0.75,7b -2- 1 out d2,7b 3 out d2,,NYY,0.0,L,0,2
6,12,24,2000-04-28,MIN,OAK,8-GF,,1,2.0,0,0,0,0,1,0,0,4.4,6,22,17,4,4,1,4,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.23,0.036000000000000004,0.21,0.02%,1.24,8t --- 0 out d3,9t end d 3,,MIN,0.0,L,2,5
7,13,26,2000-04-30,MIN,OAK,8-8,,1,1.0,0,0,0,0,2,0,0,4.11,3,10,8,2,2,0,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.62,8t --- 0 out d8,8t 3 out d8,,MIN,0.0,L,2,8
8,14,31,2000-05-06,MIN,DET,GS-7,W(2-0),5,7.0,8,1,1,0,6,0,0,3.22,27,89,62,19,9,4,17,11,0,0,63.0,,,0,0,0,27,4,0,0,0,0,0,1.18,0.37799999999999995,0.79,0.15%,3.36,1t start tie,7t 3 out a2,,MIN,1.1428571428571428,W,6,1
9,15,37,2000-05-13,MIN,CHW,GS-7,,6,6.1,6,2,2,3,7,2,0,3.14,27,98,63,17,10,2,15,3,2,0,57.0,,,0,1,0,24,0,0,0,0,0,0,1.23,0.126,1.34,0.08%,1.65,1b start tie,7b 1-- 1 out a1,,CHW,1.475409836065574,L,3,4
10,16,42,2000-05-18,MIN,OAK,GS-6,W(3-0),4,6.0,5,5,5,0,3,2,0,3.89,23,87,57,18,4,7,13,3,2,0,45.0,,,0,0,0,23,1,0,0,0,0,0,0.86,-0.076,0.48,-0.03%,-1.56,1b start a 3,6b 3 out a1,,OAK,0.8333333333333334,W,10,5
11,17,47,2000-05-24,MIN,ANA,GS-6,,5,6.0,11,3,3,0,6,1,0,3.98,27,103,68,13,13,5,16,9,0,0,44.0,,,1,0,0,27,2,0,0,1,0,0,1.21,0.05,0.76,0.02%,0.73,1t start tie,6t 3 out tie,,MIN,1.8333333333333333,L,5,6
12,18,52,2000-05-30,MIN,TOR,GS-7,W(4-0),5,7.0,4,1,1,3,5,0,0,3.59,29,101,60,13,10,8,13,3,1,0,67.0,,,0,0,0,26,1,0,0,0,0,1,1.42,0.415,1.01,0.18%,3.31,1b start a 2,7b 3 out a2,,TOR,1.0,W,4,1
13,19,57,2000-06-04,MIN,CIN,GS-6,,4,6.0,6,2,2,0,9,1,0,3.52,24,96,65,15,9,4,11,4,1,0,61.0,,,0,0,0,24,0,0,0,0,0,0,1.01,0.083,0.61,0.03%,1.43,1b start tie,6b 3 out tie,,CIN,1.0,L,2,3
14,20,62,2000-06-10,MIN,MIL,GS-7,L(4-1),5,7.0,8,3,3,2,8,1,0,3.56,30,108,68,11,17,7,13,6,0,0,55.0,,,0,1,0,28,3,0,0,0,0,0,1.01,0.062,0.5,0.02%,1.36,1t start tie,7t 3 out d2,,MIN,1.4285714285714286,L,3,5
15,21,67,2000-06-15,MIN,SEA,GS-3,L(4-2),4,2.1,8,6,6,5,0,1,0,4.29,19,82,47,10,2,7,7,2,1,0,12.0,,,0,0,0,14,2,0,0,1,0,0,1.1,-0.39399999999999996,0.34,-0.07%,-5.16,1t start tie,3t 12- 1 out d5,,MIN,6.19047619047619,L,5,12
16,22,71,2000-06-20,MIN,TEX,GS-4,L(4-3),4,4.0,11,4,4,2,4,1,0,4.57,24,96,57,13,11,8,10,8,0,0,26.0,,,0,1,0,21,3,0,0,0,1,0,1.01,-0.183,0.19,-0.02%,-1.59,1b start tie,4b 3 out d3,,TEX,3.25,L,2,5
17,23,76,2000-06-25,MIN,ANA,GS-5,,4,5.0,5,4,4,1,4,2,1,4.75,22,75,46,12,6,6,10,1,2,0,44.0,,,0,0,0,20,0,0,0,0,0,0,0.7,-0.161,0.11,-0.02%,-0.95,1b start tie,5b 3 out d3,,ANA,1.2,L,6,7
18,24,81,2000-06-30,MIN,CLE,GS-5,W(5-3),4,5.0,4,1,1,4,3,0,0,4.56,22,116,65,14,11,6,9,3,0,0,54.0,,,0,0,0,18,1,0,0,1,0,0,1.21,0.184,0.25,0.02%,2.02,1b start a 2,5b 3 out a5,,CLE,1.6,W,7,2
19,25,86,2000-07-05,MIN,BOS,GS-3,L(5-4),4,2.0,5,6,6,3,1,1,0,5.13,13,54,30,10,5,3,6,4,0,0,20.0,,,0,0,0,10,1,0,0,1,0,0,1.19,-0.41200000000000003,0.16,-0.03%,-4.4,1t start tie,3t -2- 0 out d1,,MIN,4.0,L,8,11
