Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
99,2,2000-04-04,CIN,MIL,8-8,,99,0.0,1,0,0,0,0,0,0,---,1,2,1,0,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.65,-0.061,1.62,-0.04%,-0.83,8t 12- 0 out d1,8t 123 0 out d1,,CIN,inf,L,1,5
100,3,2000-04-05,CIN,MIL,9-GF,,0,1.0,1,0,0,1,0,0,0,0.00,3,8,4,0,1,1,1,1,0,0,,0,0,0,0,1,2,0,0,0,1,0,0,.20,0.011,.19,0.01%,0.57,9t --- 0 out d3,9t end d 3,,CIN,2.0,L,5,8
101,4,2000-04-06,CIN,MIL,8-8,,0,1.0,0,0,0,0,1,0,0,0.00,3,11,8,0,6,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,0.028,.32,0.02%,0.57,8t --- 0 out a4,8t 3 out a4,,CIN,0.0,W,5,1
102,7,2000-04-09,CIN,CHC,9-10,,2,1.1,1,0,0,1,1,0,0,0.00,5,17,8,2,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.31,0.098,2.14,0.05%,0.41,9t --- 0 out tie,10t -2- 1 out tie,,CIN,1.8181818181818181,W,8,7
103,10,2000-04-12,CIN,COL,7-7,L(0-1),2,0.1,2,3,3,1,0,0,0,7.36,4,11,5,1,1,1,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.70,-0.192,1.59,-0.11%,-1.40,7b --- 0 out tie,7b 12- 1 out d1,,COL,30.0,L,5,7
104,11,2000-04-14,CIN,LAD,7-7,,1,0.0,3,2,2,1,0,0,0,12.27,4,14,7,0,2,0,3,3,0,0,,3,3,0,0,0,3,2,0,0,0,0,0,.42,-0.103,.37,-0.05%,-4.66,7b 123 2 out d2,7b 12- 2 out d7,,LAD,inf,L,1,8
105,14,2000-04-18,CIN,SFG,6-6,,3,0.0,0,1,1,1,0,0,0,14.73,1,4,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.25,-0.028,1.17,-0.02%,-0.22,6t 1-- 2 out a2,6t 12- 2 out a2,,CIN,inf,L,9,13
106,16,2000-04-20,CIN,SFG,9-GF,,1,1.0,0,0,0,0,0,0,0,11.57,3,5,5,1,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,9t --- 0 out a10,9t end a10,,CIN,0.0,W,11,1
107,19,2000-04-23,CIN,LAD,6-6,,2,0.1,2,5,0,1,0,1,0,10.80,6,27,12,2,0,2,3,1,0,0,,2,2,0,0,0,4,0,0,0,0,1,2,.46,-0.162,.44,-0.09%,-5.64,6t -23 1 out d2,6t --- 2 out d9,,CIN,30.0,L,3,11
108,23,2000-04-28,CIN,PIT,7-8,,4,1.0,1,0,0,0,0,0,0,9.00,3,7,5,0,0,3,0,0,0,0,,2,0,0,0,0,3,0,0,0,1,0,0,.64,0.044,.67,0.03%,0.95,7b 12- 1 out d2,8b 1-- 1 out d1,,PIT,1.0,L,1,2
109,25,2000-04-30,CIN,PIT,7-7,H(1),1,0.2,0,0,0,0,0,0,0,8.10,2,8,6,1,2,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.91,0.189,3.85,0.11%,0.97,7b 12- 1 out a1,7b 3 out a1,,PIT,0.0,W,6,2
110,27,2000-05-03,CIN,PHI,7-7,,2,0.1,0,0,0,0,1,0,0,7.71,1,7,4,1,2,0,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.38,-0.022,.38,-0.01%,-0.36,7b -23 2 out d3,7b 3 out d4,,PHI,0.0,L,2,5
111,30,2000-05-06,CIN,STL,8-8,,2,0.1,0,1,0,1,0,0,0,7.36,3,15,7,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,.68,-0.041,.86,-0.03%,-0.68,8t --- 0 out d2,8t 1-3 1 out d2,,CIN,10.0,L,1,3
112,33,2000-05-10,CIN,SDP,7-7,H(2),3,0.1,0,0,0,0,0,0,0,7.04,1,3,1,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.14,0.084,3.37,0.05%,0.48,7t 12- 2 out a1,7t 3 out a1,,CIN,0.0,W,5,1
