Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,156,2009-09-28,BOS,TOR,5-6,,99,1.1,2,0,0,0,0,0,0,0.00,6,24,15,4,0,2,4,1,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.05,0.005,.00,0.00%,1.04,5t 12- 2 out d8,6t 3 out d8,,BOS,1.8181818181818181,L,5,11
2,158,2009-09-30,BOS,TOR,5-5,,1,1.0,1,0,0,1,0,0,0,0.00,5,18,11,5,0,3,1,0,0,0,,2,2,0,0,0,3,0,0,0,0,1,0,.10,-0.012,.00,0.00%,-0.41,5t 12- 0 out d6,5t 3 out d8,,BOS,2.0,L,0,12
3,161,2009-10-03,BOS,CLE,9-GF,,2,1.0,0,0,0,0,0,0,0,0.00,3,11,9,2,2,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.00,0.00%,0.57,9t --- 0 out a5,9t end a 5,,BOS,0.0,W,11,6
4,65,2010-06-13,BOS,PHI,8-8,,99,0.2,0,0,0,0,0,0,0,0.00,2,3,3,1,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.43,0.023,.54,0.02%,0.70,8t -2- 1 out d3,8t 3 out d3,,BOS,0.0,L,3,5
5,68,2010-06-17,BOS,ARI,7-7,,3,0.0,1,0,0,0,0,0,0,0.00,1,6,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.36,-0.059,1.75,-0.05%,-0.39,7t --- 0 out a2,7t 1-- 0 out a2,,BOS,inf,W,8,5
6,69,2010-06-18,BOS,LAD,9-9,,0,0.1,3,1,1,0,1,1,0,9.00,4,19,12,4,0,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.27,-0.029,.38,-0.02%,-1.41,9t --- 0 out a5,9t 12- 1 out a4,,BOS,30.0,W,10,6
7,76,2010-06-26,BOS,SFG,6-6,H(1),7,1.0,0,0,0,0,1,0,0,4.50,3,12,6,1,1,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,1,0,2.10,0.136,3.18,0.12%,0.82,6b 1-3 0 out a3,6b 3 out a2,,SFG,0.0,W,4,2
8,78,2010-06-29,BOS,TBR,9-9,,2,0.1,1,0,0,0,1,0,0,3.86,2,11,8,3,1,0,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.33,0.008,.65,0.01%,-0.81,9t -23 1 out a5,9t 1-- 2 out a3,,BOS,10.0,W,8,5
9,82,2010-07-04,BOS,BAL,8-8,,4,0.2,0,0,0,0,1,0,0,3.00,2,7,5,2,0,0,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,.17,0.009,.28,0.01%,0.55,8t 1-- 1 out d4,8t 3 out d4,,BOS,0.0,L,1,6
10,83,2010-07-05,BOS,TBR,6-6,,0,0.2,0,0,0,0,0,0,0,2.45,2,5,3,0,1,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.37,0.196,4.91,0.24%,1.39,6b 1-3 0 out tie,6b 12- 2 out tie,,TBR,0.0,L,5,6
11,85,2010-07-07,BOS,TBR,6-6,,1,0.0,1,0,0,0,0,0,0,2.45,1,12,9,1,0,1,0,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,0,.18,-0.023,.38,-0.03%,-1.00,6b 1-- 2 out d4,6b 1-- 2 out d5,,TBR,inf,L,4,6
12,86,2010-07-09,BOS,TOR,9-GF,,1,1.0,1,0,0,1,0,0,0,1.93,4,16,7,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,.00,0.00%,0.51,9b --- 0 out a11,9b end a11,,TOR,2.0,W,14,3
13,87,2010-07-10,BOS,TOR,6-7,,0,0.2,1,1,1,0,0,1,0,3.38,3,11,7,0,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,-0.066,.33,-0.06%,-0.66,6b --- 2 out d2,7b --- 1 out d3,,TOR,5.0,L,5,9
