,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,114,2013-08-07,WAS,ATL,5-6,,99,2.0,1,0,0,0,0,0,0,0.0,6,15,10,2,0,3,3,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.32,0.136,0.25,0.02%,0.91,5t --- 0 out tie,6t 3 out tie,,WSN,0.5,L,3,6,,
1,2,116,2013-08-10,WAS,PHI,6-7,W(1-0),2,2.0,0,0,0,0,0,0,0,0.0,6,12,8,2,0,3,3,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.57,0.084,0.08,0.01%,0.91,6t --- 0 out d2,7t 3 out d1,,WSN,0.0,W,8,5,,
2,3,118,2013-08-13,WAS,SFG,5-6,W(2-0),2,2.0,3,1,0,0,1,0,0,0.0,10,43,28,7,2,5,4,3,1,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,1,1.56,-0.013999999999999999,0.25,0.00%,-0.09,5t --- 0 out a1,6t 3 out tie,,WSN,1.5,W,4,2,,
3,4,122,2013-08-17,WAS,ATL,2-5,,3,4.0,1,0,0,1,6,0,0,0.0,13,50,37,16,4,4,2,1,0,0,,1.0,0.0,0,0,0,12,0,0,0,1,0,0,1.21,0.25,0.12,0.02%,2.16,2b 1-- 0 out a2,5b 3 out a3,,ATL,0.5,W,8,7,,
4,5,126,2013-08-21,WAS,CHC,5-6,W(3-0),3,1.2,4,2,2,0,3,0,0,1.54,9,37,26,9,4,2,4,3,0,0,,1.0,1.0,0,0,0,8,0,0,0,0,1,0,2.2,-0.255,0.16,-0.01%,-2.07,5b 1-- 1 out a3,6b 3 out tie,,CHC,3.333333333333333,W,11,6,,
5,6,128,2013-08-23,WAS,KCR,4-8,W(4-0),1,4.2,1,0,0,1,2,0,0,1.1,14,58,38,14,3,4,7,4,0,0,,2.0,0.0,0,0,0,13,0,0,0,1,0,0,1.01,0.342,0.1,0.02%,2.91,4b 12- 1 out a1,8b 3 out a4,,KCR,0.4761904761904762,W,11,10,,
6,7,131,2013-08-27,WAS,MIA,6-6,H(1),3,1.0,0,0,0,2,2,0,0,1.04,5,21,11,5,2,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2.11,0.077,0.24,0.01%,0.46,6t --- 0 out a1,6t 3 out a1,,WSN,2.0,W,2,1,,
7,8,133,2013-08-29,WAS,MIA,8-GF,,1,2.0,1,0,0,0,0,0,0,0.93,7,13,12,3,0,4,3,1,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.0,0.001,0.0,0.00%,0.91,8t --- 0 out a9,9t end a 9,,WSN,0.5,W,9,0,,
8,9,135,2013-08-31,WAS,NYM,3-6,,1,3.1,3,1,1,3,5,0,0,1.19,15,64,43,15,8,4,3,3,0,0,,2.0,2.0,1,0,0,12,1,0,0,0,0,0,0.17,-0.054000000000000006,0.03,-0.01%,-1.16,3t 1-3 2 out d5,6t 3 out d8,,WSN,1.9354838709677415,L,3,11,,
9,10,141,2013-09-07,WAS,MIA,GS-6,W(5-0),6,6.0,4,0,0,0,4,0,0,0.94,20,71,46,14,1,9,7,2,3,0,68.0,,,0,0,0,20,0,0,0,1,0,0,0.5,0.182,0.03,0.01%,2.71,1b start a 2,6b 3 out a6,,MIA,0.6666666666666666,W,9,2,,
10,11,146,2013-09-12,WAS,NYM,GS-6,W(6-0),4,6.0,6,2,2,1,3,0,0,1.3,24,78,51,18,4,5,15,5,2,0,54.0,,,0,0,0,22,1,0,0,0,0,0,1.38,0.08900000000000001,0.26,0.01%,0.5,1b start a 1,6b 3 out a1,,NYM,1.1666666666666667,W,7,2,,
11,12,151,2013-09-17,WAS,ATL,GS-7,W(7-0),4,7.0,2,0,0,1,6,0,0,1.08,24,101,67,20,9,8,9,6,1,0,78.0,,,0,0,0,23,0,0,0,0,0,0,0.95,0.447,0.29,0.08%,3.19,1t start tie,7t 3 out a1,2.0,WSN,0.42857142857142855,W,4,0,,
12,13,157,2013-09-23,WAS,STL,GS-5,L(7-1),5,5.0,9,4,4,1,5,1,0,1.74,24,97,67,27,6,10,8,6,0,0,37.0,,,0,0,0,22,0,0,0,1,0,0,1.25,-0.268,0.05,-0.01%,-1.76,1b start a 2,5b 3 out d2,,STL,2.0,L,3,4,,
13,14,162,2013-09-29,WAS,ARI,GS-7,,5,7.0,3,1,0,1,3,0,0,1.51,27,95,70,24,5,17,6,3,2,0,71.0,,,0,0,0,24,0,0,0,0,1,2,1.46,0.292,0.0,0.00%,2.16,1b start tie,7b 3 out a1,,ARI,0.5714285714285714,L,2,3,,
14,15,3,2014-04-03,WAS,NYM,GS-6,W(1-0),99,6.0,6,2,2,3,5,0,0,3.0,26,95,62,16,5,4,14,4,2,0,54.0,,,0,0,0,21,3,0,0,1,1,0,1.23,0.091,1.38,0.06%,0.49,1b start tie,6b 3 out a1,,NYM,1.5,W,8,2,,
15,16,10,2014-04-11,WAS,ATL,GS-5,,7,4.2,6,5,5,1,3,1,3,5.91,21,86,49,14,4,5,9,2,1,0,34.0,,,0,1,0,17,2,0,0,2,0,0,0.75,-0.239,0.99,-0.19%,-2.13,1b start tie,5b -2- 2 out tie,,ATL,1.6666666666666663,L,6,7,,
16,17,15,2014-04-16,WAS,MIA,GS-7,,4,6.1,7,3,3,2,5,1,0,5.29,28,98,62,23,7,10,11,5,1,0,50.0,,,0,0,0,26,1,0,0,0,0,0,0.96,-0.068,1.09,-0.05%,-0.38,1b start tie,7b 1-- 1 out tie,,MIA,1.475409836065574,W,6,3,,
17,18,20,2014-04-21,WAS,LAA,GS-7,,4,6.2,7,0,0,2,5,0,0,3.8,28,105,63,20,7,12,9,5,0,0,63.0,,,0,0,0,26,1,0,1,1,0,0,1.21,0.4,1.28,0.26%,3.01,1t start tie,7t 1-- 2 out a1,,WSN,1.4516129032258065,L,2,4,,
18,19,25,2014-04-26,WAS,SDP,SHO,W(2-0),4,9.0,3,0,0,1,8,0,0,2.76,31,105,73,21,12,15,7,4,0,0,88.0,,,0,0,0,29,0,0,0,1,0,1,0.63,0.316,0.62,0.19%,4.14,1t start tie,9t 3 out a4,,WSN,0.4444444444444444,W,4,0,,
19,20,30,2014-05-03,WAS,PHI,GS-5,L(2-1),6,4.0,7,7,7,1,5,2,0,4.17,20,85,52,17,13,7,7,4,0,0,24.0,,,1,0,0,19,2,0,0,0,0,0,0.46,-0.317,0.59,-0.25%,-4.55,1b start tie,5b 1-3 0 out d5,,PHI,2.0,L,2,7,,
20,21,36,2014-05-10,WAS,OAK,GS-8,,6,7.2,2,1,1,0,5,1,0,3.65,26,95,62,22,7,6,15,6,3,0,76.0,,,0,0,0,26,0,0,0,0,0,1,0.95,0.35,1.03,0.23%,2.3,1b start tie,8b --3 2 out a2,,OAK,0.2777777777777778,L,3,4,,
21,22,41,2014-05-16,WAS,NYM,GS-5,W(3-1),5,5.0,4,2,2,2,4,0,0,3.65,21,87,62,23,9,6,9,5,2,0,53.0,,,0,0,0,19,2,0,0,0,0,0,0.73,0.099,0.93,0.08%,0.3,1t start tie,5t 3 out a3,,WSN,1.2,W,5,2,,
22,23,46,2014-05-21,WAS,CIN,GS-6,L(3-2),4,6.0,6,2,1,3,2,0,0,3.42,27,88,54,14,7,14,8,1,0,0,53.0,,,1,1,0,24,2,0,0,0,0,1,1.26,0.035,1.48,0.03%,0.76,1t start tie,6t 3 out d1,,WSN,1.5,L,1,2,,
23,24,51,2014-05-26,WAS,MIA,GS-7,L(3-3),4,7.0,5,3,3,1,4,1,1,3.47,26,95,62,15,2,9,11,5,1,0,58.0,,,0,1,1,24,2,0,0,0,0,0,0.57,-0.061,0.7,-0.05%,0.22,1t start tie,7t 3 out d1,,WSN,0.8571428571428571,L,2,3,,
