,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,152,2002-09-18,ANA,OAK,8-GF(8),,99,1.0,1,0,0,0,2,0,0,0.0,4,16,12,3,4,0,2,2,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.14,0.006999999999999999,0.01,0.00%,0.53,8b --- 0 out d3,8b end d 3,,OAK,1.0,L,4,7
1,2,153,2002-09-19,ANA,OAK,8-GF(8),,0,1.0,0,0,0,0,3,0,0,0.0,3,13,10,6,1,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.016,0.03,0.00%,0.53,8b --- 0 out d2,8b end d 2,,OAK,0.0,L,3,5
2,3,155,2002-09-21,ANA,SEA,8-GF(8),,1,0.2,0,0,0,0,2,0,0,0.0,2,8,6,1,4,0,0,0,0,0,,2,0,2,0,0,2,0,0,0,0,0,0,0.5,0.025,0.01,0.00%,0.94,8b 12- 1 out d2,8b end d 2,,SEA,0.0,L,4,6
3,4,158,2002-09-25,ANA,TEX,8-GF(8),,3,0.2,0,0,0,2,1,0,1,0.0,5,15,6,1,3,1,0,0,0,0,,1,1,0,0,0,2,0,0,1,0,0,0,1.17,-0.02,0.21,0.00%,0.0,8b --3 1 out d1,8b end d 2,,TEX,10.0,L,3,4
4,5,160,2002-09-27,ANA,SEA,7-9,,1,2.1,2,0,0,0,5,0,0,0.0,7,38,25,10,5,0,2,2,0,0,,1,0,0,2,0,7,0,0,0,0,0,0,1.58,0.175,0.0,0.00%,1.33,7t 1-- 2 out d3,9t 3 out tie,,ANA,0.9523809523809524,L,6,7
5,6,3,2003-04-02,ANA,TEX,7-8,,99,2.0,2,1,1,0,3,1,0,4.5,8,30,21,6,4,3,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.14,0.021,0.17,0.02%,0.07,7t --- 0 out a5,8t 3 out a6,,ANA,1.0,W,11,5
6,7,6,2003-04-06,ANA,OAK,7-7,BL(0-1),3,1.0,1,3,3,2,1,0,0,12.0,7,29,15,4,1,0,4,1,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,2.6,-0.484,3.02,-0.34%,-2.46,7b --- 0 out a1,7b 3 out d2,,OAK,3.0,L,6,7
7,8,8,2003-04-09,ANA,SEA,8-8,H(1),2,1.0,2,0,0,0,1,0,0,9.0,5,16,10,3,3,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.44,0.054000000000000006,1.54,0.03%,0.52,8b --- 0 out a3,8b 3 out a3,,SEA,2.0,W,5,1
8,9,10,2003-04-11,ANA,OAK,8-GF,S(1),1,2.0,2,2,2,1,2,1,0,9.0,9,33,24,10,2,3,3,0,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.24,-0.045,1.58,-0.03%,-0.93,8t --- 0 out a3,9t end a 4,,ANA,1.5,W,9,5
9,10,15,2003-04-16,ANA,TEX,7-8,W(1-1),4,1.2,1,0,0,1,3,0,0,7.04,7,22,15,4,3,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.45,0.071,0.55,0.05%,0.93,7b --- 1 out d4,8b 3 out a3,,TEX,1.6666666666666667,W,9,8
