Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,10,2010-04-15,LAA,NYY,8-GF(8),,99,1.0,0,0,0,0,1,0,0,0.00,3,15,9,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.04,0.00%,0.53,8b --- 0 out d4,8b end d 4,,NYY,0.0,L,2,6
2,50,2010-05-28,LAA,SEA,8-8,,42,1.0,0,0,0,0,1,0,0,0.00,3,13,9,1,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,.18,0.01%,0.48,8t --- 0 out d3,8t 3 out d3,,LAA,0.0,L,3,8
3,51,2010-05-29,LAA,SEA,8-9,,0,2.0,1,0,0,0,2,0,0,0.00,7,21,14,4,2,4,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.61,0.182,1.47,0.10%,0.95,8t --- 0 out d1,9t 3 out tie,,LAA,0.5,W,5,1
4,55,2010-06-02,LAA,KCR,6-7,,3,1.1,0,0,0,0,2,0,0,0.00,4,17,10,3,2,1,1,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.31,0.033,.28,0.02%,0.99,6b 1-3 2 out a5,7b 3 out a6,,KCR,0.0,W,7,2
5,57,2010-06-04,LAA,SEA,7-7,,1,1.0,0,0,0,0,2,0,0,0.00,3,11,8,3,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,.15,0.01%,0.46,7b --- 0 out a6,7b 3 out a6,,SEA,0.0,W,7,1
6,59,2010-06-06,LAA,SEA,9-GF,,1,1.0,2,0,0,0,1,0,0,0.00,5,19,13,2,5,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.31,0.007,.38,0.01%,0.46,9b --- 0 out a5,9b end a 5,,SEA,2.0,W,9,4
7,65,2010-06-12,LAA,LAD,6-6,H(1),5,1.0,0,0,0,0,2,0,0,0.00,3,10,8,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.95,0.070,1.19,0.05%,0.47,6b --- 0 out a2,6b 3 out a2,,LAD,0.0,W,4,2
8,68,2010-06-15,LAA,MIL,8-GF,,2,2.0,1,1,1,1,4,0,1,0.87,9,36,20,4,8,2,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.04,-0.003,.05,0.00%,-0.05,8t --- 0 out d6,9t end d 6,,LAA,1.0,L,1,7
9,70,2010-06-18,LAA,CHC,8-9,,2,1.0,1,3,3,2,1,1,0,3.18,6,28,15,6,2,0,3,0,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,-0.070,.50,-0.06%,-2.49,8b --- 0 out a5,9b --- 0 out a2,,CHC,3.0,W,7,6
10,72,2010-06-20,LAA,CHC,7-7,,1,1.0,2,0,0,0,1,0,0,2.92,5,17,11,4,1,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.51,7b --- 0 out d8,7b 3 out d8,,CHC,2.0,L,1,12
11,75,2010-06-24,LAA,LAD,7-7,,3,0.1,3,2,2,1,1,0,0,4.26,5,22,13,2,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,.57,-0.128,.77,-0.10%,-2.41,7t --- 0 out d2,7t 12- 1 out d4,,LAA,40.0,L,6,10
12,76,2010-06-25,LAA,COL,11-11,L(0-1),0,0.2,2,1,1,1,0,0,0,4.73,5,20,9,3,1,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.68,-0.348,3.59,-0.28%,-1.11,11t --- 0 out tie,11t -23 2 out d1,,LAA,15.0,L,3,4
13,78,2010-06-27,LAA,COL,9-GF,,1,1.0,0,0,0,0,0,0,0,4.40,3,8,5,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.48,9t --- 0 out a7,9t end a 7,,LAA,0.0,W,10,3
14,80,2010-06-30,LAA,TEX,8-GF,,2,2.0,2,1,1,0,0,1,0,4.41,8,31,18,5,1,2,6,2,0,0,,0,0,0,0,0,8,1,0,0,1,0,1,.50,-0.075,1.00,-0.09%,-0.05,8t --- 0 out d1,9t end d 2,,LAA,1.0,L,4,6
15,83,2010-07-03,LAA,KCR,9-GF,,2,0.2,0,0,0,1,0,0,0,4.24,3,13,5,2,0,1,1,0,1,0,,2,2,0,0,0,2,0,0,0,0,0,0,.93,-0.095,1.24,-0.08%,-1.12,9t 12- 1 out d1,9t end d 3,,LAA,5.0,L,2,4
16,84,2010-07-04,LAA,KCR,8-8,,0,1.0,1,0,0,0,1,0,0,4.00,4,11,8,1,3,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.48,8t --- 0 out a9,8t 3 out a9,,LAA,1.0,W,11,0
