,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,140,2010-09-10,MIL,CHC,9-GF,,99,1.0,0,0,0,0,1,0,0,0.0,3,9,5,0,2,1,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.49,9t --- 0 out d4,9t end d 4,,MIL,0.0,L,0,4
1,2,145,2010-09-15,MIL,HOU,8-8,,4,1.0,0,0,0,0,0,0,0,0.0,3,8,5,2,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.39,0.028999999999999998,0.0,0.00%,0.47,8b --- 0 out d1,8b 3 out d1,,HOU,0.0,W,8,6
2,3,153,2010-09-24,MIL,FLA,GS-3,,8,3.0,0,0,0,2,4,0,1,0.0,12,56,31,13,4,3,2,2,0,0,61.0,,,1,0,0,9,0,0,0,0,0,0,1.31,0.152,0.0,0.00%,1.46,1t start tie,3t 3 out tie,,MIL,0.6666666666666666,W,6,2
3,4,160,2010-10-01,MIL,CIN,GS-5,,6,5.0,2,2,2,1,6,0,0,1.8,18,74,43,12,6,6,5,0,1,0,60.0,,,2,0,0,15,0,0,0,0,1,0,0.85,0.004,0.0,0.00%,0.49,1b start tie,5b 3 out d2,,CIN,0.6,W,4,3
4,5,101,2012-07-29,MIL,WSN,GS-6,,99,5.2,6,2,2,1,7,1,1,3.18,25,98,59,16,12,7,9,4,0,0,55.0,,,0,0,0,23,2,0,0,0,0,0,1.15,0.059000000000000004,0.06,0.00%,0.56,1t start tie,6t 12- 2 out a1,,MIL,1.346153846153846,L,10,11
5,6,106,2012-08-04,MIL,STL,GS-5,L(0-1),5,5.0,7,5,5,1,5,1,0,5.91,23,72,49,14,9,6,11,6,1,0,37.0,,,1,0,0,22,2,0,0,0,0,0,0.77,-0.32899999999999996,0.03,-0.01%,-2.67,1b start a 1,5b 3 out d4,,STL,1.6,L,1,6
6,7,111,2012-08-10,MIL,HOU,GS-7,,5,7.0,3,1,1,2,8,0,0,4.08,25,109,67,20,12,9,6,2,2,0,73.0,,,0,0,0,23,0,0,0,1,0,0,1.17,0.32299999999999995,0.04,0.01%,2.33,1b start a 1,7b 3 out a2,,HOU,0.7142857142857143,L,3,4
7,8,116,2012-08-15,MIL,COL,GS-6,,4,6.0,7,5,5,2,4,1,0,4.94,26,92,57,20,5,10,10,5,1,0,40.0,,,0,0,0,23,0,0,0,0,0,0,1.0,-0.228,0.01,0.00%,-1.66,1b start tie,6b 3 out tie,,COL,1.5,L,6,7
8,9,121,2012-08-20,MIL,CHC,GS-5,W(1-1),4,5.0,5,3,3,3,7,1,0,5.02,22,90,50,18,12,4,8,1,1,0,49.0,,,2,0,0,18,3,0,0,1,1,0,1.03,-0.09,0.0,0.00%,-0.51,1t start tie,5t 3 out d2,,MIL,1.6,W,9,5
9,10,126,2012-08-26,MIL,PIT,GS-5,W(2-1),5,5.0,3,0,0,3,5,0,0,4.28,21,101,57,25,7,7,6,0,0,0,63.0,,,0,0,0,18,1,0,0,1,0,1,0.79,0.209,0.01,0.00%,2.26,1b start tie,5b 3 out a6,,PIT,1.2,W,7,0
10,11,131,2012-08-31,MIL,PIT,GS-6,W(3-1),4,5.1,5,1,1,2,5,1,0,3.92,23,107,68,22,12,5,11,3,4,0,57.0,,,0,0,0,21,2,0,0,0,0,0,0.67,0.131,0.02,0.00%,1.47,1t start tie,6t 1-- 1 out a4,,MIL,1.3725490196078431,W,9,3
